Project,Precision,Recall,F1
ant,0.819672131147541,0.9259259259259259,0.8695652173913043
cassandra,0.7621776504297995,0.7471910112359551,0.7546099290780144
commons,0.8611111111111112,0.7380952380952381,0.7948717948717949
derby,0.7687074829931972,0.9338842975206612,0.8432835820895522
jmeter,0.9861111111111112,0.9793103448275862,0.9826989619377162
lucene-solr,0.942162615255658,0.9623287671232876,0.9521389241846675
maven,0.7428571428571429,0.9285714285714286,0.8253968253968255
phoenix,0.8774373259052924,0.9183673469387755,0.8974358974358975
tomcat,0.901685393258427,0.9846625766871165,0.9413489736070381
Average,0.8513246626743645,0.9020374374362193,0.8734833451103122
