Project,Precision,Recall,F1
ant,0.9523809523809523,0.7407407407407407,0.8333333333333334
cassandra,0.7475728155339806,0.648876404494382,0.6947368421052631
commons,0.8620689655172413,0.5952380952380952,0.7042253521126761
derby,0.8305084745762712,0.8099173553719008,0.8200836820083681
jmeter,0.9774436090225563,0.896551724137931,0.935251798561151
lucene-solr,0.9094982078853047,0.8690068493150684,0.8887915936952714
maven,0.8214285714285714,0.8214285714285714,0.8214285714285714
phoenix,0.8993288590604027,0.7813411078717201,0.8361934477379095
tomcat,0.9037267080745341,0.8926380368098159,0.8981481481481481
Average,0.8782174626088683,0.7839709872675805,0.8257991965700769
