Project,Precision,Recall,F1
ant,0.9285714285714286,0.9629629629629629,0.9454545454545454
cassandra,0.9413489736070382,0.901685393258427,0.921090387374462
commons,0.22950819672131148,1.0,0.37333333333333335
derby,0.8098591549295775,0.9504132231404959,0.8745247148288974
jmeter,0.8083832335329342,0.9310344827586207,0.8653846153846153
lucene-solr,0.7664756446991404,0.916095890410959,0.8346333853354135
maven,0.8125,0.9285714285714286,0.8666666666666666
phoenix,0.9054878048780488,0.8658892128279884,0.8852459016393442
tomcat,0.9154518950437318,0.9631901840490797,0.9387144992526159
Average,0.7908429257759122,0.935538086442218,0.8338942276966548
