class,method,field,count
org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool,writeJar,NOVALUE,4
org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool,getWeblogicDescriptorHandler,NOVALUE,4
org.apache.tools.ant.taskdefs.optional.splash.SplashScreen,&lt;init&gt;,NOVALUE,4
org.apache.tools.zip.ZipFile,&lt;init&gt;,NOVALUE,4
org.apache.tools.ant.taskdefs.Javadoc,writeExternalArgs,NOVALUE,3
org.apache.tools.ant.taskdefs.KeySubst,execute,NOVALUE,3
org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool,registerKnownDTDs,NOVALUE,3
org.apache.tools.ant.types.RedirectorElement,configure,NOVALUE,3
org.apache.tools.mail.MailMessage,&lt;init&gt;,NOVALUE,3
org.apache.tools.zip.ZipEntry,&lt;init&gt;,NOVALUE,3
org.apache.tools.ant.AntClassLoader,&lt;clinit&gt;,NOVALUE,2
org.apache.tools.ant.Diagnostics,doReportTasksAvailability,NOVALUE,2
org.apache.tools.ant.input.MultipleChoiceInputRequest,&lt;init&gt;,NOVALUE,2
org.apache.tools.ant.listener.MailLogger,buildFinished,NOVALUE,2
org.apache.tools.ant.taskdefs.Ant,copyReference,NOVALUE,2
org.apache.tools.ant.taskdefs.CVSPass,execute,NOVALUE,2
org.apache.tools.ant.taskdefs.Execute,getProcEnvCommand,NOVALUE,2
org.apache.tools.ant.taskdefs.FixCRLF$OneLiner,&lt;init&gt;,NOVALUE,2
org.apache.tools.ant.taskdefs.Get$GetThread,openConnection,NOVALUE,2
org.apache.tools.ant.taskdefs.Javadoc,execute,NOVALUE,2
org.apache.tools.ant.taskdefs.Length,execute,NOVALUE,2
org.apache.tools.ant.taskdefs.PumpStreamHandler,&lt;init&gt;,NOVALUE,2
org.apache.tools.ant.taskdefs.Replace$FileInput,&lt;init&gt;,NOVALUE,2
org.apache.tools.ant.taskdefs.Replace$FileOutput,&lt;init&gt;,NOVALUE,2
org.apache.tools.ant.taskdefs.Sync,removeEmptyDirectories,NOVALUE,2
org.apache.tools.ant.taskdefs.XSLTProcess,process,NOVALUE,2
org.apache.tools.ant.taskdefs.Zip,checkAttributesAndElements,modTimeMillis,2
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,executeExternalCompile,NOVALUE,2
org.apache.tools.ant.taskdefs.condition.IsLastModified$CompareMode,&lt;init&gt;,NOVALUE,2
org.apache.tools.ant.taskdefs.email.Message,print,NOVALUE,2
org.apache.tools.ant.taskdefs.optional.Cab,execute,NOVALUE,2
org.apache.tools.ant.taskdefs.optional.ccm.CCMCreateTask,setProcessOutputStream,NOVALUE,2
org.apache.tools.ant.taskdefs.optional.depend.Depend,writeCachedDependencies,NOVALUE,2
org.apache.tools.ant.taskdefs.optional.ejb.JonasDeploymentTool,deleteAllFiles,NOVALUE,2
org.apache.tools.ant.taskdefs.optional.ejb.JonasDeploymentTool,addGenICGeneratedFiles,NOVALUE,2
org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool,isRebuildRequired,NOVALUE,2
org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool,isRebuildRequired,NOVALUE,2
org.apache.tools.ant.taskdefs.optional.image.ImageIOTask,processDir,NOVALUE,2
org.apache.tools.ant.taskdefs.optional.junit.JUnitTask,execute,NOVALUE,2
org.apache.tools.ant.taskdefs.optional.pvcs.Pvcs,massagePCLI,NOVALUE,2
org.apache.tools.ant.taskdefs.optional.unix.Symlink,loadLinks,NOVALUE,2
org.apache.tools.ant.types.Quantifier,&lt;init&gt;,NOVALUE,2
org.apache.tools.ant.types.resources.FileResource,getOutputStream,NOVALUE,2
org.apache.tools.ant.types.resources.StringResource,&lt;init&gt;,NOVALUE,2
org.apache.tools.ant.types.resources.Union,&lt;init&gt;,NOVALUE,2
org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,getValue,NOVALUE,2
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,isSelected,NOVALUE,2
org.apache.tools.ant.util.LineOrientedOutputStreamRedirector,processLine,NOVALUE,2
org.apache.tools.ant.util.OutputStreamFunneler,&lt;init&gt;,NOVALUE,2
org.apache.tools.ant.util.ResourceUtils,textCompare,NOVALUE,2
org.apache.tools.ant.util.java15.ProxyDiagnostics,&lt;init&gt;,NOVALUE,2
org.apache.tools.bzip2.CBZip2InputStream,&lt;init&gt;,NOVALUE,2
org.apache.tools.bzip2.CBZip2OutputStream,&lt;init&gt;,NOVALUE,2
org.apache.tools.tar.TarEntry,&lt;init&gt;,NOVALUE,2
