class,count
org.apache.tools.ant.taskdefs.Zip,26
org.apache.tools.ant.taskdefs.Javac,21
org.apache.tools.ant.taskdefs.Rmic,19
org.apache.tools.ant.taskdefs.optional.junit.JUnitTask,19
org.apache.tools.ant.taskdefs.Javadoc,18
org.apache.tools.ant.taskdefs.Concat,17
org.apache.tools.ant.taskdefs.SQLExec,16
org.apache.tools.ant.Main,14
org.apache.tools.ant.taskdefs.Execute,13
org.apache.tools.ant.taskdefs.Redirector,12
org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool,12
org.apache.tools.ant.types.CommandlineJava,12
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,12
org.apache.tools.ant.BuildEvent,11
org.apache.tools.ant.helper.AntXMLContext,11
org.apache.tools.ant.taskdefs.Parallel,11
org.apache.tools.ant.taskdefs.optional.depend.Depend,11
org.apache.tools.ant.taskdefs.optional.testing.Funtest,11
org.apache.tools.ant.taskdefs.XSLTProcess,10
org.apache.tools.ant.taskdefs.optional.jsp.JspC,10
org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner,10
org.apache.tools.ant.taskdefs.Touch,9
org.apache.tools.ant.taskdefs.email.Mailer,9
org.apache.tools.ant.Project,8
org.apache.tools.ant.taskdefs.PathConvert,8
org.apache.tools.ant.types.ArchiveFileSet,8
org.apache.tools.ant.AntClassLoader,7
org.apache.tools.ant.ComponentHelper,7
org.apache.tools.ant.DirectoryScanner,7
org.apache.tools.ant.PropertyHelper,7
org.apache.tools.ant.RuntimeConfigurable,7
org.apache.tools.ant.taskdefs.ExecuteJava,6
org.apache.tools.ant.taskdefs.Length,6
org.apache.tools.ant.taskdefs.condition.ResourceContains,6
org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool,6
org.apache.tools.ant.taskdefs.optional.ejb.JonasDeploymentTool,6
org.apache.tools.ant.taskdefs.optional.unix.Symlink,6
org.apache.tools.ant.types.RedirectorElement,6
org.apache.tools.ant.util.FileUtils,6
org.apache.tools.ant.filters.util.ChainReaderHelper,5
org.apache.tools.ant.taskdefs.FixCRLF$OneLiner,5
org.apache.tools.ant.taskdefs.Get$GetThread,5
org.apache.tools.ant.taskdefs.MacroDef,5
org.apache.tools.ant.taskdefs.StreamPumper,5
org.apache.tools.ant.taskdefs.Sync,5
org.apache.tools.ant.taskdefs.optional.Javah,5
org.apache.tools.ant.taskdefs.optional.image.ImageIOTask,5
org.apache.tools.ant.taskdefs.optional.junit.AggregateTransformer,5
org.apache.tools.ant.taskdefs.optional.pvcs.Pvcs,5
org.apache.tools.ant.types.FilterSet,5
org.apache.tools.ant.types.PropertySet,5
org.apache.tools.ant.types.resources.AbstractClasspathResource,5
org.apache.tools.ant.types.resources.MappedResourceCollection,5
org.apache.tools.ant.types.resources.StringResource,5
org.apache.tools.zip.ZipFile$BoundedInputStream,5
org.apache.tools.zip.ZipOutputStream,5
org.apache.tools.ant.Task,4
org.apache.tools.ant.filters.FixCrLfFilter,4
org.apache.tools.ant.taskdefs.AbstractCvsTask,4
org.apache.tools.ant.taskdefs.Input$Handler,4
org.apache.tools.ant.taskdefs.JDBCTask,4
org.apache.tools.ant.taskdefs.Jar,4
org.apache.tools.ant.taskdefs.Property,4
org.apache.tools.ant.taskdefs.PumpStreamHandler,4
org.apache.tools.ant.taskdefs.RecorderEntry,4
org.apache.tools.ant.taskdefs.Replace,4
org.apache.tools.ant.taskdefs.Retry,4
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,4
org.apache.tools.ant.taskdefs.optional.Cab,4
org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool,4
org.apache.tools.ant.taskdefs.optional.junit.SummaryJUnitResultFormatter,4
org.apache.tools.ant.taskdefs.optional.splash.SplashScreen,4
org.apache.tools.ant.types.AbstractFileSet,4
org.apache.tools.ant.types.Mapper,4
org.apache.tools.ant.types.Permissions,4
org.apache.tools.ant.types.resources.ArchiveResource,4
org.apache.tools.ant.types.resources.URLResource,4
org.apache.tools.ant.util.ScriptRunnerHelper,4
org.apache.tools.ant.util.WorkerAnt,4
org.apache.tools.mail.MailMessage,4
org.apache.tools.zip.ZipEntry,4
org.apache.tools.zip.ZipFile,4
org.apache.tools.ant.DemuxOutputStream,3
org.apache.tools.ant.Diagnostics,3
org.apache.tools.ant.property.ParseProperties,3
org.apache.tools.ant.taskdefs.Ant,3
org.apache.tools.ant.taskdefs.Checksum,3
org.apache.tools.ant.taskdefs.CopyPath,3
org.apache.tools.ant.taskdefs.DependSet,3
org.apache.tools.ant.taskdefs.ExecuteOn,3
org.apache.tools.ant.taskdefs.Expand,3
org.apache.tools.ant.taskdefs.Get,3
org.apache.tools.ant.taskdefs.Java,3
org.apache.tools.ant.taskdefs.Javadoc$GroupArgument,3
org.apache.tools.ant.taskdefs.JikesOutputParser,3
org.apache.tools.ant.taskdefs.KeySubst,3
org.apache.tools.ant.taskdefs.Pack,3
org.apache.tools.ant.taskdefs.Replace$Replacefilter,3
org.apache.tools.ant.taskdefs.Tar,3
org.apache.tools.ant.taskdefs.Truncate,3
org.apache.tools.ant.taskdefs.cvslib.CVSEntry,3
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,3
