type,count
EI_EXPOSE_REP2,283
EI_EXPOSE_REP,201
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,148
DM_DEFAULT_ENCODING,112
CT_CONSTRUCTOR_THROW,78
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,50
IS2_INCONSISTENT_SYNC,35
SIC_INNER_SHOULD_BE_STATIC,13
DMI_HARDCODED_ABSOLUTE_FILENAME,10
REC_CATCH_EXCEPTION,9
DCN_NULLPOINTER_EXCEPTION,9
DMI_MISLEADING_SUBSTRING,9
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,9
MS_PKGPROTECT,8
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,8
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,8
NP_LOAD_OF_KNOWN_NULL_VALUE,6
SF_SWITCH_NO_DEFAULT,6
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,6
EQ_DOESNT_OVERRIDE_EQUALS,6
MS_EXPOSE_REP,6
AT_NONATOMIC_64BIT_PRIMITIVE,5
OS_OPEN_STREAM,4
DMI_BLOCKING_METHODS_ON_URL,4
UG_SYNC_SET_UNSYNC_GET,4
AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,4
NM_VERY_CONFUSING,4
DE_MIGHT_IGNORE,3
SE_BAD_FIELD,3
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,3
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,3
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3
URF_UNREAD_FIELD,3
NM_METHOD_NAMING_CONVENTION,3
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,3
ES_COMPARING_PARAMETER_STRING_WITH_EQ,2
SS_SHOULD_BE_STATIC,2
DMI_COLLECTION_OF_URLS,2
SBSC_USE_STRINGBUFFER_CONCATENATION,2
UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,2
UI_INHERITANCE_UNSAFE_GETRESOURCE,2
WMI_WRONG_MAP_ITERATOR,2
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,2
DM_GC,2
MS_SHOULD_BE_FINAL,2
SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,2
DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,1
OBL_UNSATISFIED_OBLIGATION,1
NP_BOOLEAN_RETURN_NULL,1
CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE,1
ESync_EMPTY_SYNC,1
NN_NAKED_NOTIFY,1
INT_BAD_COMPARISON_WITH_INT_VALUE,1
DMI_INVOKING_TOSTRING_ON_ARRAY,1
RpC_REPEATED_CONDITIONAL_TEST,1
NM_CLASS_NAMING_CONVENTION,1
DMI_RANDOM_USED_ONLY_ONCE,1
NP_TOSTRING_COULD_RETURN_NULL,1
VSC_VULNERABLE_SECURITY_CHECK_METHODS,1
CN_IDIOM_NO_SUPER_CALL,1
NP_NULL_PARAM_DEREF_ALL_TARGETS_DANGEROUS,1
BC_VACUOUS_INSTANCEOF,1
BC_UNCONFIRMED_CAST,1
STCAL_STATIC_SIMPLE_DATE_FORMAT_INSTANCE,1
IM_BAD_CHECK_FOR_ODD,1
REFLF_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_FIELD,1
RV_DONT_JUST_NULL_CHECK_READLINE,1
MS_OOI_PKGPROTECT,1
SF_SWITCH_FALLTHROUGH,1
