class,method,count
org.apache.tools.ant.Main,processArgs,10
org.apache.tools.ant.taskdefs.Concat,reset,6
org.apache.tools.ant.RuntimeConfigurable,NOVALUE,5
org.apache.tools.ant.taskdefs.Touch,NOVALUE,5
org.apache.tools.ant.DirectoryScanner,NOVALUE,4
org.apache.tools.ant.taskdefs.PumpStreamHandler,&lt;init&gt;,4
org.apache.tools.ant.taskdefs.Sync,removeEmptyDirectories,4
org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool,writeJar,4
org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool,getWeblogicDescriptorHandler,4
org.apache.tools.ant.taskdefs.optional.splash.SplashScreen,&lt;init&gt;,4
org.apache.tools.ant.types.resources.MappedResourceCollection,NOVALUE,4
org.apache.tools.zip.ZipFile,&lt;init&gt;,4
org.apache.tools.zip.ZipFile$BoundedInputStream,read,4
org.apache.tools.zip.ZipOutputStream,NOVALUE,4
org.apache.tools.ant.BuildEvent,&lt;init&gt;,3
org.apache.tools.ant.BuildEvent,NOVALUE,3
org.apache.tools.ant.filters.util.ChainReaderHelper,NOVALUE,3
org.apache.tools.ant.taskdefs.FixCRLF$OneLiner,&lt;init&gt;,3
org.apache.tools.ant.taskdefs.Javadoc,writeExternalArgs,3
org.apache.tools.ant.taskdefs.KeySubst,execute,3
org.apache.tools.ant.taskdefs.Zip,reset,3
org.apache.tools.ant.taskdefs.condition.ResourceContains,NOVALUE,3
org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool,registerKnownDTDs,3
org.apache.tools.ant.types.RedirectorElement,configure,3
org.apache.tools.ant.util.OutputStreamFunneler,&lt;init&gt;,3
org.apache.tools.bzip2.CBZip2OutputStream,&lt;init&gt;,3
org.apache.tools.mail.MailMessage,&lt;init&gt;,3
org.apache.tools.zip.ZipEntry,&lt;init&gt;,3
org.apache.tools.ant.AntClassLoader,&lt;clinit&gt;,2
org.apache.tools.ant.Diagnostics,doReportTasksAvailability,2
org.apache.tools.ant.Project,fireMessageLoggedEvent,2
org.apache.tools.ant.input.MultipleChoiceInputRequest,&lt;init&gt;,2
org.apache.tools.ant.listener.MailLogger,buildFinished,2
org.apache.tools.ant.property.ParseProperties,&lt;init&gt;,2
org.apache.tools.ant.taskdefs.Ant,copyReference,2
org.apache.tools.ant.taskdefs.CVSPass,execute,2
org.apache.tools.ant.taskdefs.Execute,getProcEnvCommand,2
org.apache.tools.ant.taskdefs.Expand,extractFile,2
org.apache.tools.ant.taskdefs.Get$GetThread,openConnection,2
org.apache.tools.ant.taskdefs.Javadoc,execute,2
org.apache.tools.ant.taskdefs.JikesOutputParser,NOVALUE,2
org.apache.tools.ant.taskdefs.Length,execute,2
org.apache.tools.ant.taskdefs.Length,NOVALUE,2
org.apache.tools.ant.taskdefs.Parallel,spinThreads,2
org.apache.tools.ant.taskdefs.Replace$FileInput,&lt;init&gt;,2
org.apache.tools.ant.taskdefs.Replace$FileOutput,&lt;init&gt;,2
org.apache.tools.ant.taskdefs.Rmic,getClasspath,2
org.apache.tools.ant.taskdefs.Rmic,getExtdirs,2
org.apache.tools.ant.taskdefs.SQLExec,execSQL,2
org.apache.tools.ant.taskdefs.Sync,execute,2
org.apache.tools.ant.taskdefs.XSLTProcess,process,2
