class,count
org.apache.cassandra.cql3.Cql_Parser,170
org.apache.cassandra.cql3.Cql_Parser$DFA21,48
org.apache.cassandra.config.DatabaseDescriptor,36
org.apache.cassandra.service.accord.AccordExecutor,24
org.apache.cassandra.tools.NodeProbe,16
org.apache.cassandra.concurrent.ManyToOneConcurrentLinkedQueue,15
org.apache.cassandra.concurrent.ManyToOneConcurrentLinkedQueuePadding1,15
org.apache.cassandra.concurrent.ManyToOneConcurrentLinkedQueuePadding2,15
org.apache.cassandra.service.accord.AccordService,15
org.apache.cassandra.db.compaction.CursorCompactor,13
org.apache.cassandra.db.virtual.PeersTable,13
org.apache.cassandra.service.accord.events.CacheEvents,13
org.apache.cassandra.tools.CMSOfflineTool$PrintDirectoryCmd,13
org.apache.cassandra.utils.FBUtilities,12
org.apache.cassandra.db.marshal.TypeParser,11
org.apache.cassandra.index.sasi.analyzer.StandardTokenizerImpl,11
org.apache.cassandra.repair.autorepair.AutoRepair,11
org.apache.cassandra.cql3.statements.SelectStatement,10
org.apache.cassandra.db.ColumnFamilyStore,10
org.apache.cassandra.service.accord.AccordCache,10
org.apache.cassandra.service.accord.AccordTask,10
org.apache.cassandra.cql3.statements.ModificationStatement,9
org.apache.cassandra.repair.autorepair.AutoRepairConfig,9
org.apache.cassandra.service.StorageService,9
org.apache.cassandra.utils.btree.BTreeMultimap,9
org.apache.cassandra.auth.AuthKeyspace,8
org.apache.cassandra.db.marshal.UserType,8
org.apache.cassandra.repair.autorepair.AutoRepairConfig$Options,8
org.apache.cassandra.concurrent.SEPWorker,7
org.apache.cassandra.cql3.Cql_Parser$DFA254,7
org.apache.cassandra.cql3.statements.TransactionStatement,7
org.apache.cassandra.cql3.statements.schema.CreateTableStatement,7
org.apache.cassandra.index.sai.plan.QueryController,7
org.apache.cassandra.index.sai.utils.IndexTermType,7
org.apache.cassandra.index.sasi.disk.OnDiskIndex,7
org.apache.cassandra.io.sstable.format.SSTableSimpleScanner,7
org.apache.cassandra.schema.ColumnMetadata,7
org.apache.cassandra.security.EncryptionContext,7
org.apache.cassandra.service.accord.AccordCacheEntry,7
org.apache.cassandra.stress.StressProfile,7
org.apache.cassandra.auth.AbstractCIDRAuthorizer,6
org.apache.cassandra.cql3.Operations,6
org.apache.cassandra.cql3.statements.schema.CreateViewStatement,6
org.apache.cassandra.cql3.transactions.RowDataReference,6
org.apache.cassandra.db.Directories,6
org.apache.cassandra.db.commitlog.CommitLogSegment,6
org.apache.cassandra.db.streaming.CassandraStreamReader$StreamDeserializer,6
org.apache.cassandra.index.sai.plan.Expression,6
org.apache.cassandra.index.sai.utils.PrimaryKey$Factory$WidePrimaryKey,6
org.apache.cassandra.io.sstable.SSTableIdentityIterator,6
org.apache.cassandra.io.sstable.format.big.BigTableReader$Builder,6
org.apache.cassandra.io.sstable.metadata.MetadataCollector,6
org.apache.cassandra.metrics.ClientMetrics,6
org.apache.cassandra.metrics.CommitLogMetrics,6
org.apache.cassandra.security.AbstractSslContextFactory,6
org.apache.cassandra.service.CassandraDaemon,6
org.apache.cassandra.service.accord.AccordCommandStore,6
org.apache.cassandra.stress.report.TimingInterval,6
org.apache.cassandra.tools.JMXTool$Info,6
org.apache.cassandra.tools.nodetool.stats.StatsTableComparator,6
org.apache.cassandra.utils.concurrent.SignalLock,6
org.apache.cassandra.cql3.statements.TransactionStatement$Parsed,5
org.apache.cassandra.db.NativeClustering,5
org.apache.cassandra.db.commitlog.CommitLogReplayer,5
org.apache.cassandra.db.filter.DataLimits$Serializer,5
org.apache.cassandra.db.filter.RowFilter$CustomExpression,5
org.apache.cassandra.db.marshal.TupleType,5
org.apache.cassandra.db.memtable.TrieMemtable$MemtableShard,5
org.apache.cassandra.db.rows.RangeTombstoneBoundaryMarker,5
org.apache.cassandra.db.streaming.CassandraIncomingFile,5
org.apache.cassandra.db.virtual.AbstractLazyVirtualTable$SimplePartitionsCollector,5
org.apache.cassandra.diag.DiagnosticEventService,5
org.apache.cassandra.index.accord.CheckpointIntervalArrayIndex$SortedListReader,5
org.apache.cassandra.index.accord.RouteJournalIndex,5
org.apache.cassandra.index.sai.memory.MemtableTermsIterator,5
org.apache.cassandra.index.sai.utils.PrimaryKey$Factory$StaticPrimaryKey,5
org.apache.cassandra.index.sasi.conf.ColumnIndex,5
org.apache.cassandra.index.sasi.plan.Expression,5
org.apache.cassandra.io.compress.CompressedSequentialWriter,5
org.apache.cassandra.io.sstable.CQLSSTableWriter$Builder,5
org.apache.cassandra.io.sstable.StressCQLSSTableWriter$Builder,5
org.apache.cassandra.metrics.DecayingEstimatedHistogramReservoir,5
org.apache.cassandra.service.accord.AccordSafeCommand,5
org.apache.cassandra.service.accord.AccordSafeCommandsForKey,5
org.apache.cassandra.service.accord.debug.DebugExecution$DebugTask,5
org.apache.cassandra.service.accord.txn.TxnReferenceOperations,5
org.apache.cassandra.simulator.asm.MethodLogger$Counting,5
org.apache.cassandra.stress.settings.SettingsColumn,5
org.apache.cassandra.utils.concurrent.LockWithAsyncSignal,5
org.apache.cassandra.utils.memory.BufferPool$MicroQueueOfChunks,5
org.apache.cassandra.auth.AuthCache,4
org.apache.cassandra.auth.CassandraCIDRAuthorizer,4
org.apache.cassandra.auth.PasswordAuthenticator,4
org.apache.cassandra.config.DataRateSpec,4
org.apache.cassandra.config.DurationSpec,4
org.apache.cassandra.config.EncryptionOptions,4
org.apache.cassandra.cql3.statements.BatchStatement,4
org.apache.cassandra.cql3.statements.schema.CreateIndexStatement$Raw,4
org.apache.cassandra.cql3.statements.schema.CreateViewStatement$Raw,4
org.apache.cassandra.cql3.transactions.ReferenceOperation,4
org.apache.cassandra.db.Keyspace,4
org.apache.cassandra.db.MutableDeletionInfo,4
org.apache.cassandra.db.SerializationHeader$Component,4
org.apache.cassandra.db.compaction.CompactionStrategyManager,4
org.apache.cassandra.db.compaction.unified.ShardedMultiWriter,4
org.apache.cassandra.db.compaction.writers.CompactionAwareWriter,4
org.apache.cassandra.db.guardrails.UUIDRoleNameGenerator,4
org.apache.cassandra.db.marshal.MapType,4
