class,method_name,count
org.apache.cassandra.cql3.Cql_Parser$DFA21,specialStateTransition,46
org.apache.cassandra.concurrent.ManyToOneConcurrentLinkedQueue,NOVALUE,15
org.apache.cassandra.concurrent.ManyToOneConcurrentLinkedQueuePadding1,NOVALUE,15
org.apache.cassandra.concurrent.ManyToOneConcurrentLinkedQueuePadding2,NOVALUE,15
org.apache.cassandra.db.virtual.PeersTable,NOVALUE,13
org.apache.cassandra.service.accord.events.CacheEvents,NOVALUE,13
org.apache.cassandra.tools.CMSOfflineTool$PrintDirectoryCmd,execute,13
org.apache.cassandra.repair.autorepair.AutoRepair,NOVALUE,9
org.apache.cassandra.repair.autorepair.AutoRepairConfig,NOVALUE,9
org.apache.cassandra.auth.AuthKeyspace,NOVALUE,8
org.apache.cassandra.config.DatabaseDescriptor,applySimpleConfig,8
org.apache.cassandra.cql3.statements.schema.CreateTableStatement,&lt;init&gt;,7
org.apache.cassandra.cql3.statements.ModificationStatement,&lt;init&gt;,6
org.apache.cassandra.cql3.statements.SelectStatement,&lt;init&gt;,6
org.apache.cassandra.metrics.CommitLogMetrics,NOVALUE,6
org.apache.cassandra.repair.autorepair.AutoRepairConfig$Options,NOVALUE,6
org.apache.cassandra.cql3.Cql_Parser$DFA254,specialStateTransition,5
org.apache.cassandra.cql3.statements.TransactionStatement,&lt;init&gt;,5
org.apache.cassandra.cql3.statements.TransactionStatement$Parsed,&lt;init&gt;,5
org.apache.cassandra.cql3.statements.schema.CreateViewStatement,&lt;init&gt;,5
org.apache.cassandra.db.Directories,&lt;init&gt;,5
org.apache.cassandra.db.memtable.TrieMemtable$MemtableShard,put,5
org.apache.cassandra.metrics.ClientMetrics,NOVALUE,5
org.apache.cassandra.service.accord.txn.TxnReferenceOperations,&lt;init&gt;,5
org.apache.cassandra.simulator.asm.MethodLogger$Counting,visitEndOfClass,5
org.apache.cassandra.config.DurationSpec,&lt;init&gt;,4
org.apache.cassandra.cql3.Cql_Parser,non_type_ident,4
org.apache.cassandra.cql3.statements.schema.CreateIndexStatement$Raw,&lt;init&gt;,4
org.apache.cassandra.db.compaction.unified.ShardedMultiWriter,&lt;init&gt;,4
org.apache.cassandra.db.marshal.UserType,&lt;init&gt;,4
org.apache.cassandra.db.streaming.CassandraStreamReader$StreamDeserializer,&lt;init&gt;,4
org.apache.cassandra.index.internal.CollatedViewIndexBuilder,&lt;init&gt;,4
org.apache.cassandra.index.sai.disk.v1.MemtableIndexWriter,&lt;init&gt;,4
org.apache.cassandra.index.sai.disk.v1.postings.PostingsWriter,&lt;init&gt;,4
org.apache.cassandra.index.sai.plan.Expression,NOVALUE,4
org.apache.cassandra.index.sai.plan.QueryController,&lt;init&gt;,4
org.apache.cassandra.index.sasi.analyzer.StandardTokenizerImpl,NOVALUE,4
org.apache.cassandra.io.sstable.SSTableIdentityIterator,&lt;init&gt;,4
org.apache.cassandra.io.util.File,&lt;init&gt;,4
org.apache.cassandra.locator.AbstractReplicaCollection$ReplicaMap,&lt;init&gt;,4
org.apache.cassandra.repair.StreamingRepairTask,&lt;init&gt;,4
org.apache.cassandra.security.EncryptionContext,&lt;init&gt;,4
org.apache.cassandra.service.accord.AccordService,unsafeSetNewAccordService,4
org.apache.cassandra.service.accord.debug.DebugExecution$DebugTask,NOVALUE,4
org.apache.cassandra.service.accord.interop.AccordInteropExecution,&lt;init&gt;,4
org.apache.cassandra.service.reads.ReadCallback,&lt;init&gt;,4
org.apache.cassandra.simulator.asm.MethodLogger$Counting$1,visitEnd,4
org.apache.cassandra.stress.StressProfile,NOVALUE,4
org.apache.cassandra.utils.IntervalTree$IntervalNode,&lt;init&gt;,4
org.apache.cassandra.auth.AbstractCIDRAuthorizer,NOVALUE,3
org.apache.cassandra.concurrent.SEPWorker,NOVALUE,3
org.apache.cassandra.config.DataRateSpec,&lt;init&gt;,3
org.apache.cassandra.config.DataStorageSpec,&lt;init&gt;,3
org.apache.cassandra.cql3.Cql_Parser,NOVALUE,3
org.apache.cassandra.cql3.Cql_Parser,normalColumnOperation,3
org.apache.cassandra.cql3.Cql_Parser,shorthandColumnOperation,3
org.apache.cassandra.cql3.Cql_Parser,ident,3
org.apache.cassandra.cql3.Cql_Parser,noncol_ident,3
org.apache.cassandra.cql3.Cql_Parser,securityLabelOnColumnStatement,3
org.apache.cassandra.cql3.Cql_Parser,securityLabelOnUserTypeFieldStatement,3
org.apache.cassandra.cql3.Cql_Parser,addIdentityStatement,3
org.apache.cassandra.cql3.Cql_Parser,jmxResource,3
org.apache.cassandra.cql3.statements.BatchStatement,&lt;init&gt;,3
org.apache.cassandra.cql3.statements.schema.CreateAggregateStatement,&lt;init&gt;,3
org.apache.cassandra.cql3.statements.schema.CreateFunctionStatement$Raw,&lt;init&gt;,3
org.apache.cassandra.cql3.statements.schema.CreateViewStatement$Raw,&lt;init&gt;,3
org.apache.cassandra.cql3.transactions.ReferenceOperation,&lt;init&gt;,3
org.apache.cassandra.cql3.transactions.RowDataReference,&lt;init&gt;,3
org.apache.cassandra.db.ColumnFamilyStore,&lt;init&gt;,3
org.apache.cassandra.db.Keyspace,&lt;init&gt;,3
org.apache.cassandra.db.compaction.CompactionStrategyManager,&lt;init&gt;,3
org.apache.cassandra.db.compaction.writers.CompactionAwareWriter,&lt;init&gt;,3
org.apache.cassandra.db.filter.DataLimits$Serializer,serialize,3
org.apache.cassandra.db.memtable.ShardedSkipListMemtable$MemtableUnfilteredPartitionIterator,&lt;init&gt;,3
org.apache.cassandra.db.partitions.BTreePartitionUpdater,NOVALUE,3
org.apache.cassandra.db.rows.BufferCell,&lt;init&gt;,3
org.apache.cassandra.db.rows.RangeTombstoneBoundaryMarker,&lt;init&gt;,3
org.apache.cassandra.db.streaming.CassandraEntireSSTableStreamReader,&lt;init&gt;,3
org.apache.cassandra.db.streaming.CassandraIncomingFile,&lt;init&gt;,3
org.apache.cassandra.db.streaming.CassandraStreamReceiver,&lt;init&gt;,3
org.apache.cassandra.db.view.ViewBuilderTask,call,3
org.apache.cassandra.db.virtual.AbstractLazyVirtualTable$SimplePartitionsCollector,&lt;init&gt;,3
org.apache.cassandra.dht.BootStrapper,&lt;init&gt;,3
org.apache.cassandra.diag.DiagnosticEventService,NOVALUE,3
org.apache.cassandra.fqltool.ResultStore$RowReader,readMarshallable,3
org.apache.cassandra.index.accord.RouteJournalIndex,&lt;init&gt;,3
org.apache.cassandra.index.sai.disk.v1.keystore.KeyStoreWriter,&lt;init&gt;,3
org.apache.cassandra.index.sai.disk.v1.segment.LiteralIndexSegmentTermsReader,&lt;init&gt;,3
org.apache.cassandra.index.sai.disk.v1.vector.BruteForceRowIdIterator,&lt;init&gt;,3
org.apache.cassandra.index.sai.memory.MemtableTermsIterator,&lt;init&gt;,3
org.apache.cassandra.index.sai.metrics.AbstractMetrics,&lt;init&gt;,3
org.apache.cassandra.index.sasi.conf.ColumnIndex,&lt;init&gt;,3
org.apache.cassandra.index.sasi.conf.view.RangeTermTree,&lt;init&gt;,3
org.apache.cassandra.index.sasi.utils.MappedBuffer,&lt;init&gt;,3
org.apache.cassandra.index.sasi.utils.RangeIterator,&lt;init&gt;,3
org.apache.cassandra.io.compress.CompressedSequentialWriter,flushData,3
org.apache.cassandra.io.sstable.RangeAwareSSTableWriter,&lt;init&gt;,3
org.apache.cassandra.io.sstable.format.SSTableSimpleScanner,advanceRange,3
org.apache.cassandra.io.sstable.indexsummary.IndexSummary,&lt;init&gt;,3
org.apache.cassandra.io.util.FileOutputStreamPlus,&lt;init&gt;,3
org.apache.cassandra.io.util.LengthAvailableInputStream,read,3
org.apache.cassandra.io.util.TeeDataInputPlus,&lt;init&gt;,3
org.apache.cassandra.metrics.SamplingManager$ResultBuilder,&lt;init&gt;,3
org.apache.cassandra.net.AbstractMessageHandler,&lt;init&gt;,3
org.apache.cassandra.net.InboundMessageHandlers,&lt;init&gt;,3
org.apache.cassandra.net.InternodeConnectionUtils,NOVALUE,3
org.apache.cassandra.service.accord.AccordCache,evict,3
org.apache.cassandra.service.accord.AccordCommandStore$DurablyAppliedTo,&lt;init&gt;,3
org.apache.cassandra.service.accord.AccordExecutor,enqueueLoadsExclusive,3
org.apache.cassandra.service.accord.AccordExecutor,submit,3
org.apache.cassandra.service.accord.journal.JournalRangeIndex$Loader,isMaybeRelevant,3
org.apache.cassandra.service.accord.txn.AbstractKeySorted,&lt;init&gt;,3
org.apache.cassandra.service.accord.txn.TxnReferenceOperation,&lt;init&gt;,3
org.apache.cassandra.service.paxos.cleanup.PaxosCleanup,&lt;init&gt;,3
org.apache.cassandra.service.paxos.v1.PrepareCallback,NOVALUE,3
org.apache.cassandra.service.reads.repair.AbstractReadRepair,&lt;init&gt;,3
org.apache.cassandra.simulator.asm.ClassTransformer,&lt;init&gt;,3
org.apache.cassandra.streaming.async.StreamingMultiplexedChannel,&lt;init&gt;,3
org.apache.cassandra.streaming.messages.StreamMessageHeader,NOVALUE,3
org.apache.cassandra.stress.generate.PartitionGenerator,&lt;init&gt;,3
org.apache.cassandra.stress.report.TimingInterval,NOVALUE,3
org.apache.cassandra.stress.settings.SettingsColumn,&lt;init&gt;,3
org.apache.cassandra.tcm.ClusterMetadata,&lt;init&gt;,3
org.apache.cassandra.tcm.sequences.InProgressSequences,NOVALUE,3
org.apache.cassandra.tools.BulkLoader$ProgressIndicator,NOVALUE,3
org.apache.cassandra.tools.NodeProbe,&lt;init&gt;,3
org.apache.cassandra.tools.NodeProbe,perform,3
org.apache.cassandra.tools.RepairRunner,&lt;init&gt;,3
org.apache.cassandra.tools.nodetool.stats.StatsKeyspace,NOVALUE,3
org.apache.cassandra.utils.EstimatedHistogram,&lt;init&gt;,3
org.apache.cassandra.utils.memory.BufferPool$MicroQueueOfChunks,forEach,3
org.apache.cassandra.auth.AbstractCIDRAuthorizer,createManagers,2
org.apache.cassandra.auth.CassandraCIDRAuthorizer,NOVALUE,2
org.apache.cassandra.auth.CassandraCIDRAuthorizer,setup,2
org.apache.cassandra.auth.jmx.AuthorizationProxy,checkVulnerableMethods,2
org.apache.cassandra.concurrent.SEPWorker,doWaitSpin,2
org.apache.cassandra.concurrent.SEPWorker,stopSpinning,2
org.apache.cassandra.config.EncryptionOptions,equals,2
org.apache.cassandra.config.EncryptionOptions$Builder,NOVALUE,2
org.apache.cassandra.cql3.CqlLexer$DFA1,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer,NOVALUE,2
org.apache.cassandra.cql3.Cql_Lexer$DFA13,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA22,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA25,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA32,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA35,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA50,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA57,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser,allowedFunctionName,2
org.apache.cassandra.cql3.Cql_Parser,createFunctionStatement,2
org.apache.cassandra.cql3.Cql_Parser,commentOnColumnStatement,2
org.apache.cassandra.cql3.Cql_Parser,commentOnUserTypeFieldStatement,2
org.apache.cassandra.cql3.Cql_Parser,securityLabelOnKeyspaceStatement,2
org.apache.cassandra.cql3.Cql_Parser,securityLabelOnTableStatement,2
org.apache.cassandra.cql3.Cql_Parser,securityLabelOnUserTypeStatement,2
org.apache.cassandra.cql3.Cql_Parser,selectStatement,2
org.apache.cassandra.cql3.Cql_Parser,alterUserStatement,2
org.apache.cassandra.cql3.Cql_Parser,createUserStatement,2
org.apache.cassandra.cql3.Cql_Parser,dropIdentityStatement,2
