type,count
EI_EXPOSE_REP2,762
EI_EXPOSE_REP,426
CT_CONSTRUCTOR_THROW,382
SF_SWITCH_NO_DEFAULT,163
MS_SHOULD_BE_FINAL,108
DLS_DEAD_LOCAL_STORE,75
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,51
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,46
UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,45
DM_DEFAULT_ENCODING,38
SIC_INNER_SHOULD_BE_STATIC,36
AT_NONATOMIC_64BIT_PRIMITIVE,35
AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,35
MS_EXPOSE_REP,32
SF_SWITCH_FALLTHROUGH,29
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,27
EQ_COMPARETO_USE_OBJECT_EQUALS,25
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,23
HE_EQUALS_USE_HASHCODE,21
SE_BAD_FIELD,20
EQ_DOESNT_OVERRIDE_EQUALS,19
VA_FORMAT_STRING_USES_NEWLINE,18
DM_EXIT,18
REC_CATCH_EXCEPTION,17
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,17
URF_UNREAD_FIELD,17
EI_EXPOSE_STATIC_REP2,15
NP_NULL_PARAM_DEREF,15
IS2_INCONSISTENT_SYNC,15
IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD,15
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,13
HSM_HIDING_METHOD,13
NS_DANGEROUS_NON_SHORT_CIRCUIT,12
MS_PKGPROTECT,11
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,10
RV_NEGATING_RESULT_OF_COMPARETO,9
NP_NULL_ON_SOME_PATH,8
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,8
HE_INHERITS_EQUALS_USE_HASHCODE,8
VO_VOLATILE_INCREMENT,7
SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,7
SR_NOT_CHECKED,7
NP_METHOD_PARAMETER_TIGHTENS_ANNOTATION,7
UG_SYNC_SET_UNSYNC_GET,6
UWF_NULL_FIELD,6
