class,method,field,count
org.apache.cassandra.cql3.Cql_Parser$DFA17,specialStateTransition,NOVALUE,46
org.apache.cassandra.cql3.Cql_Parser$DFA202,specialStateTransition,NOVALUE,5
org.apache.cassandra.metrics.DecayingEstimatedHistogramReservoir,&lt;init&gt;,NOVALUE,5
org.apache.cassandra.service.snapshot.TableSnapshot,getLiveFileFromSnapshotFile,NOVALUE,5
org.apache.cassandra.simulator.asm.MethodLogger$Counting,visitEndOfClass,NOVALUE,5
org.apache.cassandra.config.DurationSpec,&lt;init&gt;,NOVALUE,4
org.apache.cassandra.cql3.Cql_Parser,non_type_ident,NOVALUE,4
org.apache.cassandra.index.sai.disk.v1.postings.PostingsWriter,&lt;init&gt;,NOVALUE,4
org.apache.cassandra.io.util.File,&lt;init&gt;,NOVALUE,4
org.apache.cassandra.service.snapshot.SnapshotLoader$Visitor,preVisitDirectory,NOVALUE,4
org.apache.cassandra.simulator.asm.MethodLogger$Counting$1,visitEnd,NOVALUE,4
org.apache.cassandra.config.DataRateSpec,&lt;init&gt;,NOVALUE,3
org.apache.cassandra.config.DataStorageSpec,&lt;init&gt;,NOVALUE,3
org.apache.cassandra.cql3.Cql_Parser,normalColumnOperation,NOVALUE,3
org.apache.cassandra.cql3.Cql_Parser,ident,NOVALUE,3
org.apache.cassandra.cql3.Cql_Parser,noncol_ident,NOVALUE,3
org.apache.cassandra.cql3.Cql_Parser,addIdentityStatement,NOVALUE,3
org.apache.cassandra.cql3.Cql_Parser,jmxResource,NOVALUE,3
org.apache.cassandra.db.Directories,&lt;init&gt;,NOVALUE,3
org.apache.cassandra.db.Keyspace,&lt;init&gt;,NOVALUE,3
org.apache.cassandra.db.filter.DataLimits$Serializer,serialize,NOVALUE,3
org.apache.cassandra.db.rows.NativeCell,&lt;init&gt;,NOVALUE,3
org.apache.cassandra.db.view.ViewBuilderTask,call,keysBuilt,3
org.apache.cassandra.fqltool.ResultStore$RowReader,readMarshallable,NOVALUE,3
org.apache.cassandra.index.sai.metrics.AbstractMetrics,&lt;init&gt;,NOVALUE,3
