type,count
EI_EXPOSE_REP2,501
CT_CONSTRUCTOR_THROW,284
EI_EXPOSE_REP,241
SF_SWITCH_NO_DEFAULT,126
DLS_DEAD_LOCAL_STORE,59
UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,45
MS_SHOULD_BE_FINAL,44
NP_PARAMETER_MUST_BE_NONNULL_BUT_MARKED_AS_NULLABLE,42
SIC_INNER_SHOULD_BE_STATIC,27
AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,26
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,25
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,24
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,23
MS_EXPOSE_REP,23
DM_DEFAULT_ENCODING,23
AT_NONATOMIC_64BIT_PRIMITIVE,21
EQ_COMPARETO_USE_OBJECT_EQUALS,19
IS2_INCONSISTENT_SYNC,17
REC_CATCH_EXCEPTION,14
HE_EQUALS_USE_HASHCODE,13
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,13
NS_DANGEROUS_NON_SHORT_CIRCUIT,12
DM_EXIT,12
NP_NULL_PARAM_DEREF,11
SF_SWITCH_FALLTHROUGH,11
EQ_DOESNT_OVERRIDE_EQUALS,10
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,10
HE_INHERITS_EQUALS_USE_HASHCODE,10
EI_EXPOSE_STATIC_REP2,9
VO_VOLATILE_INCREMENT,8
VA_FORMAT_STRING_USES_NEWLINE,8
RV_NEGATING_RESULT_OF_COMPARETO,8
URF_UNREAD_FIELD,8
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,7
NP_NULL_ON_SOME_PATH,7
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,7
SR_NOT_CHECKED,7
DM_BOXED_PRIMITIVE_FOR_PARSING,7
UG_SYNC_SET_UNSYNC_GET,6
SE_BAD_FIELD,6
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,6
DCN_NULLPOINTER_EXCEPTION,5
FE_FLOATING_POINT_EQUALITY,5
MS_PKGPROTECT,5
IC_SUPERCLASS_USES_SUBCLASS_DURING_INITIALIZATION,5
HSM_HIDING_METHOD,5
BC_UNCONFIRMED_CAST,4
WMI_WRONG_MAP_ITERATOR,4
IT_NO_SUCH_ELEMENT,4
SS_SHOULD_BE_STATIC,4
NP_METHOD_PARAMETER_TIGHTENS_ANNOTATION,4
NM_SAME_SIMPLE_NAME_AS_INTERFACE,4
DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,3
NP_BOOLEAN_RETURN_NULL,3
SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,3
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,3
IM_BAD_CHECK_FOR_ODD,3
NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,3
DMI_RANDOM_USED_ONLY_ONCE,3
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,2
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,2
MS_MUTABLE_COLLECTION_PKGPROTECT,2
NP_LOAD_OF_KNOWN_NULL_VALUE,2
CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE,2
EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC,2
EQ_UNUSUAL,2
IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD,2
ICAST_IDIV_CAST_TO_DOUBLE,2
UWF_NULL_FIELD,2
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,2
UUF_UNUSED_FIELD,2
ME_MUTABLE_ENUM_FIELD,2
DM_BOXED_PRIMITIVE_FOR_COMPARE,2
ES_COMPARING_STRINGS_WITH_EQ,1
ES_COMPARING_PARAMETER_STRING_WITH_EQ,1
SE_BAD_FIELD_STORE,1
UR_UNINIT_READ,1
IC_INIT_CIRCULARITY,1
BC_VACUOUS_INSTANCEOF,1
PERM_SUPER_NOT_CALLED_IN_GETPERMISSIONS,1
DE_MIGHT_IGNORE,1
RR_NOT_CHECKED,1
MF_CLASS_MASKS_FIELD,1
DC_DOUBLECHECK,1
MS_SHOULD_BE_REFACTORED_TO_BE_FINAL,1
STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE,1
STCAL_STATIC_SIMPLE_DATE_FORMAT_INSTANCE,1
UC_USELESS_CONDITION,1
LI_LAZY_INIT_STATIC,1
SWL_SLEEP_WITH_LOCK_HELD,1
SBSC_USE_STRINGBUFFER_CONCATENATION,1
NP_NULL_ON_SOME_PATH_EXCEPTION,1
OS_OPEN_STREAM,1
RU_INVOKE_RUN,1
JLM_JSR166_UTILCONCURRENT_MONITORENTER,1
NP_GUARANTEED_DEREF_ON_EXCEPTION_PATH,1
MS_MUTABLE_COLLECTION,1
BX_UNBOXING_IMMEDIATELY_REBOXED,1
RV_RETURN_VALUE_OF_PUTIFABSENT_IGNORED,1
NS_NON_SHORT_CIRCUIT,1
EQ_GETCLASS_AND_CLASS_CONSTANT,1
NN_NAKED_NOTIFY,1
MS_MUTABLE_ARRAY,1
UC_USELESS_OBJECT,1
LI_LAZY_INIT_UPDATE_STATIC,1
REFLF_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_FIELD,1
INT_VACUOUS_BIT_OPERATION,1
NM_CLASS_NOT_EXCEPTION,1
EQ_CHECK_FOR_OPERAND_NOT_COMPATIBLE_WITH_THIS,1
FI_EXPLICIT_INVOCATION,1
FI_PUBLIC_SHOULD_BE_PROTECTED,1
UWF_UNWRITTEN_FIELD,1
UPM_UNCALLED_PRIVATE_METHOD,1
