class,method,field,count
org.apache.cassandra.cql3.Cql_Parser$DFA17,specialStateTransition,NOVALUE,45
org.apache.cassandra.cql3.Cql_Parser$DFA175,specialStateTransition,NOVALUE,5
org.apache.cassandra.metrics.DecayingEstimatedHistogramReservoir,&lt;init&gt;,NOVALUE,5
org.apache.cassandra.cql3.Cql_Parser,non_type_ident,NOVALUE,4
org.apache.cassandra.db.Directories,&lt;init&gt;,NOVALUE,4
org.apache.cassandra.io.sstable.Descriptor,&lt;init&gt;,NOVALUE,4
org.apache.cassandra.cql3.Cql_Parser,normalColumnOperation,NOVALUE,3
org.apache.cassandra.cql3.Cql_Parser,ident,NOVALUE,3
org.apache.cassandra.cql3.Cql_Parser,noncol_ident,NOVALUE,3
org.apache.cassandra.cql3.Cql_Parser,jmxResource,NOVALUE,3
org.apache.cassandra.db.Memtable$FlushRunnable,&lt;init&gt;,NOVALUE,3
org.apache.cassandra.db.WindowsFailedSnapshotTracker,deleteOldSnapshots,NOVALUE,3
org.apache.cassandra.db.filter.DataLimits$Serializer,serialize,NOVALUE,3
org.apache.cassandra.db.view.ViewBuilderTask,call,keysBuilt,3
org.apache.cassandra.hadoop.cql3.CqlBulkRecordWriter,&lt;init&gt;,NOVALUE,3
org.apache.cassandra.hadoop.cql3.CqlRecordWriter,&lt;init&gt;,NOVALUE,3
org.apache.cassandra.index.sasi.utils.MappedBuffer,&lt;init&gt;,NOVALUE,3
org.apache.cassandra.index.sasi.utils.RangeIterator,&lt;init&gt;,NOVALUE,3
org.apache.cassandra.io.util.LengthAvailableInputStream,read,remainingBytes,3
org.apache.cassandra.tools.NodeProbe,&lt;init&gt;,NOVALUE,3
org.apache.cassandra.utils.memory.BufferPool$MicroQueueOfChunks,forEach,NOVALUE,3
org.apache.cassandra.concurrent.ExecutorLocal,&lt;clinit&gt;,NOVALUE,2
org.apache.cassandra.concurrent.SEPWorker,doWaitSpin,soleSpinnerSpinTime,2
