class,method_name,count
org.apache.cassandra.cql3.Cql_Parser$DFA17,specialStateTransition,45
org.apache.cassandra.net.ManyToOneConcurrentLinkedQueue,NOVALUE,15
org.apache.cassandra.net.ManyToOneConcurrentLinkedQueuePadding1,NOVALUE,15
org.apache.cassandra.net.ManyToOneConcurrentLinkedQueuePadding2,NOVALUE,15
org.apache.cassandra.cql3.statements.ModificationStatement,&lt;init&gt;,6
org.apache.cassandra.cql3.statements.schema.CreateTableStatement,&lt;init&gt;,6
org.apache.cassandra.db.Directories,&lt;init&gt;,6
org.apache.cassandra.metrics.CommitLogMetrics,NOVALUE,6
org.apache.cassandra.cql3.Cql_Parser$DFA175,specialStateTransition,5
org.apache.cassandra.cql3.statements.schema.CreateViewStatement,&lt;init&gt;,5
org.apache.cassandra.io.util.RewindableDataInputStreamPlus,writeOne,5
org.apache.cassandra.metrics.DecayingEstimatedHistogramReservoir,&lt;init&gt;,5
org.apache.cassandra.config.DatabaseDescriptor,applySimpleConfig,4
org.apache.cassandra.cql3.Cql_Parser,non_type_ident,4
org.apache.cassandra.cql3.statements.SelectStatement,&lt;init&gt;,4
org.apache.cassandra.cql3.statements.schema.CreateIndexStatement$Raw,&lt;init&gt;,4
org.apache.cassandra.index.internal.CollatedViewIndexBuilder,&lt;init&gt;,4
org.apache.cassandra.index.sasi.analyzer.StandardTokenizerImpl,NOVALUE,4
org.apache.cassandra.io.sstable.Descriptor,&lt;init&gt;,4
org.apache.cassandra.io.sstable.SSTableIdentityIterator,&lt;init&gt;,4
org.apache.cassandra.io.sstable.format.SSTableReaderBuilder,&lt;init&gt;,4
org.apache.cassandra.io.util.RewindableDataInputStreamPlus,skip,4
org.apache.cassandra.io.util.RewindableDataInputStreamPlus,writeMulti,4
org.apache.cassandra.locator.AbstractReplicaCollection$ReplicaMap,&lt;init&gt;,4
org.apache.cassandra.security.EncryptionContext,&lt;init&gt;,4
org.apache.cassandra.concurrent.SEPWorker,NOVALUE,3
org.apache.cassandra.cql3.Cql_Parser,NOVALUE,3
org.apache.cassandra.cql3.Cql_Parser,normalColumnOperation,3
org.apache.cassandra.cql3.Cql_Parser,ident,3
org.apache.cassandra.cql3.Cql_Parser,noncol_ident,3
org.apache.cassandra.cql3.Cql_Parser,jmxResource,3
org.apache.cassandra.cql3.statements.BatchStatement,&lt;init&gt;,3
org.apache.cassandra.cql3.statements.schema.CreateAggregateStatement,&lt;init&gt;,3
org.apache.cassandra.cql3.statements.schema.CreateFunctionStatement$Raw,&lt;init&gt;,3
org.apache.cassandra.cql3.statements.schema.CreateViewStatement$Raw,&lt;init&gt;,3
org.apache.cassandra.db.ColumnIndex,&lt;init&gt;,3
org.apache.cassandra.db.Memtable$FlushRunnable,&lt;init&gt;,3
org.apache.cassandra.db.Memtable$MemtableUnfilteredPartitionIterator,&lt;init&gt;,3
org.apache.cassandra.db.WindowsFailedSnapshotTracker,deleteOldSnapshots,3
org.apache.cassandra.db.commitlog.AbstractCommitLogService$SyncRunnable,maybeLogFlushLag,3
org.apache.cassandra.db.compaction.CompactionStrategyManager,&lt;init&gt;,3
org.apache.cassandra.db.compaction.writers.CompactionAwareWriter,&lt;init&gt;,3
org.apache.cassandra.db.filter.DataLimits$Serializer,serialize,3
org.apache.cassandra.db.rows.RangeTombstoneBoundaryMarker,&lt;init&gt;,3
org.apache.cassandra.db.streaming.CassandraEntireSSTableStreamReader,&lt;init&gt;,3
org.apache.cassandra.db.streaming.CassandraIncomingFile,&lt;init&gt;,3
org.apache.cassandra.db.view.ViewBuilderTask,call,3
org.apache.cassandra.dht.BootStrapper,&lt;init&gt;,3
org.apache.cassandra.diag.DiagnosticEventService,NOVALUE,3
org.apache.cassandra.hadoop.ColumnFamilySplit,&lt;init&gt;,3
org.apache.cassandra.hadoop.cql3.CqlBulkRecordWriter,&lt;init&gt;,3
org.apache.cassandra.hadoop.cql3.CqlRecordWriter,&lt;init&gt;,3
org.apache.cassandra.index.sasi.conf.ColumnIndex,&lt;init&gt;,3
org.apache.cassandra.index.sasi.conf.view.RangeTermTree,&lt;init&gt;,3
org.apache.cassandra.index.sasi.utils.MappedBuffer,&lt;init&gt;,3
org.apache.cassandra.index.sasi.utils.RangeIterator,&lt;init&gt;,3
org.apache.cassandra.io.compress.CompressedSequentialWriter,flushData,3
org.apache.cassandra.io.compress.CompressionMetadata,&lt;init&gt;,3
org.apache.cassandra.io.sstable.IndexSummary,&lt;init&gt;,3
org.apache.cassandra.io.util.LengthAvailableInputStream,read,3
org.apache.cassandra.io.util.RewindableDataInputStreamPlus,readMulti,3
org.apache.cassandra.io.util.RewindableDataInputStreamPlus,readOne,3
org.apache.cassandra.net.AbstractMessageHandler,&lt;init&gt;,3
org.apache.cassandra.service.paxos.PrepareCallback,NOVALUE,3
org.apache.cassandra.service.reads.ReadCallback,&lt;init&gt;,3
org.apache.cassandra.streaming.messages.StreamMessageHeader,NOVALUE,3
org.apache.cassandra.tools.BulkLoader$ProgressIndicator,NOVALUE,3
org.apache.cassandra.tools.NodeProbe,&lt;init&gt;,3
org.apache.cassandra.tools.RepairRunner,&lt;init&gt;,3
org.apache.cassandra.tools.nodetool.stats.StatsKeyspace,NOVALUE,3
org.apache.cassandra.tools.nodetool.stats.StatsTable,NOVALUE,3
org.apache.cassandra.utils.EstimatedHistogram,&lt;init&gt;,3
org.apache.cassandra.utils.memory.BufferPool$MicroQueueOfChunks,forEach,3
org.apache.cassandra.concurrent.ExecutorLocal,&lt;clinit&gt;,2
org.apache.cassandra.concurrent.SEPWorker,doWaitSpin,2
org.apache.cassandra.concurrent.SEPWorker,stopSpinning,2
org.apache.cassandra.config.EncryptionOptions,acceptedProtocols,2
org.apache.cassandra.config.EncryptionOptions,equals,2
org.apache.cassandra.cql3.CqlLexer$DFA1,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer,NOVALUE,2
org.apache.cassandra.cql3.Cql_Lexer$DFA10,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA24,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA26,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA30,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA32,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA39,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Lexer$DFA46,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser,allowedFunctionName,2
org.apache.cassandra.cql3.Cql_Parser,createFunctionStatement,2
org.apache.cassandra.cql3.Cql_Parser,selectStatement,2
org.apache.cassandra.cql3.Cql_Parser,alterUserStatement,2
org.apache.cassandra.cql3.Cql_Parser,createUserStatement,2
org.apache.cassandra.cql3.Cql_Parser,dropUserStatement,2
org.apache.cassandra.cql3.Cql_Parser$DFA1,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA11,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA146,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA17,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA173,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA175,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA181,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA182,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA2,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA200,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA202,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA204,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA206,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA209,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA212,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA22,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA220,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA224,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA225,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA235,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA30,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA31,&lt;init&gt;,2
org.apache.cassandra.cql3.Cql_Parser$DFA61,&lt;init&gt;,2
org.apache.cassandra.cql3.UpdateParameters,&lt;init&gt;,2
org.apache.cassandra.cql3.UserTypes$DelayedValue,&lt;init&gt;,2
org.apache.cassandra.cql3.functions.FunctionCall$Raw,&lt;init&gt;,2
org.apache.cassandra.cql3.functions.JavaBasedUDFunction,&lt;clinit&gt;,2
org.apache.cassandra.cql3.functions.UDFunction,&lt;init&gt;,2
org.apache.cassandra.cql3.functions.types.utils.Bytes,wrapCharArray,2
org.apache.cassandra.cql3.restrictions.TokenRestriction,&lt;init&gt;,2
org.apache.cassandra.cql3.selection.Selectable$WithFunction$Raw,&lt;init&gt;,2
org.apache.cassandra.cql3.selection.Selectable$WithMapOrUdt,&lt;init&gt;,2
org.apache.cassandra.cql3.selection.Selectable$WithTypeHint,&lt;init&gt;,2
org.apache.cassandra.cql3.statements.UpdateStatement$ParsedInsert,&lt;init&gt;,2
org.apache.cassandra.cql3.statements.schema.AlterViewStatement$Raw,&lt;init&gt;,2
org.apache.cassandra.cql3.statements.schema.CreateAggregateStatement$Raw,&lt;init&gt;,2
org.apache.cassandra.cql3.statements.schema.CreateFunctionStatement,&lt;init&gt;,2
org.apache.cassandra.cql3.statements.schema.CreateIndexStatement,&lt;init&gt;,2
org.apache.cassandra.cql3.statements.schema.CreateTypeStatement,&lt;init&gt;,2
org.apache.cassandra.cql3.statements.schema.DropAggregateStatement$Raw,&lt;init&gt;,2
org.apache.cassandra.cql3.statements.schema.DropFunctionStatement$Raw,&lt;init&gt;,2
org.apache.cassandra.db.BufferDecoratedKey,&lt;init&gt;,2
org.apache.cassandra.db.ColumnFamilyStore,&lt;init&gt;,2
org.apache.cassandra.db.ColumnFamilyStore,writeSnapshotManifest,2
org.apache.cassandra.db.ColumnFamilyStore,writeSnapshotSchema,2
org.apache.cassandra.db.ColumnFamilyStore,NOVALUE,2
org.apache.cassandra.db.ColumnFamilyStore,getIfExists,2
org.apache.cassandra.db.ColumnIndex,NOVALUE,2
org.apache.cassandra.db.Columns,&lt;init&gt;,2
org.apache.cassandra.db.DecoratedKey,compareTo,2
org.apache.cassandra.db.Directories$DataDirectoryCandidate,compareTo,2
org.apache.cassandra.db.MutableDeletionInfo,&lt;init&gt;,2
org.apache.cassandra.db.RangeTombstoneList,&lt;init&gt;,2
org.apache.cassandra.db.commitlog.AbstractCommitLogService,&lt;init&gt;,2
