type,count
EI_EXPOSE_REP2,453
CT_CONSTRUCTOR_THROW,261
EI_EXPOSE_REP,217
SF_SWITCH_NO_DEFAULT,121
DLS_DEAD_LOCAL_STORE,58
UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,48
NP_PARAMETER_MUST_BE_NONNULL_BUT_MARKED_AS_NULLABLE,45
MS_SHOULD_BE_FINAL,41
AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,39
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,33
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,30
SIC_INNER_SHOULD_BE_STATIC,26
DM_DEFAULT_ENCODING,24
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,21
AT_NONATOMIC_64BIT_PRIMITIVE,20
MS_EXPOSE_REP,17
EQ_COMPARETO_USE_OBJECT_EQUALS,17
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,16
HE_EQUALS_USE_HASHCODE,14
IS2_INCONSISTENT_SYNC,13
DM_EXIT,13
REC_CATCH_EXCEPTION,12
NS_DANGEROUS_NON_SHORT_CIRCUIT,12
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,11
NP_NULL_PARAM_DEREF,10
RV_NEGATING_RESULT_OF_COMPARETO,9
EI_EXPOSE_STATIC_REP2,8
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,8
SF_SWITCH_FALLTHROUGH,8
URF_UNREAD_FIELD,8
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,7
EQ_DOESNT_OVERRIDE_EQUALS,7
IC_SUPERCLASS_USES_SUBCLASS_DURING_INITIALIZATION,7
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,7
NP_NULL_ON_SOME_PATH,7
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,7
SR_NOT_CHECKED,7
DM_BOXED_PRIMITIVE_FOR_PARSING,7
VO_VOLATILE_INCREMENT,6
SE_BAD_FIELD,6
HSM_HIDING_METHOD,6
DCN_NULLPOINTER_EXCEPTION,5
MS_PKGPROTECT,5
VA_FORMAT_STRING_USES_NEWLINE,5
FE_FLOATING_POINT_EQUALITY,4
BC_UNCONFIRMED_CAST,4
WMI_WRONG_MAP_ITERATOR,4
SS_SHOULD_BE_STATIC,4
NP_LOAD_OF_KNOWN_NULL_VALUE,3
DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,3
HE_INHERITS_EQUALS_USE_HASHCODE,3
IM_BAD_CHECK_FOR_ODD,3
IT_NO_SUCH_ELEMENT,3
NP_METHOD_PARAMETER_TIGHTENS_ANNOTATION,3
NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,3
DMI_RANDOM_USED_ONLY_ONCE,3
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,2
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,2
MS_MUTABLE_COLLECTION_PKGPROTECT,2
NP_BOOLEAN_RETURN_NULL,2
CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE,2
SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,2
EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC,2
IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD,2
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,2
UUF_UNUSED_FIELD,2
UPM_UNCALLED_PRIVATE_METHOD,2
ME_MUTABLE_ENUM_FIELD,2
DM_BOXED_PRIMITIVE_FOR_COMPARE,2
MS_OOI_PKGPROTECT,1
UG_SYNC_SET_UNSYNC_GET,1
SE_BAD_FIELD_STORE,1
UR_UNINIT_READ,1
BC_VACUOUS_INSTANCEOF,1
PERM_SUPER_NOT_CALLED_IN_GETPERMISSIONS,1
DE_MIGHT_IGNORE,1
RR_NOT_CHECKED,1
MS_SHOULD_BE_REFACTORED_TO_BE_FINAL,1
ENV_USE_PROPERTY_INSTEAD_OF_ENV,1
STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE,1
STCAL_STATIC_SIMPLE_DATE_FORMAT_INSTANCE,1
UC_USELESS_CONDITION,1
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,1
LI_LAZY_INIT_STATIC,1
SWL_SLEEP_WITH_LOCK_HELD,1
SBSC_USE_STRINGBUFFER_CONCATENATION,1
NP_NULL_ON_SOME_PATH_EXCEPTION,1
UWF_NULL_FIELD,1
OS_OPEN_STREAM,1
EQ_UNUSUAL,1
EQ_GETCLASS_AND_CLASS_CONSTANT,1
JLM_JSR166_UTILCONCURRENT_MONITORENTER,1
NP_GUARANTEED_DEREF_ON_EXCEPTION_PATH,1
MS_MUTABLE_COLLECTION,1
NS_NON_SHORT_CIRCUIT,1
ICAST_IDIV_CAST_TO_DOUBLE,1
WA_AWAIT_NOT_IN_LOOP,1
MS_MUTABLE_ARRAY,1
UC_USELESS_OBJECT,1
LI_LAZY_INIT_UPDATE_STATIC,1
REFLF_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_FIELD,1
INT_VACUOUS_BIT_OPERATION,1
NM_CLASS_NOT_EXCEPTION,1
FI_EXPLICIT_INVOCATION,1
FI_PUBLIC_SHOULD_BE_PROTECTED,1
UWF_UNWRITTEN_FIELD,1
