class,count
org.apache.cassandra.cql3.Cql_Parser,115
org.apache.cassandra.cql3.Cql_Parser$DFA17,47
org.apache.cassandra.io.util.RewindableDataInputStreamPlus,24
org.apache.cassandra.config.DatabaseDescriptor,23
org.apache.cassandra.db.ColumnFamilyStore,17
org.apache.cassandra.net.ManyToOneConcurrentLinkedQueue,15
org.apache.cassandra.net.ManyToOneConcurrentLinkedQueuePadding1,15
org.apache.cassandra.net.ManyToOneConcurrentLinkedQueuePadding2,15
org.apache.cassandra.tools.NodeProbe,14
org.apache.cassandra.service.StorageService,11
org.apache.cassandra.index.sasi.analyzer.StandardTokenizerImpl,9
org.apache.cassandra.cql3.statements.ModificationStatement,8
org.apache.cassandra.db.marshal.TypeParser,8
org.apache.cassandra.db.commitlog.CommitLogSegment,7
org.apache.cassandra.index.sasi.disk.OnDiskIndex,7
org.apache.cassandra.metrics.DecayingEstimatedHistogramReservoir,7
org.apache.cassandra.security.EncryptionContext,7
org.apache.cassandra.tools.nodetool.stats.StatsTableComparator,7
org.apache.cassandra.concurrent.SEPWorker,6
org.apache.cassandra.cql3.statements.SelectStatement,6
org.apache.cassandra.cql3.statements.schema.CreateTableStatement,6
org.apache.cassandra.db.ColumnIndex,6
org.apache.cassandra.db.commitlog.CommitLog,6
org.apache.cassandra.io.sstable.SSTableIdentityIterator,6
org.apache.cassandra.metrics.CommitLogMetrics,6
org.apache.cassandra.net.InboundMessageHandler,6
org.apache.cassandra.utils.FBUtilities,6
org.apache.cassandra.cql3.statements.schema.CreateViewStatement,5
org.apache.cassandra.db.Memtable,5
org.apache.cassandra.db.commitlog.CommitLogReplayer,5
org.apache.cassandra.db.marshal.MapType,5
org.apache.cassandra.db.marshal.UserType,5
org.apache.cassandra.db.rows.RangeTombstoneBoundaryMarker,5
org.apache.cassandra.index.sasi.plan.Expression,5
org.apache.cassandra.io.sstable.Descriptor,5
org.apache.cassandra.io.sstable.format.RangeAwareSSTableWriter,5
org.apache.cassandra.tools.nodetool.Sjk$Wrapper,5
org.apache.cassandra.cql3.functions.UDFunction,4
org.apache.cassandra.cql3.statements.BatchStatement,4
org.apache.cassandra.cql3.statements.schema.CreateIndexStatement$Raw,4
org.apache.cassandra.cql3.statements.schema.CreateViewStatement$Raw,4
org.apache.cassandra.db.Directories,4
org.apache.cassandra.db.Memtable$MemtableUnfilteredPartitionIterator,4
org.apache.cassandra.db.MutableDeletionInfo,4
org.apache.cassandra.db.SerializationHeader$Component,4
org.apache.cassandra.db.commitlog.AbstractCommitLogService$SyncRunnable,4
org.apache.cassandra.db.compaction.CompactionStrategyManager,4
org.apache.cassandra.db.compaction.writers.CompactionAwareWriter,4
org.apache.cassandra.db.filter.DataLimits$Serializer,4
org.apache.cassandra.db.marshal.SetType,4
org.apache.cassandra.db.repair.CassandraValidationIterator,4
org.apache.cassandra.db.rows.RangeTombstoneBoundMarker,4
org.apache.cassandra.db.streaming.CassandraIncomingFile,4
org.apache.cassandra.db.view.ViewBuilderTask,4
org.apache.cassandra.hadoop.ColumnFamilySplit,4
org.apache.cassandra.hadoop.cql3.CqlRecordWriter,4
org.apache.cassandra.index.internal.CollatedViewIndexBuilder,4
org.apache.cassandra.io.compress.CompressedSequentialWriter,4
org.apache.cassandra.io.sstable.IndexSummary,4
org.apache.cassandra.io.sstable.SSTableRewriter,4
org.apache.cassandra.io.sstable.format.SSTableReader,4
org.apache.cassandra.io.util.FileUtils,4
org.apache.cassandra.io.util.LengthAvailableInputStream,4
org.apache.cassandra.locator.PropertyFileSnitch,4
org.apache.cassandra.locator.TokenMetadata,4
org.apache.cassandra.net.ResourceLimits$EndpointAndGlobal,4
org.apache.cassandra.repair.messages.RepairOption,4
org.apache.cassandra.service.CassandraDaemon,4
org.apache.cassandra.service.paxos.PrepareCallback,4
org.apache.cassandra.tools.RepairRunner,4
org.apache.cassandra.tools.nodetool.stats.StatsKeyspace,4
org.apache.cassandra.transport.Message,4
org.apache.cassandra.triggers.CustomClassLoader,4
org.apache.cassandra.utils.EstimatedHistogram,4
org.apache.cassandra.utils.binlog.BinLog,4
org.apache.cassandra.utils.binlog.BinLog$Builder,4
org.apache.cassandra.utils.memory.BufferPool$MicroQueueOfChunks,4
org.apache.cassandra.concurrent.ExecutorLocal,3
org.apache.cassandra.cql3.CqlLexer$DFA1,3
org.apache.cassandra.cql3.Cql_Lexer$DFA23,3
org.apache.cassandra.cql3.Cql_Lexer$DFA25,3
org.apache.cassandra.cql3.Cql_Lexer$DFA29,3
org.apache.cassandra.cql3.Cql_Lexer$DFA31,3
org.apache.cassandra.cql3.Cql_Lexer$DFA38,3
org.apache.cassandra.cql3.Cql_Lexer$DFA9,3
org.apache.cassandra.cql3.Cql_Parser$DFA1,3
org.apache.cassandra.cql3.Cql_Parser$DFA174,3
org.apache.cassandra.cql3.Cql_Parser$DFA175,3
org.apache.cassandra.cql3.Cql_Parser$DFA193,3
org.apache.cassandra.cql3.Cql_Parser$DFA195,3
org.apache.cassandra.cql3.Cql_Parser$DFA197,3
org.apache.cassandra.cql3.Cql_Parser$DFA199,3
org.apache.cassandra.cql3.Cql_Parser$DFA202,3
org.apache.cassandra.cql3.Cql_Parser$DFA205,3
org.apache.cassandra.cql3.Cql_Parser$DFA213,3
org.apache.cassandra.cql3.Cql_Parser$DFA217,3
org.apache.cassandra.cql3.Cql_Parser$DFA218,3
org.apache.cassandra.cql3.Cql_Parser$DFA228,3
org.apache.cassandra.cql3.Cql_Parser$DFA30,3
org.apache.cassandra.cql3.Cql_Parser$DFA31,3
org.apache.cassandra.cql3.Cql_Parser$DFA61,3
org.apache.cassandra.cql3.UpdateParameters,3
org.apache.cassandra.cql3.functions.JavaBasedUDFunction,3
org.apache.cassandra.cql3.functions.UDAggregate,3
org.apache.cassandra.cql3.selection.Selectable$WithTypeHint,3
org.apache.cassandra.db.BufferDecoratedKey,3
org.apache.cassandra.db.DecoratedKey,3
org.apache.cassandra.db.Memtable$FlushRunnable,3
org.apache.cassandra.db.WindowsFailedSnapshotTracker,3
org.apache.cassandra.db.compaction.LeveledCompactionStrategy,3
org.apache.cassandra.db.filter.ClusteringIndexNamesFilter,3
org.apache.cassandra.db.filter.ColumnFilter,3
org.apache.cassandra.db.lifecycle.LifecycleTransaction$ReaderState,3
org.apache.cassandra.db.lifecycle.LogRecord,3
org.apache.cassandra.db.lifecycle.View,3
org.apache.cassandra.db.marshal.ListType,3
org.apache.cassandra.db.rows.BTreeRow,3
org.apache.cassandra.db.rows.BufferCell,3
org.apache.cassandra.db.rows.Row$Deletion,3
org.apache.cassandra.db.rows.RowAndDeletionMergeIterator,3
org.apache.cassandra.db.streaming.CassandraEntireSSTableStreamReader,3
org.apache.cassandra.db.streaming.CassandraStreamReceiver,3
org.apache.cassandra.db.streaming.CassandraStreamWriter,3
org.apache.cassandra.dht.BootStrapper,3
org.apache.cassandra.dht.LocalPartitioner,3
org.apache.cassandra.diag.DiagnosticEventService,3
org.apache.cassandra.gms.ArrivalWindow,3
org.apache.cassandra.gms.Gossiper,3
org.apache.cassandra.gms.VersionedValue,3
org.apache.cassandra.hadoop.cql3.CqlBulkRecordWriter,3
org.apache.cassandra.index.sasi.analyzer.NonTokenizingAnalyzer,3
org.apache.cassandra.index.sasi.analyzer.StandardAnalyzer,3
org.apache.cassandra.index.sasi.conf.ColumnIndex,3
org.apache.cassandra.index.sasi.conf.view.RangeTermTree,3
org.apache.cassandra.index.sasi.conf.view.RangeTermTree$Term,3
org.apache.cassandra.index.sasi.disk.PerSSTableIndexWriter,3
org.apache.cassandra.index.sasi.utils.MappedBuffer,3
org.apache.cassandra.index.sasi.utils.RangeIterator,3
org.apache.cassandra.index.sasi.utils.trie.AbstractPatriciaTrie,3
org.apache.cassandra.io.compress.CompressionMetadata,3
org.apache.cassandra.io.sstable.IndexSummaryBuilder,3
org.apache.cassandra.io.sstable.SSTable,3
org.apache.cassandra.io.sstable.format.big.BigTableZeroCopyWriter,3
org.apache.cassandra.io.util.MmappedRegions,3
