class,method_name,count
org.apache.commons.lang3.ArrayUtils,addFirst,9
org.apache.commons.lang3.BooleanUtils,toBooleanObject,6
org.apache.commons.lang3.text.ExtendedMessageFormat,&lt;init&gt;,4
org.apache.commons.lang3.compare.ObjectToStringComparator,compare,3
org.apache.commons.lang3.concurrent.BackgroundInitializer,&lt;init&gt;,3
org.apache.commons.lang3.tuple.MutableTriple,NOVALUE,3
org.apache.commons.lang3.builder.ReflectionToStringBuilder,&lt;init&gt;,2
org.apache.commons.lang3.math.NumberUtils,createNumber,2
org.apache.commons.lang3.time.FastDatePrinter,appendFullDigits,2
org.apache.commons.lang3.time.FastTimeZone,getGmtTimeZone,2
org.apache.commons.lang3.tuple.MutablePair,NOVALUE,2
org.apache.commons.lang3.BooleanUtils,values,1
org.apache.commons.lang3.BooleanUtils,negate,1
org.apache.commons.lang3.BooleanUtils,toBoolean,1
org.apache.commons.lang3.RandomStringUtils,&lt;init&gt;,1
org.apache.commons.lang3.RandomUtils,&lt;init&gt;,1
org.apache.commons.lang3.StringUtils,compare,1
org.apache.commons.lang3.StringUtils,compareIgnoreCase,1
org.apache.commons.lang3.Strings$CiStrings,compare,1
org.apache.commons.lang3.Strings$CsStrings,compare,1
org.apache.commons.lang3.ThreadUtils$ThreadIdPredicate,&lt;init&gt;,1
org.apache.commons.lang3.builder.DiffResult,getToStringStyle,1
org.apache.commons.lang3.builder.EqualsBuilder,setBypassReflectionClasses,1
org.apache.commons.lang3.builder.ToStringBuilder,getStringBuffer,1
org.apache.commons.lang3.builder.ToStringBuilder,getStyle,1
org.apache.commons.lang3.builder.ToStringBuilder,getDefaultStyle,1
org.apache.commons.lang3.builder.ToStringBuilder$Builder,setBuffer,1
org.apache.commons.lang3.builder.ToStringBuilder$Builder,setStyle,1
org.apache.commons.lang3.event.EventListenerSupport$ProxyInvocationHandler,&lt;init&gt;,1
org.apache.commons.lang3.exception.DefaultExceptionContext,getContextEntries,1
org.apache.commons.lang3.mutable.MutableByte,&lt;init&gt;,1
org.apache.commons.lang3.mutable.MutableDouble,&lt;init&gt;,1
org.apache.commons.lang3.mutable.MutableFloat,&lt;init&gt;,1
org.apache.commons.lang3.mutable.MutableInt,&lt;init&gt;,1
org.apache.commons.lang3.mutable.MutableLong,&lt;init&gt;,1
org.apache.commons.lang3.mutable.MutableShort,&lt;init&gt;,1
org.apache.commons.lang3.reflect.FieldUtils,getDeclaredField,1
org.apache.commons.lang3.reflect.FieldUtils,getField,1
org.apache.commons.lang3.text.StrTokenizer,clone,1
org.apache.commons.lang3.time.DateUtils,getFragment,1
org.apache.commons.lang3.time.FastDateParser,getTimeZone,1
org.apache.commons.lang3.time.FastDateParser,simpleQuote,1
org.apache.commons.lang3.time.FastDatePrinter,&lt;init&gt;,1
org.apache.commons.lang3.time.FastDatePrinter,getTimeZone,1
org.apache.commons.lang3.tuple.ImmutablePair,nullPair,1
org.apache.commons.lang3.tuple.ImmutablePair,&lt;init&gt;,1
org.apache.commons.lang3.tuple.ImmutablePair,NOVALUE,1
org.apache.commons.lang3.tuple.ImmutableTriple,&lt;init&gt;,1
org.apache.commons.lang3.tuple.ImmutableTriple,NOVALUE,1
org.apache.commons.lang3.util.FluentBitSet,bitSet,1
