type,count
CT_CONSTRUCTOR_THROW,16
NP_LOAD_OF_KNOWN_NULL_VALUE,9
EI_EXPOSE_REP,7
NP_BOOLEAN_RETURN_NULL,6
ES_COMPARING_PARAMETER_STRING_WITH_EQ,5
MS_EXPOSE_REP,5
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,5
SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,4
EI_EXPOSE_REP2,3
SF_SWITCH_FALLTHROUGH,3
SF_SWITCH_NO_DEFAULT,3
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2
SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,2
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,1
SE_TRANSIENT_FIELD_NOT_RESTORED,1
REFLF_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_FIELD,1
CN_IDIOM_NO_SUPER_CALL,1
