type,count
CT_CONSTRUCTOR_THROW,24
NP_LOAD_OF_KNOWN_NULL_VALUE,9
EI_EXPOSE_REP,7
NP_BOOLEAN_RETURN_NULL,6
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,5
MS_EXPOSE_REP,4
ES_COMPARING_PARAMETER_STRING_WITH_EQ,3
EI_EXPOSE_REP2,3
SF_SWITCH_FALLTHROUGH,3
SF_SWITCH_NO_DEFAULT,3
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2
REFLF_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_FIELD,2
SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,2
SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,2
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,1
SE_TRANSIENT_FIELD_NOT_RESTORED,1
CN_IDIOM_NO_SUPER_CALL,1
