type,count
CT_CONSTRUCTOR_THROW,26
NP_LOAD_OF_KNOWN_NULL_VALUE,9
NP_BOOLEAN_RETURN_NULL,6
EI_EXPOSE_REP,6
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,5
MS_EXPOSE_REP,4
DCN_NULLPOINTER_EXCEPTION,3
ES_COMPARING_PARAMETER_STRING_WITH_EQ,3
EI_EXPOSE_REP2,3
SF_SWITCH_FALLTHROUGH,3
SF_SWITCH_NO_DEFAULT,3
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2
REFLF_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_FIELD,2
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,1
CN_IDIOM_NO_SUPER_CALL,1
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,1
NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,1
ES_COMPARING_STRINGS_WITH_EQ,1
