class,count
org.apache.derby.impl.store.raw.log.LogToFile,77
org.apache.derby.impl.drda.DDMReader,71
org.apache.derby.impl.store.raw.data.FileContainer,59
org.apache.derby.client.am.ClientResultSet,55
org.apache.derby.client.am.ClientStatement,52
org.apache.derby.client.am.ClientConnection,47
org.apache.derby.impl.sql.conn.GenericLanguageConnectionContext,47
org.apache.derby.iapi.types.TypeId,45
org.apache.derby.impl.drda.DRDAConnThread,45
org.apache.derby.impl.sql.catalog.DataDictionaryImpl,41
org.apache.derby.impl.drda.NetworkServerControlImpl,38
org.apache.derby.impl.sql.execute.BaseActivation,37
org.apache.derby.impl.jdbc.EmbedResultSet,35
org.apache.derby.client.am.ColumnMetaData,29
org.apache.derby.impl.drda.DDMWriter,28
org.apache.derby.impl.tools.ij.ij,27
org.apache.derby.client.BasicClientDataSource,22
org.apache.derby.impl.sql.GenericPreparedStatement,21
org.apache.derby.impl.store.raw.data.BaseDataFileFactory,21
org.apache.derby.impl.store.raw.xact.Xact,21
org.apache.derby.impl.sql.conn.GenericStatementContext,20
org.apache.derby.impl.store.raw.RawStore,20
org.apache.derby.iapi.types.SQLBoolean,18
org.apache.derby.impl.jdbc.EmbedConnection,18
org.apache.derby.impl.jdbc.EmbedCallableStatement,17
org.apache.derby.impl.jdbc.EmbedStatement,17
org.apache.derby.impl.sql.execute.DependentResultSet,16
org.apache.derby.impl.tools.planexporter.AccessDatabase,15
org.apache.derby.impl.sql.compile.SQLParserTokenManager,14
org.apache.derby.impl.tools.ij.mtGrammar,14
org.apache.derbyBuild.ODBCMetadataGenerator,14
org.apache.derby.client.am.Cursor,13
org.apache.derby.iapi.sql.dictionary.TableDescriptor,13
org.apache.derby.client.am.ClientPreparedStatement,12
org.apache.derby.client.net.NetConnectionReply,12
org.apache.derby.impl.drda.DRDAResultSet,12
org.apache.derby.impl.store.access.btree.OpenBTree,12
org.apache.derby.impl.store.raw.data.BasePage,12
org.apache.derby.catalog.SystemProcedures,11
org.apache.derby.iapi.tools.i18n.LocalizedResource,11
org.apache.derby.impl.jdbc.EmbedBlob,11
org.apache.derby.impl.store.access.RAMTransaction,11
org.apache.derby.impl.store.raw.data.CachedPage,11
org.apache.derby.impl.tools.ij.mtGrammarTokenManager,11
org.apache.derby.client.am.Sqlca,10
org.apache.derby.iapi.sql.dictionary.TriggerDescriptor,10
org.apache.derby.impl.sql.compile.CompilerContextImpl,10
org.apache.derby.impl.store.access.conglomerate.OpenConglomerate,10
org.apache.derby.impl.store.raw.data.RAFContainer4,10
org.apache.derby.impl.store.raw.data.StoredPage,10
org.apache.derby.impl.tools.ij.mtTestCase,10
org.apache.derbyBuild.ReleaseNotesTransformer,10
org.apache.derby.iapi.jdbc.BrokeredConnection,9
