type,count
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,485
EI_EXPOSE_REP2,267
EI_EXPOSE_REP,242
CT_CONSTRUCTOR_THROW,192
DLS_DEAD_LOCAL_STORE,159
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,138
AT_NONATOMIC_64BIT_PRIMITIVE,96
IS2_INCONSISTENT_SYNC,76
OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,71
SF_SWITCH_NO_DEFAULT,62
MS_EXPOSE_REP,57
DM_DEFAULT_ENCODING,52
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,50
AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,47
SBSC_USE_STRINGBUFFER_CONCATENATION,45
URF_UNREAD_FIELD,39
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,32
UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,31
OBL_UNSATISFIED_OBLIGATION,25
BC_UNCONFIRMED_CAST,24
NP_LOAD_OF_KNOWN_NULL_VALUE,23
NM_CLASS_NAMING_CONVENTION,23
OS_OPEN_STREAM,22
UG_SYNC_SET_UNSYNC_GET,21
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,21
UUF_UNUSED_FIELD,20
NP_NULL_ON_SOME_PATH,17
NM_METHOD_NAMING_CONVENTION,15
SS_SHOULD_BE_STATIC,14
VO_VOLATILE_INCREMENT,14
NP_NULL_PARAM_DEREF,13
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,12
RV_NEGATING_RESULT_OF_COMPARETO,12
DM_GC,10
DE_MIGHT_IGNORE,10
UWF_UNWRITTEN_FIELD,9
HE_INHERITS_EQUALS_USE_HASHCODE,9
ODR_OPEN_DATABASE_RESOURCE,9
SE_NO_SUITABLE_CONSTRUCTOR_FOR_EXTERNALIZATION,8
EQ_DOESNT_OVERRIDE_EQUALS,8
SF_SWITCH_FALLTHROUGH,8
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,8
UPM_UNCALLED_PRIVATE_METHOD,8
DMI_INVOKING_TOSTRING_ON_ARRAY,7
DM_EXIT,7
DCN_NULLPOINTER_EXCEPTION,7
BC_VACUOUS_INSTANCEOF,7
UC_USELESS_CONDITION,6
NN_NAKED_NOTIFY,6
HE_EQUALS_USE_HASHCODE,5
NP_NULL_ON_SOME_PATH_EXCEPTION,5
NM_SAME_SIMPLE_NAME_AS_INTERFACE,5
INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE,5
NP_BOOLEAN_RETURN_NULL,5
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,5
WMI_WRONG_MAP_ITERATOR,5
RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE,5
MS_SHOULD_BE_FINAL,5
ES_COMPARING_STRINGS_WITH_EQ,4
REC_CATCH_EXCEPTION,4
LI_LAZY_INIT_STATIC,4
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,4
DM_BOXED_PRIMITIVE_FOR_PARSING,4
CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE,4
SE_BAD_FIELD,4
DM_NEW_FOR_GETCLASS,4
DB_DUPLICATE_BRANCHES,3
VSC_VULNERABLE_SECURITY_CHECK_METHODS,3
HE_EQUALS_NO_HASHCODE,3
SIC_INNER_SHOULD_BE_STATIC,3
UWF_NULL_FIELD,3
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,3
EQ_COMPARETO_USE_OBJECT_EQUALS,3
UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3
SWL_SLEEP_WITH_LOCK_HELD,3
RS_READOBJECT_SYNC,3
DMI_RANDOM_USED_ONLY_ONCE,2
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,2
NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,2
SSD_DO_NOT_USE_INSTANCE_LOCK_ON_SHARED_STATIC_DATA,2
IM_BAD_CHECK_FOR_ODD,2
NP_DEREFERENCE_OF_READLINE_VALUE,2
EI_EXPOSE_STATIC_REP2,2
SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,2
CN_IDIOM,2
RR_NOT_CHECKED,2
NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2
SR_NOT_CHECKED,2
NP_UNWRITTEN_FIELD,2
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,2
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,2
ICAST_IDIV_CAST_TO_DOUBLE,2
MS_PKGPROTECT,2
