class,method,count
org.apache.derby.iapi.types.TypeId,getBuiltInTypeId,33
org.apache.derby.client.am.ColumnMetaData,NOVALUE,26
org.apache.derby.impl.sql.execute.DependentResultSet,NOVALUE,15
org.apache.derby.impl.store.raw.data.FileContainer,initContainerHeader,14
org.apache.derby.impl.store.raw.data.FileContainer,readHeaderFromArray,14
org.apache.derby.impl.store.raw.log.LogToFile,boot,14
org.apache.derby.impl.store.raw.log.LogToFile,recover,14
org.apache.derby.iapi.types.TypeId,getSQLTypeForJavaType,12
org.apache.derby.client.am.Cursor,NOVALUE,11
org.apache.derby.impl.drda.DRDAResultSet,NOVALUE,11
org.apache.derby.impl.store.raw.log.LogToFile,NOVALUE,11
org.apache.derby.client.am.ClientConnection,NOVALUE,10
org.apache.derbyBuild.ODBCMetadataGenerator,NOVALUE,10
org.apache.derby.impl.drda.DDMReader,initialize,9
org.apache.derby.impl.sql.catalog.DataDictionaryImpl,boot,9
org.apache.derby.impl.store.raw.RawStore,NOVALUE,9
org.apache.derby.impl.drda.DDMReader,readDssHeader,8
org.apache.derby.impl.sql.conn.GenericStatementContext,clearInUse,8
org.apache.derby.impl.sql.execute.LastIndexKeyResultSet,NOVALUE,8
org.apache.derby.impl.store.raw.data.RAFContainer,NOVALUE,8
org.apache.derby.client.am.ClientResultSet,nextX,7
org.apache.derby.client.am.ClientResultSet,NOVALUE,7
org.apache.derby.client.am.ClientStatement,initStatement,7
org.apache.derby.iapi.types.SQLBoolean,truthValue,7
org.apache.derby.impl.store.raw.log.LogToFile,readControlFile,7
org.apache.derby.impl.tools.ij.mtGrammar,NOVALUE,7
org.apache.derby.impl.tools.ij.mtTestCase,NOVALUE,7
org.apache.derby.client.am.ClientResultSet,setRowsetNoRowsEvent,6
org.apache.derby.client.am.ClientStatement,resetUserControllableAttributes,6
org.apache.derby.client.am.Sqlca,NOVALUE,6
org.apache.derby.iapi.jdbc.BrokeredConnection,prepareStatement,6
org.apache.derby.iapi.sql.dictionary.TriggerDescriptor,readExternal,6
org.apache.derby.impl.drda.DDMReader,readReplyDss,6
org.apache.derby.impl.sql.compile.Token,NOVALUE,6
org.apache.derby.impl.sql.execute.HashScanResultSet,NOVALUE,6
org.apache.derby.impl.store.access.btree.OpenBTree,init,6
org.apache.derby.impl.store.access.sort.Node,NOVALUE,6
org.apache.derby.impl.store.raw.data.FileContainer,newPage,6
org.apache.derby.impl.store.raw.data.FileContainer,createInfoFromLog,6
org.apache.derby.impl.store.raw.data.FileContainer,createInfoFromProp,6
java.sql.DriverPropertyInfo,NOVALUE,5
org.apache.derby.client.ClientPooledConnection,&lt;init&gt;,5
org.apache.derby.client.am.ClientResultSet,setRowsetAfterLastEvent,5
org.apache.derby.client.am.ClientStatement,NOVALUE,5
org.apache.derby.iapi.sql.dictionary.ColumnDescriptor,&lt;init&gt;,5
org.apache.derby.impl.drda.DDMWriter,endDss,5
org.apache.derby.impl.jdbc.EmbedResultSet,&lt;init&gt;,5
org.apache.derby.impl.sql.GenericPreparedStatement,setCompileTimeMillis,5
org.apache.derby.impl.sql.compile.AlterTableNode,&lt;init&gt;,5
org.apache.derby.impl.sql.conn.GenericStatementContext,setInUse,5
org.apache.derby.impl.store.raw.data.BaseDataFileFactory,boot,5
org.apache.derby.impl.store.raw.data.BaseDataFileFactory,NOVALUE,5
org.apache.derby.impl.tools.ij.ij,GetCursorStatement,5
org.apache.derby.impl.tools.ij.ij,NOVALUE,5
org.apache.derby.client.am.ClientConnection,&lt;init&gt;,4
org.apache.derby.client.am.ClientPreparedStatement,&lt;init&gt;,4
org.apache.derby.client.am.ClientStatement,initResetPreparedStatement,4
org.apache.derby.client.am.EncryptionManager,&lt;init&gt;,4
org.apache.derby.client.net.NetConnectionReply,parseSQLDCGRP,4
org.apache.derby.drda.NetServlet,doGet,4
org.apache.derby.iapi.jdbc.DRDAServerStarter,setStartInfo,4
org.apache.derby.iapi.types.DataTypeDescriptor,&lt;init&gt;,4
org.apache.derby.iapi.types.HarmonySerialClob,&lt;init&gt;,4
org.apache.derby.iapi.types.SQLBinary,substring,4
org.apache.derby.iapi.types.SQLChar,substring,4
org.apache.derby.impl.drda.DDMReader,readDSSContinuationHeader,4
org.apache.derby.impl.drda.DDMWriter,clearBuffer,4
org.apache.derby.impl.drda.DDMWriter,reset,4
org.apache.derby.impl.drda.DRDAConnThread,parseEXCSQLSTT,4
org.apache.derby.impl.drda.DRDAStatement,NOVALUE,4
org.apache.derby.impl.jdbc.EmbedConnection,&lt;init&gt;,4
org.apache.derby.impl.sql.catalog.SYSCONGLOMERATESRowFactory,makeRow,4
org.apache.derby.impl.sql.catalog.SYSCONSTRAINTSRowFactory,buildDescriptor,4
org.apache.derby.impl.sql.compile.MergeNode,&lt;init&gt;,4
org.apache.derby.impl.sql.compile.SQLParser$JJCalls,NOVALUE,4
org.apache.derby.impl.sql.execute.HashTableResultSet,NOVALUE,4
org.apache.derby.impl.sql.execute.SortResultSet,NOVALUE,4
org.apache.derby.impl.sql.execute.TriggerEventActivator,&lt;init&gt;,4
org.apache.derby.impl.sql.execute.UnionResultSet,NOVALUE,4
org.apache.derby.impl.sql.execute.UpdateResultSet,NOVALUE,4
org.apache.derby.impl.sql.execute.rts.RealNoRowsResultSetStatistics,NOVALUE,4
org.apache.derby.impl.store.access.conglomerate.OpenConglomerate,init,4
org.apache.derby.impl.tools.ij.Main,mainCore,4
org.apache.derby.impl.tools.ij.ijResultSetResult,&lt;init&gt;,4
org.apache.derby.impl.tools.ij.mtGrammar,ReInit,4
org.apache.derby.impl.tools.ij.mtGrammarTokenManager,NOVALUE,4
org.apache.derby.impl.tools.planexporter.AccessDatabase,createXMLData,4
org.apache.derbyBuild.GeneratorBase,&lt;init&gt;,4
org.apache.derbyBuild.JarDriftTest,NOVALUE,4
org.apache.derbyBuild.ODBCMetadataGenerator,&lt;init&gt;,4
org.apache.derby.catalog.types.RowMultiSetImpl,&lt;init&gt;,3
org.apache.derby.catalog.types.TypeDescriptorImpl,equals,3
org.apache.derby.catalog.types.TypeDescriptorImpl,&lt;init&gt;,3
org.apache.derby.client.am.ClientConnection,getTransactionIsolationX,3
org.apache.derby.client.am.ClientConnection,resetConnection,3
org.apache.derby.client.am.ClientResultSet,getNextRowset,3
org.apache.derby.client.am.LogicalConnection,&lt;init&gt;,3
org.apache.derby.client.net.NetConnection,&lt;init&gt;,3
org.apache.derby.client.net.NetConnectionReply,parseSQLCNGRP,3
org.apache.derby.client.net.NetConnectionReply,parseSQLDIAGSTT,3
org.apache.derby.client.net.NetStatementReply,parsePKGNAMCSN,3
org.apache.derby.iapi.jdbc.BrokeredConnection,createStatement,3
org.apache.derby.iapi.sql.dictionary.ColPermsDescriptor,&lt;init&gt;,3
org.apache.derby.iapi.sql.dictionary.RoutinePermsDescriptor,&lt;init&gt;,3
org.apache.derby.iapi.sql.dictionary.SPSDescriptor,&lt;init&gt;,3
org.apache.derby.iapi.sql.dictionary.TablePermsDescriptor,&lt;init&gt;,3
org.apache.derby.iapi.store.access.BackingStoreHashtable,&lt;init&gt;,3
