class,count
org.apache.derby.impl.store.raw.log.LogToFile,72
org.apache.derby.impl.drda.DDMReader,71
org.apache.derby.impl.store.raw.data.FileContainer,63
org.apache.derby.client.am.ClientResultSet,55
org.apache.derby.client.am.ClientStatement,52
org.apache.derby.iapi.types.TypeId,48
org.apache.derby.impl.drda.DRDAConnThread,48
org.apache.derby.client.am.ClientConnection,47
org.apache.derby.impl.sql.conn.GenericLanguageConnectionContext,47
org.apache.derby.impl.drda.NetworkServerControlImpl,42
org.apache.derby.impl.sql.catalog.DataDictionaryImpl,41
org.apache.derby.impl.jdbc.EmbedResultSet,40
org.apache.derby.impl.sql.execute.BaseActivation,37
org.apache.derby.client.am.ColumnMetaData,29
org.apache.derby.impl.drda.DDMWriter,28
org.apache.derby.impl.tools.ij.ij,25
org.apache.derby.impl.jdbc.EmbedConnection,22
org.apache.derby.impl.jdbc.EmbedStatement,22
org.apache.derby.impl.sql.GenericPreparedStatement,22
org.apache.derby.jdbc.BasicClientDataSource40,22
org.apache.derby.impl.store.raw.xact.Xact,21
org.apache.derby.impl.jdbc.EmbedBlob,20
org.apache.derby.impl.sql.conn.GenericStatementContext,20
org.apache.derby.impl.store.raw.RawStore,20
org.apache.derby.iapi.types.SQLBoolean,19
org.apache.derby.impl.store.access.RAMTransaction,19
org.apache.derby.impl.store.raw.data.BaseDataFileFactory,19
org.apache.derby.impl.jdbc.EmbedCallableStatement,18
org.apache.derby.impl.sql.execute.DependentResultSet,17
org.apache.derby.impl.tools.planexporter.AccessDatabase,16
org.apache.derby.impl.tools.ij.mtGrammar,15
org.apache.derbyBuild.ODBCMetadataGenerator,15
org.apache.derby.impl.sql.compile.SQLParserTokenManager,14
org.apache.derby.impl.store.access.btree.OpenBTree,14
org.apache.derby.impl.store.raw.data.BasePage,14
org.apache.derby.client.am.Cursor,13
org.apache.derby.iapi.sql.dictionary.TableDescriptor,13
org.apache.derby.catalog.SystemProcedures,12
org.apache.derby.client.am.ClientPreparedStatement,12
org.apache.derby.client.net.NetConnectionReply,12
org.apache.derby.impl.drda.DRDAResultSet,12
org.apache.derby.impl.store.access.heap.Heap,12
org.apache.derby.impl.store.raw.data.CachedPage,12
org.apache.derby.iapi.tools.i18n.LocalizedResource,11
org.apache.derby.iapi.types.SQLChar,11
org.apache.derby.impl.store.raw.data.StoredPage,11
org.apache.derby.impl.tools.ij.mtGrammarTokenManager,11
org.apache.derby.optional.lucene.LuceneSupport,11
org.apache.derbyBuild.classlister,11
org.apache.derby.iapi.sql.dictionary.TriggerDescriptor,10
org.apache.derby.iapi.types.HarmonySerialBlob,10
org.apache.derby.impl.jdbc.EmbedClob,10
org.apache.derby.impl.sql.compile.CompilerContextImpl,10
org.apache.derby.impl.store.access.conglomerate.OpenConglomerate,10
org.apache.derby.impl.store.raw.data.RAFContainer4,10
org.apache.derby.impl.tools.ij.mtTestCase,10
org.apache.derbyBuild.ReleaseNotesTransformer,10
org.apache.derby.client.am.Sqlca,9
org.apache.derby.drda.NetServlet,9
org.apache.derby.iapi.jdbc.BrokeredConnection,9
org.apache.derby.iapi.sql.dictionary.ColumnDescriptor,9
org.apache.derby.iapi.types.HarmonySerialClob,9
org.apache.derby.impl.sql.execute.HashScanResultSet,9
org.apache.derby.impl.sql.execute.LastIndexKeyResultSet,9
org.apache.derby.impl.store.access.btree.BTreeScan,9
org.apache.derby.impl.store.raw.data.RAFContainer,9
org.apache.derby.client.am.Agent,8
org.apache.derby.impl.load.ColumnInfo,8
org.apache.derby.impl.tools.ij.utilMain,8
org.apache.derby.catalog.types.TypeDescriptorImpl,7
org.apache.derby.client.net.NetStatementReply,7
org.apache.derby.iapi.types.DataTypeDescriptor,7
org.apache.derby.impl.jdbc.LOBStreamControl,7
org.apache.derby.impl.load.ImportReadData,7
org.apache.derby.impl.services.monitor.BaseMonitor,7
org.apache.derby.impl.sql.execute.ScrollInsensitiveResultSet,7
org.apache.derby.impl.store.access.btree.ControlRow,7
org.apache.derby.impl.store.access.conglomerate.GenericScanController,7
org.apache.derby.impl.tools.ij.ijTokenManager,7
org.apache.derby.jdbc.BasicEmbeddedDataSource40,7
org.apache.derby.tools.dblook,7
org.apache.derbyBuild.GeneratorBase,7
org.apache.derby.client.ClientPooledConnection,6
org.apache.derby.client.am.ClientCallableStatement,6
org.apache.derby.client.net.NetConnection,6
org.apache.derby.client.net.NetStatementRequest,6
org.apache.derby.iapi.jdbc.DRDAServerStarter,6
org.apache.derby.iapi.sql.dictionary.ConstraintDescriptor,6
org.apache.derby.iapi.sql.dictionary.SPSDescriptor,6
org.apache.derby.iapi.store.raw.FetchDescriptor,6
org.apache.derby.impl.db.BasicDatabase,6
org.apache.derby.impl.load.Import,6
org.apache.derby.impl.sql.compile.AlterTableNode,6
org.apache.derby.impl.sql.compile.MergeNode,6
org.apache.derby.impl.sql.compile.Token,6
org.apache.derby.impl.store.access.RAMAccessManager,6
org.apache.derby.impl.store.access.sort.Node,6
org.apache.derby.impl.store.raw.data.BaseContainerHandle,6
org.apache.derby.impl.store.raw.data.StreamFileContainer,6
org.apache.derby.impl.store.replication.master.AsynchronousLogShipper,6
org.apache.derby.impl.tools.ij.ijResultSetResult,6
org.apache.derby.impl.tools.ij.mtTester,6
org.apache.derby.jdbc.InternalDriver,6
org.apache.derby.tools.JDBCDisplayUtil,6
org.apache.derbyBuild.JiraConnector,6
java.sql.DriverPropertyInfo,5
org.apache.derby.client.am.Lob,5
org.apache.derby.client.am.LogicalConnection,5
org.apache.derby.client.am.SqlException,5
org.apache.derby.diag.ErrorLogReader,5
org.apache.derby.diag.StatementDuration,5
org.apache.derby.iapi.types.SQLBinary,5
org.apache.derby.iapi.util.ByteArray,5
org.apache.derby.impl.drda.DRDAStatement,5
org.apache.derby.impl.jdbc.TemporaryClob,5
org.apache.derby.impl.jdbc.UTF8Reader,5
org.apache.derby.impl.sql.catalog.SYSCONSTRAINTSRowFactory,5
org.apache.derby.impl.sql.execute.HashTableResultSet,5
org.apache.derby.impl.sql.execute.InsertResultSet,5
org.apache.derby.impl.sql.execute.SortResultSet,5
org.apache.derby.impl.sql.execute.TableScanResultSet,5
org.apache.derby.impl.sql.execute.UnionResultSet,5
org.apache.derby.impl.sql.execute.rts.RealBasicNoPutResultSetStatistics,5
org.apache.derby.impl.sql.execute.rts.RealNoRowsResultSetStatistics,5
org.apache.derby.impl.sql.execute.xplain.XPLAINUtil,5
org.apache.derby.impl.store.access.sort.MergeInserter,5
org.apache.derby.impl.store.access.sort.MergeSort,5
org.apache.derby.impl.store.raw.data.EncryptOrDecryptData,5
org.apache.derby.impl.store.raw.log.Scan,5
org.apache.derby.impl.store.raw.xact.XactFactory,5
org.apache.derby.impl.store.replication.net.ReplicationMessageTransmit,5
org.apache.derby.impl.tools.dblook.DB_Jar,5
org.apache.derby.impl.tools.ij.SimpleCharStream,5
org.apache.derby.impl.tools.ij.mtTestSuite,5
org.apache.derby.impl.tools.sysinfo.Main,5
org.apache.derbyBuild.ClassSizeCrawler,5
org.apache.derbyBuild.eclipse.DerbyEclipsePlugin,5
org.apache.derby.catalog.types.RowMultiSetImpl,4
org.apache.derby.client.ClientXAConnection,4
org.apache.derby.client.am.EncryptionManager,4
org.apache.derby.client.net.NetXAConnectionReply,4
org.apache.derby.client.net.NetXAResource,4
org.apache.derby.iapi.sql.dictionary.ColPermsDescriptor,4
org.apache.derby.iapi.sql.dictionary.SequenceDescriptor,4
org.apache.derby.iapi.store.access.BackingStoreHashtable,4
org.apache.derby.iapi.types.SQLClob,4
org.apache.derby.impl.drda.memCheck,4
org.apache.derby.impl.io.DirFile,4
org.apache.derby.impl.jdbc.authentication.NativeAuthenticationServiceImpl,4
org.apache.derby.impl.load.ImportLobFile,4
org.apache.derby.impl.load.LoadError,4
org.apache.derby.impl.services.cache.CachedItem,4
org.apache.derby.impl.services.daemon.BasicDaemon,4
org.apache.derby.impl.services.jce.JCECipherFactory,4
org.apache.derby.impl.services.locks.ConcurrentLockSet,4
org.apache.derby.impl.services.locks.Timeout,4
org.apache.derby.impl.sql.GenericStatement,4
org.apache.derby.impl.sql.catalog.SYSCONGLOMERATESRowFactory,4
org.apache.derby.impl.sql.compile.InsertNode,4
org.apache.derby.impl.sql.compile.NewInvocationNode,4
org.apache.derby.impl.sql.compile.ResultColumnList,4
org.apache.derby.impl.sql.compile.SQLParser$JJCalls,4
org.apache.derby.impl.sql.execute.MatchingClauseConstantAction,4
org.apache.derby.impl.sql.execute.TriggerEventActivator,4
org.apache.derby.impl.sql.execute.UpdateResultSet,4
org.apache.derby.impl.sql.execute.xplain.XPLAINSystemTableVisitor,4
org.apache.derby.impl.store.access.conglomerate.GenericConglomerateController,4
org.apache.derby.impl.store.access.conglomerate.OpenConglomerateScratchSpace,4
org.apache.derby.impl.store.raw.data.AllocPage,4
org.apache.derby.impl.store.raw.data.ReclaimSpace,4
org.apache.derby.impl.store.raw.data.RecordId,4
org.apache.derby.impl.store.raw.log.LogAccessFile,4
org.apache.derby.impl.store.replication.master.MasterController,4
org.apache.derby.impl.store.replication.net.ReplicationMessageReceive,4
org.apache.derby.impl.store.replication.slave.SlaveController,4
org.apache.derby.impl.tools.dblook.DB_Alias,4
org.apache.derby.impl.tools.dblook.DB_Table,4
org.apache.derby.impl.tools.ij.Main,4
org.apache.derby.impl.tools.ij.util,4
org.apache.derby.impl.tools.optional.DBMDWrapper,4
org.apache.derby.optional.lucene.DerbyLuceneDir,4
org.apache.derby.optional.lucene.LuceneQueryVTI,4
org.apache.derbyPreBuild.PropertySetter,4
java.sql.Timestamp,3
org.apache.derby.catalog.types.DefaultInfoImpl,3
org.apache.derby.client.am.ClientClob,3
org.apache.derby.client.net.NetAgent,3
org.apache.derby.client.net.NetCursor,3
org.apache.derby.client.net.NetXAConnection,3
org.apache.derby.client.net.Typdef,3
org.apache.derby.iapi.services.cache.ClassSize,3
org.apache.derby.iapi.services.monitor.Monitor,3
org.apache.derby.iapi.sql.dictionary.RoutinePermsDescriptor,3
org.apache.derby.iapi.sql.dictionary.StatementColumnPermission,3
org.apache.derby.iapi.sql.dictionary.TablePermsDescriptor,3
org.apache.derby.iapi.store.access.DiskHashtable,3
org.apache.derby.iapi.types.ClobStreamHeaderGenerator,3
org.apache.derby.iapi.types.JSQLType,3
org.apache.derby.iapi.types.Like,3
org.apache.derby.iapi.util.DoubleProperties,3
org.apache.derby.impl.io.vfmem.VirtualRandomAccessFile,3
org.apache.derby.impl.jdbc.ClobUpdatableReader,3
org.apache.derby.impl.jdbc.EmbedPreparedStatement,3
org.apache.derby.impl.jdbc.UpdatableBlobStream,3
org.apache.derby.impl.jdbc.authentication.AuthenticationServiceBase,3
org.apache.derby.impl.load.ExportWriteDataAbstract,3
org.apache.derby.impl.services.cache.CacheEntry,3
org.apache.derby.impl.services.monitor.UpdateServiceProperties,3
org.apache.derby.impl.services.stream.RollingFileStream,3
org.apache.derby.impl.sql.catalog.SYSCOLUMNSRowFactory,3
org.apache.derby.impl.sql.catalog.SYSSTATISTICSRowFactory,3
org.apache.derby.impl.sql.catalog.SYSTABLESRowFactory,3
org.apache.derby.impl.sql.compile.CastNode,3
org.apache.derby.impl.sql.compile.ColumnDefinitionNode,3
org.apache.derby.impl.sql.compile.DMLModStatementNode,3
org.apache.derby.impl.sql.compile.FromBaseTable,3
org.apache.derby.impl.sql.compile.MethodCallNode,3
org.apache.derby.impl.sql.compile.ParameterNode,3
org.apache.derby.impl.sql.compile.ResultColumn,3
org.apache.derby.impl.sql.compile.UCode_CharStream,3
