class,count
org.apache.maven.model.v4.MavenTransformer,154
org.apache.maven.model.interpolation.StringVisitorModelInterpolator$ModelVisitor,50
org.apache.maven.settings.v4.SettingsTransformer,50
org.apache.maven.project.MavenProject,45
org.apache.maven.api.plugin.testing.stubs.RepositorySystemSupplier,21
org.apache.maven.execution.MavenSession,21
org.apache.maven.execution.DefaultMavenExecutionRequest,19
org.apache.maven.model.building.DefaultModelBuildingRequest,19
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,18
org.apache.maven.artifact.repository.MavenArtifactRepository,13
org.apache.maven.repository.MetadataResolutionRequest,13
org.apache.maven.api.model.Model$Builder,12
org.apache.maven.api.plugin.testing.MojoExtension$1Foo,12
org.apache.maven.artifact.DefaultArtifact,12
org.apache.maven.plugin.internal.DefaultMavenPluginManager,12
org.apache.maven.project.DefaultProjectBuildingRequest,11
org.apache.maven.settings.Settings,11
org.apache.maven.execution.MojoExecutionEvent,10
org.apache.maven.plugin.descriptor.PluginDescriptor,10
org.apache.maven.project.DefaultProjectBuilderConfiguration,10
org.apache.maven.repository.legacy.metadata.ResolutionGroup,10
org.apache.maven.repository.MetadataResolutionResult,9
org.apache.maven.repository.metadata.MetadataResolutionRequest,9
org.apache.maven.api.settings.Settings,8
org.apache.maven.api.settings.Settings$Builder,8
org.apache.maven.artifact.repository.DefaultArtifactRepository,8
org.apache.maven.artifact.resolver.ArtifactResolutionResult,8
org.apache.maven.artifact.resolver.ResolutionNode,8
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,8
org.apache.maven.cli.props.MavenProperties,8
org.apache.maven.cling.props.MavenProperties,8
org.apache.maven.execution.ProjectExecutionEvent,8
org.apache.maven.lifecycle.internal.DependencyContext,8
org.apache.maven.model.InputLocation,8
org.apache.maven.plugin.descriptor.MojoDescriptor,8
org.apache.maven.profiles.DefaultProfileManager,8
org.apache.maven.profiles.Profile,8
org.apache.maven.repository.metadata.MetadataTreeNode,8
org.apache.maven.api.model.Build$Builder,7
org.apache.maven.api.model.Model,7
org.apache.maven.api.model.ModelBase$Builder,7
org.apache.maven.api.services.ModelBuilderRequest$ModelBuilderRequestBuilder,7
org.apache.maven.model.Model,7
org.apache.maven.repository.metadata.MetadataGraph,7
org.apache.maven.api.model.ModelBase,6
org.apache.maven.api.model.Profile$Builder,6
org.apache.maven.api.plugin.testing.stubs.PluginStub,6
org.apache.maven.artifact.resolver.UnresolvedArtifacts,6
org.apache.maven.cli.props.MavenProperties$Layout,6
org.apache.maven.cling.props.MavenProperties$Layout,6
org.apache.maven.lifecycle.internal.ProjectSegment,6
org.apache.maven.profiles.Activation,6
org.apache.maven.profiles.io.xpp3.ProfilesXpp3Reader,6
org.apache.maven.project.artifact.DefaultMavenMetadataCache$CacheRecord,6
org.apache.maven.repository.ArtifactTransferEvent,6
org.apache.maven.repository.metadata.MetadataResolution,6
org.apache.maven.toolchain.v4.MavenToolchainsTransformer,6
org.apache.maven.usability.plugin.io.xpp3.ParamdocXpp3Reader,6
org.apache.maven.api.model.BuildBase$Builder,5
org.apache.maven.api.services.model.ModelResolver$ModelResolverRequest,5
org.apache.maven.artifact.repository.metadata.AbstractRepositoryMetadata,5
org.apache.maven.cling.invoker.BaseInvokerRequest,5
org.apache.maven.execution.DefaultMavenExecutionResult,5
org.apache.maven.impl.model.DefaultModelBuilder$RgavCacheKey,5
org.apache.maven.lifecycle.internal.concurrent.BuildPlan,5
org.apache.maven.plugin.PluginExecutionException,5
org.apache.maven.profiles.Repository,5
org.apache.maven.repository.metadata.MetadataGraphEdge,5
org.apache.maven.api.settings.Profile$Builder,4
org.apache.maven.artifact.repository.DefaultRepositoryRequest,4
org.apache.maven.artifact.repository.metadata.DefaultRepositoryMetadataManager,4
org.apache.maven.artifact.repository.metadata.WrapperList,4
org.apache.maven.artifact.resolver.MultipleArtifactsNotFoundException,4
org.apache.maven.cli.CliRequest,4
org.apache.maven.lifecycle.Lifecycle,4
org.apache.maven.lifecycle.LifecycleExecutionException,4
org.apache.maven.model.BuildBase,4
org.apache.maven.model.ModelBase,4
org.apache.maven.model.Plugin,4
org.apache.maven.model.ReportPlugin,4
org.apache.maven.model.WrapperList,4
org.apache.maven.model.building.ModelProblemCollectorRequest,4
org.apache.maven.plugin.DefaultBuildPluginManager,4
org.apache.maven.plugin.PluginArtifactsCache$CacheRecord,4
org.apache.maven.plugin.PluginManagerException,4
org.apache.maven.profiles.ProfilesRoot,4
org.apache.maven.project.DuplicateArtifactAttachmentException,4
org.apache.maven.project.artifact.AttachedArtifact,4
org.apache.maven.repository.DelegatingLocalArtifactRepository,4
org.apache.maven.repository.VersionNotFoundException,4
org.apache.maven.settings.Profile,4
org.apache.maven.settings.WrapperList,4
org.apache.maven.settings.crypto.DefaultSettingsDecryptionRequest,4
org.apache.maven.toolchain.model.WrapperList,4
org.apache.maven.usability.plugin.Expression,4
org.apache.maven.DefaultMaven,3
org.apache.maven.api.metadata.Versioning$Builder,3
org.apache.maven.api.model.BuildBase,3
org.apache.maven.api.model.Contributor$Builder,3
org.apache.maven.api.model.Developer$Builder,3
org.apache.maven.api.model.FileSet$Builder,3
org.apache.maven.api.model.PatternSet$Builder,3
org.apache.maven.api.model.Resource$Builder,3
org.apache.maven.api.services.ArtifactResolverRequest$ArtifactResolverRequestBuilder,3
org.apache.maven.api.settings.Profile,3
org.apache.maven.api.xml.XmlNode$Builder,3
org.apache.maven.cli.event.ExecutionEventLogger,3
org.apache.maven.cli.transfer.SimplexTransferListener,3
org.apache.maven.cling.event.ExecutionEventLogger,3
org.apache.maven.cling.invoker.LookupContext,3
org.apache.maven.cling.invoker.LookupInvoker,3
org.apache.maven.cling.transfer.SimplexTransferListener,3
org.apache.maven.di.impl.InjectorImpl,3
org.apache.maven.impl.model.DefaultModelBuilder$ModelBuilderSessionState,3
org.apache.maven.impl.model.DefaultModelBuilder$SourceCacheKey,3
org.apache.maven.impl.resolver.MavenMetadata,3
org.apache.maven.internal.xml.XmlPlexusConfiguration,3
org.apache.maven.lifecycle.internal.concurrent.BuildPlanExecutor,3
org.apache.maven.lifecycle.mapping.DefaultLifecycleMapping,3
org.apache.maven.logging.LoggingOutputStream,3
org.apache.maven.model.Build,3
org.apache.maven.model.resolution.InvalidRepositoryException,3
org.apache.maven.model.v4.MavenModelVersion,3
org.apache.maven.plugin.MojoExecution,3
org.apache.maven.plugin.PluginNotFoundException,3
org.apache.maven.plugin.PluginResolutionException,3
org.apache.maven.plugin.internal.DefaultPluginManager,3
org.apache.maven.project.ProjectSorter,3
org.apache.maven.project.artifact.ProjectArtifact,3
org.apache.maven.repository.internal.MavenMetadata,3
org.apache.maven.repository.legacy.DefaultWagonManager,3
org.apache.maven.repository.metadata.ClasspathContainer,3
org.apache.maven.repository.metadata.MetadataGraphVertex,3
org.apache.maven.repository.metadata.MetadataResolutionResult,3
org.apache.maven.toolchain.building.DefaultToolchainsBuildingResult,3
org.apache.maven.toolchain.model.PersistedToolchains,3
org.apache.maven.usability.plugin.ExpressionDocumentation,3
org.apache.maven.ReactorReader,2
org.apache.maven.api.cache.RequestResult,2
org.apache.maven.api.cli.Logger$Entry,2
