class,method_name,field_name,count
org.apache.maven.model.interpolation.StringVisitorModelInterpolator$ModelVisitor,visit,NOVALUE,50
org.apache.maven.artifact.DefaultArtifact,&lt;init&gt;,NOVALUE,4
org.apache.maven.plugin.PluginExecutionException,&lt;init&gt;,mojoExecution,4
org.apache.maven.artifact.repository.metadata.AbstractRepositoryMetadata,updateRepositoryMetadata,NOVALUE,3
org.apache.maven.execution.MavenSession,&lt;init&gt;,request,3
org.apache.maven.execution.MavenSession,&lt;init&gt;,result,3
org.apache.maven.lifecycle.LifecycleExecutionException,&lt;init&gt;,project,3
org.apache.maven.model.v4.MavenModelVersion,has,NOVALUE,3
org.apache.maven.plugin.PluginManagerException,&lt;init&gt;,project,3
org.apache.maven.repository.metadata.MetadataGraph,&lt;init&gt;,NOVALUE,3
org.apache.maven.ReactorReader,cleanProjectLocalRepository,NOVALUE,2
org.apache.maven.artifact.repository.MavenArtifactRepository,&lt;init&gt;,releases,2
org.apache.maven.artifact.repository.MavenArtifactRepository,&lt;init&gt;,snapshots,2
org.apache.maven.artifact.repository.metadata.DefaultRepositoryMetadataManager,resolve,NOVALUE,2
org.apache.maven.artifact.repository.metadata.SnapshotArtifactRepositoryMetadata,&lt;init&gt;,artifact,2
org.apache.maven.artifact.resolver.ResolutionNode,&lt;init&gt;,artifact,2
org.apache.maven.artifact.resolver.ResolutionNode,&lt;init&gt;,remoteRepositories,2
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,parseCoreExtensions,NOVALUE,2
org.apache.maven.cli.props.MavenProperties,&lt;init&gt;,NOVALUE,2
org.apache.maven.cling.props.MavenProperties,&lt;init&gt;,NOVALUE,2
org.apache.maven.impl.PathSelector$DirectoryPrefiltering,&lt;init&gt;,NOVALUE,2
org.apache.maven.impl.model.DefaultModelPathTranslator,alignToBaseDirectory,NOVALUE,2
org.apache.maven.impl.resolver.MavenMetadata,merge,NOVALUE,2
org.apache.maven.model.resolution.InvalidRepositoryException,&lt;init&gt;,repository,2
org.apache.maven.model.v4.MavenTransformer,transform,NOVALUE,2
org.apache.maven.plugin.DefaultBuildPluginManager,executeMojo,NOVALUE,2
org.apache.maven.plugin.PluginNotFoundException,&lt;init&gt;,plugin,2
org.apache.maven.plugin.PluginResolutionException,&lt;init&gt;,plugin,2
org.apache.maven.plugin.internal.DefaultMavenPluginManager,loadV3Mojo,NOVALUE,2
org.apache.maven.plugin.internal.DefaultMavenPluginManager,populateMojoExecutionFields,NOVALUE,2
org.apache.maven.profiles.DefaultProfileManager,&lt;init&gt;,NOVALUE,2
org.apache.maven.profiles.RepositoryBase,equals,NOVALUE,2
org.apache.maven.project.artifact.AttachedArtifact,&lt;init&gt;,NOVALUE,2
org.apache.maven.repository.ArtifactTransferEvent,&lt;init&gt;,NOVALUE,2
org.apache.maven.repository.internal.DefaultArtifactDescriptorReader,loadPom,NOVALUE,2
org.apache.maven.repository.internal.MavenMetadata,merge,NOVALUE,2
org.apache.maven.settings.merge.MavenSettingsMerger,merge,NOVALUE,2
org.apache.maven.settings.v4.SettingsTransformer,transformTrackableBase,NOVALUE,2
org.apache.maven.settings.v4.SettingsTransformer,transform,NOVALUE,2
org.apache.maven.toolchain.v4.MavenToolchainsTransformer,transformTrackableBase,NOVALUE,2
org.apache.maven.toolchain.v4.MavenToolchainsTransformer,transform,NOVALUE,2
org.apache.maven.usability.plugin.ExpressionDocumenter,load,expressionDocumentation,2
org.apache.maven.DefaultArtifactFilterManager,&lt;init&gt;,delegates,1
org.apache.maven.DefaultMaven,&lt;init&gt;,buildResumptionDataRepository,1
org.apache.maven.DefaultMaven,&lt;init&gt;,legacySupport,1
org.apache.maven.DefaultMaven,validateLocalRepository,NOVALUE,1
org.apache.maven.DuplicateProjectException,getCollisions,collisions,1
org.apache.maven.api.ExtensibleEnums$DefaultPathScope,equals,NOVALUE,1
org.apache.maven.api.cache.RequestResult,error,error,1
org.apache.maven.api.cache.RequestResult,&lt;init&gt;,error,1
org.apache.maven.api.cli.CoreExtensions,coreExtensions,coreExtensions,1
org.apache.maven.api.cli.Logger$Entry,error,error,1
org.apache.maven.api.cli.Logger$Entry,&lt;init&gt;,error,1
org.apache.maven.api.cli.ParserRequest$Builder,stdErr,stdErr,1
org.apache.maven.api.cli.ParserRequest$Builder,stdOut,stdOut,1
