class,method_name,count
org.apache.maven.execution.MavenSession,&lt;init&gt;,8
org.apache.maven.plugin.internal.DefaultMavenPluginManager,&lt;init&gt;,6
org.apache.maven.artifact.resolver.ResolutionNode,&lt;init&gt;,5
org.apache.maven.execution.MojoExecutionEvent,&lt;init&gt;,5
org.apache.maven.repository.legacy.metadata.ResolutionGroup,&lt;init&gt;,5
org.apache.maven.artifact.DefaultArtifact,&lt;init&gt;,4
org.apache.maven.artifact.repository.metadata.WrapperList,NOVALUE,4
org.apache.maven.execution.ProjectExecutionEvent,&lt;init&gt;,4
org.apache.maven.model.WrapperList,NOVALUE,4
org.apache.maven.plugin.PluginExecutionException,&lt;init&gt;,4
org.apache.maven.repository.metadata.MetadataGraph,&lt;init&gt;,4
org.apache.maven.settings.WrapperList,NOVALUE,4
org.apache.maven.toolchain.model.WrapperList,NOVALUE,4
org.apache.maven.artifact.repository.MavenArtifactRepository,&lt;init&gt;,3
org.apache.maven.artifact.repository.metadata.AbstractRepositoryMetadata,updateRepositoryMetadata,3
org.apache.maven.artifact.resolver.UnresolvedArtifacts,&lt;init&gt;,3
org.apache.maven.lifecycle.LifecycleExecutionException,&lt;init&gt;,3
org.apache.maven.lifecycle.internal.DependencyContext,&lt;init&gt;,3
org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxer,&lt;init&gt;,3
org.apache.maven.plugin.PluginManagerException,&lt;init&gt;,3
org.apache.maven.plugin.internal.DefaultMavenPluginManager,loadV3Mojo,3
org.apache.maven.profiles.DefaultProfileManager,&lt;init&gt;,3
org.apache.maven.project.artifact.AttachedArtifact,&lt;init&gt;,3
org.apache.maven.repository.ArtifactTransferEvent,&lt;init&gt;,3
org.apache.maven.repository.MetadataResolutionRequest,&lt;init&gt;,3
org.apache.maven.repository.MetadataResolutionResult,NOVALUE,3
org.apache.maven.repository.metadata.MetadataResolutionRequest,&lt;init&gt;,3
org.apache.maven.DefaultMaven,&lt;init&gt;,2
org.apache.maven.ReactorReader,cleanProjectLocalRepository,2
org.apache.maven.artifact.repository.metadata.DefaultRepositoryMetadataManager,resolve,2
org.apache.maven.artifact.repository.metadata.SnapshotArtifactRepositoryMetadata,&lt;init&gt;,2
org.apache.maven.artifact.resolver.MultipleArtifactsNotFoundException,&lt;init&gt;,2
org.apache.maven.bridge.MavenRepositorySystem,&lt;init&gt;,2
org.apache.maven.cli.event.ExecutionEventLogger,init,2
org.apache.maven.internal.impl.PathModularization,&lt;init&gt;,2
org.apache.maven.internal.impl.resolver.MavenMetadata,merge,2
org.apache.maven.lifecycle.Lifecycle,&lt;init&gt;,2
org.apache.maven.lifecycle.internal.DefaultLifecycleExecutionPlanCalculator,&lt;init&gt;,2
org.apache.maven.lifecycle.internal.ProjectSegment,&lt;init&gt;,2
org.apache.maven.lifecycle.mapping.DefaultLifecycleMapping,NOVALUE,2
org.apache.maven.model.building.DefaultTransformerContext$Holder,get,2
org.apache.maven.model.v4.MavenModelVersion,has,2
org.apache.maven.model.v4.MavenTransformer,transform,2
org.apache.maven.plugin.DefaultBuildPluginManager,executeMojo,2
org.apache.maven.plugin.DefaultBuildPluginManager,&lt;init&gt;,2
org.apache.maven.plugin.PluginArtifactsCache$CacheRecord,&lt;init&gt;,2
org.apache.maven.plugin.PluginNotFoundException,&lt;init&gt;,2
org.apache.maven.plugin.PluginParameterExpressionEvaluator,&lt;init&gt;,2
org.apache.maven.plugin.internal.DefaultMavenPluginManager,populateMojoExecutionFields,2
org.apache.maven.plugin.internal.DefaultPluginManager,&lt;init&gt;,2
org.apache.maven.profiles.RepositoryBase,equals,2
org.apache.maven.project.DefaultProjectBuildingHelper,&lt;init&gt;,2
org.apache.maven.project.DuplicateArtifactAttachmentException,&lt;init&gt;,2
org.apache.maven.project.artifact.ActiveProjectArtifact,&lt;init&gt;,2
org.apache.maven.project.artifact.MavenMetadataSource,&lt;init&gt;,2
org.apache.maven.project.interpolation.PathTranslatingPostProcessor,&lt;init&gt;,2
org.apache.maven.repository.VersionNotFoundException,&lt;init&gt;,2
org.apache.maven.repository.internal.MavenMetadata,merge,2
org.apache.maven.repository.metadata.MetadataResolution,&lt;init&gt;,2
org.apache.maven.repository.metadata.MetadataTreeNode,&lt;init&gt;,2
org.apache.maven.settings.merge.MavenSettingsMerger,merge,2
org.apache.maven.settings.v4.SettingsTransformer,transformTrackableBase,2
org.apache.maven.settings.v4.SettingsTransformer,transform,2
org.apache.maven.toolchain.v4.MavenToolchainsTransformer,transformTrackableBase,2
org.apache.maven.toolchain.v4.MavenToolchainsTransformer,transform,2
org.apache.maven.usability.plugin.ExpressionDocumenter,load,2
org.apache.maven.DefaultArtifactFilterManager,&lt;init&gt;,1
org.apache.maven.DefaultMaven,validateLocalRepository,1
org.apache.maven.DuplicateProjectException,getCollisions,1
org.apache.maven.api.ExtensibleEnums$DefaultPathScope,equals,1
org.apache.maven.api.metadata.Metadata,getPlugins,1
org.apache.maven.api.metadata.Metadata$Builder,plugins,1
org.apache.maven.api.metadata.Metadata$Builder,&lt;init&gt;,1
org.apache.maven.api.metadata.Plugin$Builder,&lt;init&gt;,1
org.apache.maven.api.metadata.SnapshotVersion$Builder,&lt;init&gt;,1
org.apache.maven.api.metadata.Versioning,getSnapshotVersions,1
org.apache.maven.api.metadata.Versioning,getVersions,1
org.apache.maven.api.metadata.Versioning$Builder,snapshotVersions,1
org.apache.maven.api.metadata.Versioning$Builder,versions,1
org.apache.maven.api.metadata.Versioning$Builder,&lt;init&gt;,1
org.apache.maven.api.model.ActivationFile$Builder,&lt;init&gt;,1
org.apache.maven.api.model.ActivationOS$Builder,&lt;init&gt;,1
org.apache.maven.api.model.ActivationProperty$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Build,getExtensions,1
org.apache.maven.api.model.Build$Builder,extensions,1
org.apache.maven.api.model.Build$Builder,filters,1
org.apache.maven.api.model.Build$Builder,plugins,1
org.apache.maven.api.model.Build$Builder,resources,1
org.apache.maven.api.model.Build$Builder,testResources,1
org.apache.maven.api.model.Build$Builder,&lt;init&gt;,1
org.apache.maven.api.model.BuildBase,getFilters,1
org.apache.maven.api.model.BuildBase,getResources,1
org.apache.maven.api.model.BuildBase,getTestResources,1
org.apache.maven.api.model.BuildBase$Builder,filters,1
org.apache.maven.api.model.BuildBase$Builder,plugins,1
org.apache.maven.api.model.BuildBase$Builder,resources,1
org.apache.maven.api.model.BuildBase$Builder,testResources,1
org.apache.maven.api.model.BuildBase$Builder,&lt;init&gt;,1
org.apache.maven.api.model.CiManagement,getNotifiers,1
org.apache.maven.api.model.CiManagement$Builder,notifiers,1
org.apache.maven.api.model.CiManagement$Builder,&lt;init&gt;,1
org.apache.maven.api.model.ConfigurationContainer$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Contributor,getProperties,1
org.apache.maven.api.model.Contributor,getRoles,1
org.apache.maven.api.model.Contributor$Builder,properties,1
org.apache.maven.api.model.Contributor$Builder,roles,1
org.apache.maven.api.model.Contributor$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Dependency,getExclusions,1
org.apache.maven.api.model.Dependency$Builder,exclusions,1
org.apache.maven.api.model.DependencyManagement,getDependencies,1
org.apache.maven.api.model.DependencyManagement$Builder,dependencies,1
org.apache.maven.api.model.DependencyManagement$Builder,&lt;init&gt;,1
org.apache.maven.api.model.DeploymentRepository,equals,1
org.apache.maven.api.model.Developer$Builder,properties,1
org.apache.maven.api.model.Developer$Builder,roles,1
org.apache.maven.api.model.Developer$Builder,&lt;init&gt;,1
org.apache.maven.api.model.DistributionManagement$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Exclusion$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Extension$Builder,&lt;init&gt;,1
org.apache.maven.api.model.FileSet$Builder,excludes,1
org.apache.maven.api.model.FileSet$Builder,includes,1
org.apache.maven.api.model.FileSet$Builder,&lt;init&gt;,1
org.apache.maven.api.model.InputLocation,getLocations,1
org.apache.maven.api.model.IssueManagement$Builder,&lt;init&gt;,1
org.apache.maven.api.model.License$Builder,&lt;init&gt;,1
