type,count
EI_EXPOSE_REP2,398
EI_EXPOSE_REP,378
ES_COMPARING_STRINGS_WITH_EQ,193
CN_IDIOM_NO_SUPER_CALL,65
UCF_USELESS_CONTROL_FLOW,49
CT_CONSTRUCTOR_THROW,35
EC_UNRELATED_TYPES,30
EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC,27
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,21
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,20
SE_BAD_FIELD,20
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,12
DM_DEFAULT_ENCODING,12
DM_BOXED_PRIMITIVE_FOR_PARSING,10
WMI_WRONG_MAP_ITERATOR,9
UPM_UNCALLED_PRIVATE_METHOD,9
NP_LOAD_OF_KNOWN_NULL_VALUE,7
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,7
EQ_DOESNT_OVERRIDE_EQUALS,6
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,6
DLS_DEAD_LOCAL_STORE,6
EQ_GETCLASS_AND_CLASS_CONSTANT,5
RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE,4
UG_SYNC_SET_UNSYNC_GET,4
URF_UNREAD_FIELD,4
NP_NULL_PARAM_DEREF,4
NM_SAME_SIMPLE_NAME_AS_INTERFACE,3
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,3
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,3
STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE,3
REC_CATCH_EXCEPTION,3
IS2_INCONSISTENT_SYNC,3
HE_EQUALS_USE_HASHCODE,3
NM_CLASS_NOT_EXCEPTION,2
WA_NOT_IN_LOOP,2
LI_LAZY_INIT_UPDATE_STATIC,2
UWF_UNWRITTEN_FIELD,2
SIC_INNER_SHOULD_BE_STATIC,2
UUF_UNUSED_FIELD,2
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,2
RV_RETURN_VALUE_IGNORED,2
MS_SHOULD_BE_FINAL,2
NS_DANGEROUS_NON_SHORT_CIRCUIT,1
DMI_RANDOM_USED_ONLY_ONCE,1
DMI_COLLECTION_OF_URLS,1
NP_TOSTRING_COULD_RETURN_NULL,1
MS_MUTABLE_ARRAY,1
SBSC_USE_STRINGBUFFER_CONCATENATION,1
NN_NAKED_NOTIFY,1
SC_START_IN_CTOR,1
EQ_COMPARETO_USE_OBJECT_EQUALS,1
SE_BAD_FIELD_STORE,1
OBL_UNSATISFIED_OBLIGATION,1
SF_SWITCH_NO_DEFAULT,1
RV_RETURN_VALUE_OF_PUTIFABSENT_IGNORED,1
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,1
DE_MIGHT_IGNORE,1
SS_SHOULD_BE_STATIC,1
MS_EXPOSE_REP,1
