class,method_name,field_name,count
org.apache.maven.model.interpolation.StringVisitorModelInterpolator$ModelVisitor,visit,NOVALUE,50
org.apache.maven.plugin.PluginExecutionException,&lt;init&gt;,mojoExecution,4
org.apache.maven.artifact.DefaultArtifact,&lt;init&gt;,NOVALUE,3
org.apache.maven.artifact.repository.metadata.AbstractRepositoryMetadata,updateRepositoryMetadata,NOVALUE,3
org.apache.maven.lifecycle.LifecycleExecutionException,&lt;init&gt;,project,3
org.apache.maven.plugin.PluginManagerException,&lt;init&gt;,project,3
org.apache.maven.repository.metadata.MetadataGraph,&lt;init&gt;,NOVALUE,3
org.apache.maven.artifact.repository.metadata.DefaultRepositoryMetadataManager,resolve,NOVALUE,2
org.apache.maven.artifact.repository.metadata.SnapshotArtifactRepositoryMetadata,&lt;init&gt;,artifact,2
org.apache.maven.artifact.resolver.ResolutionNode,&lt;init&gt;,artifact,2
org.apache.maven.artifact.resolver.ResolutionNode,&lt;init&gt;,remoteRepositories,2
org.apache.maven.building.UrlSource,equals,NOVALUE,2
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,parseCoreExtensions,NOVALUE,2
org.apache.maven.execution.MavenSession,&lt;init&gt;,request,2
org.apache.maven.execution.MavenSession,&lt;init&gt;,result,2
org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxer,&lt;init&gt;,NOVALUE,2
org.apache.maven.model.resolution.InvalidRepositoryException,&lt;init&gt;,repository,2
org.apache.maven.plugin.DefaultBuildPluginManager,executeMojo,NOVALUE,2
org.apache.maven.plugin.PluginNotFoundException,&lt;init&gt;,plugin,2
org.apache.maven.plugin.internal.DefaultMavenPluginManager,getConfiguredMojo,NOVALUE,2
org.apache.maven.plugin.internal.DefaultMavenPluginManager,populateMojoExecutionFields,NOVALUE,2
org.apache.maven.plugin.lifecycle.io.xpp3.LifecycleMappingsXpp3Reader,parseLifecycleConfiguration,NOVALUE,2
org.apache.maven.profiles.DefaultProfileManager,&lt;init&gt;,NOVALUE,2
org.apache.maven.profiles.RepositoryBase,equals,NOVALUE,2
org.apache.maven.project.ReactorModelPool$GAKey,equals,NOVALUE,2
org.apache.maven.project.artifact.AttachedArtifact,&lt;init&gt;,NOVALUE,2
org.apache.maven.repository.ArtifactTransferEvent,&lt;init&gt;,NOVALUE,2
org.apache.maven.settings.RepositoryBase,equals,NOVALUE,2
org.apache.maven.toolchain.model.io.xpp3.MavenToolchainsXpp3Reader,parsePersistedToolchains,NOVALUE,2
org.apache.maven.usability.plugin.ExpressionDocumenter,load,expressionDocumentation,2
org.apache.maven.DefaultArtifactFilterManager,&lt;init&gt;,delegates,1
org.apache.maven.DefaultMaven,&lt;init&gt;,buildResumptionDataRepository,1
org.apache.maven.DefaultMaven,&lt;init&gt;,legacySupport,1
org.apache.maven.DefaultMaven,validateLocalRepository,NOVALUE,1
org.apache.maven.DuplicateProjectException,getCollisions,collisions,1
org.apache.maven.artifact.DefaultArtifact,setOptional,optional,1
org.apache.maven.artifact.DefaultArtifact,setRelease,release,1
org.apache.maven.artifact.DefaultArtifact,getAvailableVersions,availableVersions,1
org.apache.maven.artifact.DefaultArtifact,getDependencyTrail,dependencyTrail,1
org.apache.maven.artifact.DefaultArtifact,getRepository,repository,1
org.apache.maven.artifact.DefaultArtifact,setAvailableVersions,availableVersions,1
org.apache.maven.artifact.DefaultArtifact,setDependencyTrail,dependencyTrail,1
org.apache.maven.artifact.DefaultArtifact,setRepository,repository,1
org.apache.maven.artifact.factory.DefaultArtifactFactory,&lt;init&gt;,artifactHandlerManager,1
org.apache.maven.artifact.handler.manager.DefaultArtifactHandlerManager,&lt;init&gt;,artifactHandlers,1
org.apache.maven.artifact.handler.providers.EarArtifactHandlerProvider,get,artifactHandler,1
org.apache.maven.artifact.handler.providers.EjbArtifactHandlerProvider,get,artifactHandler,1
org.apache.maven.artifact.handler.providers.EjbClientArtifactHandlerProvider,get,artifactHandler,1
org.apache.maven.artifact.handler.providers.JarArtifactHandlerProvider,get,artifactHandler,1
org.apache.maven.artifact.handler.providers.JavaSourceArtifactHandlerProvider,get,artifactHandler,1
org.apache.maven.artifact.handler.providers.JavadocArtifactHandlerProvider,get,artifactHandler,1
org.apache.maven.artifact.handler.providers.MavenPluginArtifactHandlerProvider,get,artifactHandler,1
org.apache.maven.artifact.handler.providers.PomArtifactHandlerProvider,get,artifactHandler,1
org.apache.maven.artifact.handler.providers.RarArtifactHandlerProvider,get,artifactHandler,1
org.apache.maven.artifact.handler.providers.TestJarArtifactHandlerProvider,get,artifactHandler,1
org.apache.maven.artifact.handler.providers.WarArtifactHandlerProvider,get,artifactHandler,1
org.apache.maven.artifact.manager.DefaultWagonManager,NOVALUE,NOVALUE,1
org.apache.maven.artifact.manager.WagonConfigurationException,NOVALUE,NOVALUE,1
org.apache.maven.artifact.manager.WagonManager,NOVALUE,NOVALUE,1
org.apache.maven.artifact.metadata.AbstractArtifactMetadata,NOVALUE,NOVALUE,1
org.apache.maven.artifact.metadata.ArtifactMetadata,NOVALUE,NOVALUE,1
org.apache.maven.artifact.metadata.ArtifactMetadataRetrievalException,NOVALUE,NOVALUE,1
org.apache.maven.artifact.metadata.ArtifactMetadataSource,NOVALUE,NOVALUE,1
org.apache.maven.artifact.metadata.ResolutionGroup,NOVALUE,NOVALUE,1
org.apache.maven.artifact.repository.DefaultArtifactRepository,getAuthentication,authentication,1
org.apache.maven.artifact.repository.DefaultArtifactRepository,getProxy,proxy,1
