class,method,count
org.apache.maven.model.interpolation.StringVisitorModelInterpolator$ModelVisitor,visit,50
org.apache.maven.model.Dependency,getLocation,10
org.apache.maven.model.Dependency,setLocation,10
org.apache.maven.model.ModelBase,getLocation,10
org.apache.maven.model.ModelBase,setLocation,10
org.apache.maven.model.Contributor,getLocation,9
org.apache.maven.model.Contributor,setLocation,9
org.apache.maven.model.Notifier,getLocation,8
org.apache.maven.model.Notifier,setLocation,8
org.apache.maven.model.Scm,getLocation,8
org.apache.maven.model.Scm,setLocation,8
org.apache.maven.model.DistributionManagement,getLocation,7
org.apache.maven.model.DistributionManagement,setLocation,7
org.apache.maven.model.MailingList,getLocation,7
org.apache.maven.model.MailingList,setLocation,7
org.apache.maven.execution.MavenSession,&lt;init&gt;,6
org.apache.maven.model.Activation,getLocation,6
org.apache.maven.model.Activation,setLocation,6
org.apache.maven.artifact.resolver.ResolutionNode,&lt;init&gt;,5
org.apache.maven.execution.MojoExecutionEvent,&lt;init&gt;,5
org.apache.maven.model.ActivationOS,getLocation,5
org.apache.maven.model.ActivationOS,setLocation,5
org.apache.maven.model.License,getLocation,5
org.apache.maven.model.License,setLocation,5
org.apache.maven.model.Parent,getLocation,5
org.apache.maven.model.Parent,setLocation,5
org.apache.maven.model.Relocation,getLocation,5
org.apache.maven.model.Relocation,setLocation,5
org.apache.maven.model.RepositoryBase,getLocation,5
org.apache.maven.model.RepositoryBase,setLocation,5
org.apache.maven.model.Site,getLocation,5
org.apache.maven.model.Site,setLocation,5
org.apache.maven.repository.legacy.metadata.ResolutionGroup,&lt;init&gt;,5
org.apache.maven.execution.ProjectExecutionEvent,&lt;init&gt;,4
org.apache.maven.model.CiManagement,getLocation,4
org.apache.maven.model.CiManagement,setLocation,4
org.apache.maven.model.Extension,getLocation,4
org.apache.maven.model.Extension,setLocation,4
org.apache.maven.model.Reporting,getLocation,4
org.apache.maven.model.Reporting,setLocation,4
org.apache.maven.model.RepositoryPolicy,getLocation,4
org.apache.maven.model.RepositoryPolicy,setLocation,4
org.apache.maven.plugin.PluginExecutionException,&lt;init&gt;,4
org.apache.maven.repository.metadata.MetadataGraph,&lt;init&gt;,4
org.apache.maven.artifact.DefaultArtifact,&lt;init&gt;,3
org.apache.maven.artifact.repository.MavenArtifactRepository,&lt;init&gt;,3
org.apache.maven.artifact.repository.metadata.AbstractRepositoryMetadata,updateRepositoryMetadata,3
org.apache.maven.artifact.resolver.UnresolvedArtifacts,&lt;init&gt;,3
org.apache.maven.lifecycle.LifecycleExecutionException,&lt;init&gt;,3
org.apache.maven.lifecycle.internal.DependencyContext,&lt;init&gt;,3
org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxer,&lt;init&gt;,3
org.apache.maven.model.ActivationFile,getLocation,3
org.apache.maven.model.ActivationFile,setLocation,3
org.apache.maven.model.ActivationProperty,getLocation,3
org.apache.maven.model.ActivationProperty,setLocation,3
org.apache.maven.model.ConfigurationContainer,getLocation,3
org.apache.maven.model.ConfigurationContainer,setLocation,3
org.apache.maven.model.Exclusion,getLocation,3
org.apache.maven.model.Exclusion,setLocation,3
org.apache.maven.model.IssueManagement,getLocation,3
org.apache.maven.model.IssueManagement,setLocation,3
org.apache.maven.model.Organization,getLocation,3
org.apache.maven.model.Organization,setLocation,3
org.apache.maven.model.PatternSet,getLocation,3
org.apache.maven.model.PatternSet,setLocation,3
org.apache.maven.plugin.PluginManagerException,&lt;init&gt;,3
org.apache.maven.profiles.DefaultProfileManager,&lt;init&gt;,3
org.apache.maven.project.artifact.AttachedArtifact,&lt;init&gt;,3
org.apache.maven.repository.ArtifactTransferEvent,&lt;init&gt;,3
