type,count
EI_EXPOSE_REP,505
EI_EXPOSE_REP2,477
ES_COMPARING_STRINGS_WITH_EQ,50
DM_BOXED_PRIMITIVE_FOR_PARSING,36
CT_CONSTRUCTOR_THROW,20
UPM_UNCALLED_PRIVATE_METHOD,18
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,14
DM_DEFAULT_ENCODING,13
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,12
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,7
EQ_DOESNT_OVERRIDE_EQUALS,6
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,5
NP_LOAD_OF_KNOWN_NULL_VALUE,5
EQ_GETCLASS_AND_CLASS_CONSTANT,5
DLS_DEAD_LOCAL_STORE,5
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,5
HE_EQUALS_USE_HASHCODE,5
UWF_UNWRITTEN_FIELD,4
WMI_WRONG_MAP_ITERATOR,4
SIC_INNER_SHOULD_BE_STATIC,4
NM_SAME_SIMPLE_NAME_AS_INTERFACE,3
SBSC_USE_STRINGBUFFER_CONCATENATION,3
IS2_INCONSISTENT_SYNC,3
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,3
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,3
NM_CLASS_NOT_EXCEPTION,2
URF_UNREAD_FIELD,2
DMI_COLLECTION_OF_URLS,2
REC_CATCH_EXCEPTION,2
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2
UUF_UNUSED_FIELD,2
NS_DANGEROUS_NON_SHORT_CIRCUIT,1
DMI_BLOCKING_METHODS_ON_URL,1
UC_USELESS_CONDITION,1
SE_BAD_FIELD,1
MS_MUTABLE_ARRAY,1
NN_NAKED_NOTIFY,1
SC_START_IN_CTOR,1
WA_NOT_IN_LOOP,1
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,1
SE_BAD_FIELD_STORE,1
OBL_UNSATISFIED_OBLIGATION,1
SS_SHOULD_BE_STATIC,1
NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,1
LI_LAZY_INIT_UPDATE_STATIC,1
MS_EXPOSE_REP,1
DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,1
