class,count
org.apache.maven.model.interpolation.StringVisitorModelInterpolator$ModelVisitor,50
org.apache.maven.project.MavenProject,50
org.apache.maven.model.ModelBase,36
org.apache.maven.execution.DefaultMavenExecutionRequest,25
org.apache.maven.model.Model,24
org.apache.maven.model.Contributor,22
org.apache.maven.model.Dependency,22
org.apache.maven.model.DistributionManagement,22
org.apache.maven.execution.MavenSession,19
org.apache.maven.model.building.DefaultModelBuildingRequest,19
org.apache.maven.artifact.resolver.ArtifactResolutionRequest,18
org.apache.maven.model.Activation,18
org.apache.maven.model.Notifier,18
org.apache.maven.settings.Settings,18
org.apache.maven.model.MailingList,16
org.apache.maven.model.Scm,16
org.apache.maven.project.DefaultProjectBuildingRequest,13
org.apache.maven.repository.MetadataResolutionRequest,13
org.apache.maven.artifact.DefaultArtifact,11
org.apache.maven.artifact.repository.MavenArtifactRepository,11
org.apache.maven.model.Reporting,11
org.apache.maven.repository.MetadataResolutionResult,11
org.apache.maven.execution.MojoExecutionEvent,10
org.apache.maven.model.ActivationOS,10
org.apache.maven.model.CiManagement,10
org.apache.maven.model.License,10
org.apache.maven.model.Parent,10
org.apache.maven.model.PatternSet,10
org.apache.maven.model.Relocation,10
org.apache.maven.model.RepositoryBase,10
org.apache.maven.model.Site,10
org.apache.maven.project.DefaultProjectBuilderConfiguration,10
org.apache.maven.repository.legacy.metadata.ResolutionGroup,10
org.apache.maven.repository.metadata.MetadataResolutionRequest,9
org.apache.maven.toolchain.model.io.xpp3.MavenToolchainsXpp3Reader,9
org.apache.maven.artifact.repository.DefaultArtifactRepository,8
org.apache.maven.artifact.resolver.ArtifactResolutionResult,8
org.apache.maven.artifact.resolver.ResolutionNode,8
org.apache.maven.cli.internal.extension.model.io.xpp3.CoreExtensionsXpp3Reader,8
org.apache.maven.execution.ProjectExecutionEvent,8
org.apache.maven.lifecycle.internal.DependencyContext,8
org.apache.maven.model.Extension,8
org.apache.maven.model.RepositoryPolicy,8
org.apache.maven.plugin.descriptor.PluginDescriptor,8
org.apache.maven.plugin.lifecycle.io.xpp3.LifecycleMappingsXpp3Reader,8
org.apache.maven.profiles.DefaultProfileManager,8
org.apache.maven.profiles.Profile,8
org.apache.maven.repository.metadata.MetadataTreeNode,8
org.apache.maven.settings.Profile,8
org.apache.maven.model.PluginContainer,7
org.apache.maven.repository.metadata.MetadataGraph,7
org.apache.maven.settings.io.xpp3.SettingsXpp3Reader,7
org.apache.maven.artifact.repository.metadata.Versioning,6
org.apache.maven.artifact.repository.metadata.io.xpp3.MetadataXpp3Reader,6
org.apache.maven.artifact.resolver.UnresolvedArtifacts,6
org.apache.maven.lifecycle.internal.ProjectSegment,6
org.apache.maven.model.ActivationFile,6
org.apache.maven.model.ActivationProperty,6
org.apache.maven.model.BuildBase,6
org.apache.maven.model.ConfigurationContainer,6
org.apache.maven.model.DependencyManagement,6
org.apache.maven.model.Exclusion,6
org.apache.maven.model.InputLocation,6
org.apache.maven.model.IssueManagement,6
org.apache.maven.model.Organization,6
