type,count
EI_EXPOSE_REP,504
EI_EXPOSE_REP2,475
ES_COMPARING_STRINGS_WITH_EQ,50
DM_BOXED_PRIMITIVE_FOR_PARSING,36
CT_CONSTRUCTOR_THROW,19
UPM_UNCALLED_PRIVATE_METHOD,18
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,13
DM_DEFAULT_ENCODING,12
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,11
EQ_DOESNT_OVERRIDE_EQUALS,7
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,5
NP_LOAD_OF_KNOWN_NULL_VALUE,5
DLS_DEAD_LOCAL_STORE,5
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,5
HE_EQUALS_USE_HASHCODE,5
UWF_UNWRITTEN_FIELD,4
WMI_WRONG_MAP_ITERATOR,4
EQ_GETCLASS_AND_CLASS_CONSTANT,4
NM_SAME_SIMPLE_NAME_AS_INTERFACE,3
SBSC_USE_STRINGBUFFER_CONCATENATION,3
UUF_UNUSED_FIELD,3
IS2_INCONSISTENT_SYNC,3
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,3
NM_CLASS_NOT_EXCEPTION,2
URF_UNREAD_FIELD,2
VA_FORMAT_STRING_USES_NEWLINE,2
DMI_COLLECTION_OF_URLS,2
REC_CATCH_EXCEPTION,2
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,2
SIC_INNER_SHOULD_BE_STATIC,2
NS_DANGEROUS_NON_SHORT_CIRCUIT,1
DMI_BLOCKING_METHODS_ON_URL,1
UC_USELESS_CONDITION,1
SE_BAD_FIELD,1
MS_MUTABLE_ARRAY,1
NN_NAKED_NOTIFY,1
SC_START_IN_CTOR,1
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,1
SE_BAD_FIELD_STORE,1
OBL_UNSATISFIED_OBLIGATION,1
DCN_NULLPOINTER_EXCEPTION,1
SS_SHOULD_BE_STATIC,1
LI_LAZY_INIT_UPDATE_STATIC,1
MS_EXPOSE_REP,1
