class,count
org.apache.phoenix.jdbc.PhoenixDatabaseMetaData,97
org.apache.phoenix.query.QueryConstants,33
org.apache.phoenix.mapreduce.index.IndexVerificationResultRepository,31
org.apache.phoenix.compile.StatementContext,27
org.apache.phoenix.parse.PhoenixSQLParser,25
org.apache.phoenix.pherf.configuration.Scenario,20
org.apache.phoenix.query.ConnectionQueryServicesImpl,20
org.apache.phoenix.util.UpgradeUtil,20
org.apache.phoenix.index.IndexMaintainer,19
org.apache.phoenix.jdbc.PhoenixConnection,19
org.apache.phoenix.mapreduce.index.IndexVerificationOutputRepository,19
org.apache.phoenix.monitoring.MutationMetricQueue$MutationMetric,18
org.apache.phoenix.schema.MetaDataClient,17
org.apache.phoenix.schema.PTableImpl$Builder,16
org.apache.phoenix.hbase.index.IndexRegionObserver,15
org.apache.phoenix.mapreduce.OrphanViewTool,14
org.apache.phoenix.coprocessor.generated.ServerCachingProtos$IndexMaintainer,13
org.apache.phoenix.coprocessorclient.TableTTLInfo,12
org.apache.phoenix.hbase.index.IndexRegionObserver$BatchMutateContext,12
org.apache.phoenix.schema.PTableImpl,11
org.apache.phoenix.compile.QueryCompiler,10
org.apache.phoenix.coprocessor.IndexToolVerificationResult,10
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,10
org.apache.phoenix.coprocessor.generated.ServerCachingProtos$TransformMaintainer,10
org.apache.phoenix.iterate.TableResultIterator,10
org.apache.phoenix.monitoring.TableHistograms,10
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,9
org.apache.phoenix.coprocessor.CompactionScanner$PartitionedTableRowKeyMatcher,9
org.apache.phoenix.coprocessor.generated.PTableProtos$PTable,9
org.apache.phoenix.coprocessorclient.MetaDataProtocol$MetaDataMutationResult,8
org.apache.phoenix.execute.MutationState,8
org.apache.phoenix.mapreduce.index.IndexToolTableUtil,8
org.apache.phoenix.schema.task.Task$TaskRecord,8
org.apache.phoenix.compile.DeleteCompiler$ClientSelectDeleteMutationPlan,7
org.apache.phoenix.coprocessor.generated.MetaDataProtos$MetaDataResponse,7
org.apache.phoenix.coprocessorclient.BaseScannerRegionObserverConstants,7
org.apache.phoenix.execute.SortMergeJoinPlan,7
org.apache.phoenix.execute.UnionPlan,7
org.apache.phoenix.iterate.OrderedResultIterator,7
org.apache.phoenix.parse.PhoenixBsonExpressionParser,7
org.apache.phoenix.pherf.schema.SchemaReader,7
org.apache.phoenix.pherf.workload.mt.operations.TenantOperationFactory,7
org.apache.phoenix.cache.ServerCacheClient$ServerCache,6
org.apache.phoenix.coprocessorclient.InvalidateServerMetadataCacheRequest,6
org.apache.phoenix.coprocessorclient.TableInfo,6
org.apache.phoenix.execute.TupleProjector,6
org.apache.phoenix.expression.KeyValueColumnExpression,6
org.apache.phoenix.index.CDCTableInfo,6
org.apache.phoenix.jdbc.ParallelPhoenixConnection,6
org.apache.phoenix.jdbc.ParallelPhoenixPreparedStatement,6
org.apache.phoenix.join.HashJoinInfo,6
org.apache.phoenix.parse.PhoenixBsonExpressionLexer,6
org.apache.phoenix.pherf.util.GoogleChartGenerator,6
org.apache.phoenix.pherf.util.PhoenixUtil,6
org.apache.phoenix.pherf.workload.WriteWorkload,6
org.apache.phoenix.schema.types.PDataType,6
org.apache.phoenix.trace.TraceReader,6
org.apache.phoenix.util.EquiDepthStreamHistogram$Bucket,6
org.apache.phoenix.cache.ServerCacheClient,5
org.apache.phoenix.cache.aggcache.SpillManager$CacheEntry,5
org.apache.phoenix.compile.ExplainPlanAttributes,5
org.apache.phoenix.compile.JoinCompiler$JoinSpec,5
org.apache.phoenix.compile.JoinCompiler$JoinTable,5
org.apache.phoenix.compile.JoinCompiler$Table,5
org.apache.phoenix.coprocessor.generated.MetaDataProtos$SharedTableState,5
org.apache.phoenix.coprocessor.generated.PGuidePostsProtos$PGuidePosts,5
org.apache.phoenix.filter.SkipScanFilter,5
org.apache.phoenix.hbase.index.covered.LocalTableState,5
org.apache.phoenix.index.CDCTableInfo$CDCColumnInfo,5
org.apache.phoenix.iterate.BaseResultIterators,5
org.apache.phoenix.iterate.UnionResultIterators,5
org.apache.phoenix.jdbc.PhoenixResultSet,5
org.apache.phoenix.mapreduce.index.IndexUpgradeTool,5
org.apache.phoenix.mapreduce.index.IndexVerificationOutputRow,5
org.apache.phoenix.mapreduce.index.IndexVerificationOutputRow$IndexVerificationOutputRowBuilder,5
