class,method_name,field_name,count
org.apache.phoenix.iterate.TableResultIterator,&lt;init&gt;,NOVALUE,8
org.apache.phoenix.jdbc.PhoenixConnection,&lt;init&gt;,NOVALUE,7
org.apache.phoenix.compile.QueryCompiler,&lt;init&gt;,NOVALUE,5
org.apache.phoenix.iterate.OrderedResultIterator,&lt;init&gt;,NOVALUE,5
org.apache.phoenix.compile.FromCompiler$SingleTableColumnResolver,&lt;init&gt;,NOVALUE,4
org.apache.phoenix.filter.SkipScanFilter,&lt;init&gt;,NOVALUE,4
org.apache.phoenix.parse.PhoenixSQLParser,term,NOVALUE,4
org.apache.phoenix.coprocessor.CompactionScanner,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.coprocessor.CompactionScanner$PartitionedTableRowKeyMatcher,getTTLInfo,NOVALUE,3
org.apache.phoenix.expression.function.CeilDateExpression,create,NOVALUE,3
org.apache.phoenix.expression.function.CeilDecimalExpression,create,NOVALUE,3
org.apache.phoenix.expression.function.FloorDateExpression,create,NOVALUE,3
org.apache.phoenix.expression.function.FloorDecimalExpression,create,NOVALUE,3
org.apache.phoenix.iterate.SpoolingResultIterator,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.mapreduce.OrphanViewTool$Key,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.parse.ColumnDef,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.parse.PhoenixSQLParser,function_argument,NOVALUE,3
org.apache.phoenix.pherf.Pherf,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.pherf.schema.SchemaReader,resourceToString,NOVALUE,3
org.apache.phoenix.pherf.workload.QueryVerifier,exportCSV,NOVALUE,3
org.apache.phoenix.pherf.workload.mt.generators.BaseLoadEventGenerator,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.schema.MetaDataClient,addColumn,NOVALUE,3
org.apache.phoenix.trace.TraceReader,getDynamicCountColumns,NOVALUE,3
org.apache.phoenix.cache.aggcache.SpillManager$CacheEntry,getValue,aggs,2
org.apache.phoenix.cache.aggcache.SpillManager$CacheEntry,setValue,aggs,2
org.apache.phoenix.compile.OrderPreservingTracker,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.coprocessor.CompactionScanner$PartitionedTableRowKeyMatcher,getGlobalViews,NOVALUE,2
org.apache.phoenix.coprocessor.CompactionScanner$PartitionedTableRowKeyMatcher,getNextTenantViews,NOVALUE,2
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,getTableFromCells,NOVALUE,2
org.apache.phoenix.coprocessor.PhoenixMasterObserver,getAncestorIdsForMerge,NOVALUE,2
org.apache.phoenix.coprocessor.PhoenixMasterObserver,getAncestorIdsForSplit,NOVALUE,2
org.apache.phoenix.coprocessor.PhoenixMasterObserver,getStreamName,NOVALUE,2
org.apache.phoenix.coprocessor.UngroupedAggregateRegionScanner,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.coprocessorclient.TableTTLInfo,&lt;init&gt;,entityName,2
org.apache.phoenix.coprocessorclient.TableTTLInfo,&lt;init&gt;,matchPattern,2
org.apache.phoenix.coprocessorclient.TableTTLInfo,&lt;init&gt;,physicalTableName,2
org.apache.phoenix.coprocessorclient.TableTTLInfo,&lt;init&gt;,tenantId,2
org.apache.phoenix.execute.PhoenixTxIndexMutationGenerator$TxTableState,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.execute.TupleProjector,&lt;init&gt;,expressions,2
org.apache.phoenix.expression.KeyValueColumnExpression,&lt;init&gt;,cf,2
org.apache.phoenix.expression.KeyValueColumnExpression,&lt;init&gt;,cq,2
org.apache.phoenix.expression.SingleCellColumnExpression,equals,NOVALUE,2
org.apache.phoenix.expression.function.ArrayModifierFunction,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.expression.function.CeilTimestampExpression,create,NOVALUE,2
org.apache.phoenix.expression.function.DistinctCountAggregateFunction,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.expression.function.MD5Function,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.expression.function.UDFExpression,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.hbase.index.exception.MultiIndexWriteFailureException,&lt;init&gt;,failures,2
org.apache.phoenix.index.IndexMaintainer,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.iterate.BaseResultIterators,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.iterate.BufferedQueue$BufferedSegmentQueue$SegmentQueueFileIterator,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.jdbc.ParallelPhoenixConnection,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.jdbc.PhoenixHAAdminTool,readRecordsFromFile,NOVALUE,2
org.apache.phoenix.jdbc.PhoenixPreparedStatement,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,populateBaseSet,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,populateOrphanViewSet,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,processChildParentLinks,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,processParentChildLinks,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,processPhysicalLinks,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,run,NOVALUE,2
org.apache.phoenix.mapreduce.PhoenixRecordWriter,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.mapreduce.index.IndexScrutinyTableOutput,queryAllLatestMetadata,NOVALUE,2
org.apache.phoenix.mapreduce.index.IndexVerificationOutputRepository,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.mapreduce.index.IndexVerificationResultRepository,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.mapreduce.index.automation.PhoenixMRJobSubmitter,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.mapreduce.transform.PhoenixTransformWithViewsInputFormat,getSplits,NOVALUE,2
org.apache.phoenix.mapreduce.util.PhoenixConfigurationUtil,getSelectColumnsCount,NOVALUE,2
org.apache.phoenix.parse.BsonExpressionParser,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.parse.ConcreteTableNode,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.parse.ParseNodeFactory,function,NOVALUE,2
org.apache.phoenix.parse.SQLParser,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.pherf.jmx.MonitorManager,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.pherf.schema.SchemaReader,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.pherf.util.GoogleChartGenerator,read,NOVALUE,2
org.apache.phoenix.pherf.workload.WorkloadExecutor,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.pherf.workload.WriteWorkload,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.pherf.workload.WriteWorkload$2,call,NOVALUE,2
org.apache.phoenix.query.ConnectionlessQueryServicesImpl,init,NOVALUE,2
org.apache.phoenix.schema.ColumnRef,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.schema.tool.SchemaSynthesisProcessor,synthesize,NOVALUE,2
org.apache.phoenix.trace.TraceWriter,createTable,NOVALUE,2
org.apache.phoenix.transaction.OmidTransactionContext,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.transaction.OmidTransactionTable,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.util.CSVCommonsLoader,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.util.QueryUtil,getShowCreateTableStmt,NOVALUE,2
org.apache.phoenix.util.UpgradeUtil,disableViewIndexes,NOVALUE,2
org.apache.phoenix.util.UpgradeUtil,addViewIndexToParentLinks,NOVALUE,2
