class,method_name,count
org.apache.phoenix.jdbc.PhoenixDatabaseMetaData,NOVALUE,95
org.apache.phoenix.mapreduce.index.IndexVerificationResultRepository,NOVALUE,30
org.apache.phoenix.query.QueryConstants,NOVALUE,30
org.apache.phoenix.mapreduce.index.IndexVerificationOutputRepository,NOVALUE,17
org.apache.phoenix.compile.QueryCompiler,&lt;init&gt;,10
org.apache.phoenix.iterate.TableResultIterator,&lt;init&gt;,10
org.apache.phoenix.coprocessorclient.TableTTLInfo,&lt;init&gt;,8
org.apache.phoenix.index.IndexMaintainer,readFields,8
org.apache.phoenix.jdbc.PhoenixConnection,&lt;init&gt;,7
org.apache.phoenix.iterate.OrderedResultIterator,&lt;init&gt;,6
org.apache.phoenix.compile.DeleteCompiler$ClientSelectDeleteMutationPlan,&lt;init&gt;,5
org.apache.phoenix.hbase.index.IndexRegionObserver,start,5
org.apache.phoenix.pherf.workload.WriteWorkload,&lt;init&gt;,5
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,&lt;init&gt;,4
org.apache.phoenix.compile.FromCompiler$SingleTableColumnResolver,&lt;init&gt;,4
org.apache.phoenix.compile.OrderPreservingTracker,&lt;init&gt;,4
org.apache.phoenix.coprocessor.MetaDataRegionObserver,start,4
org.apache.phoenix.expression.KeyValueColumnExpression,&lt;init&gt;,4
org.apache.phoenix.filter.SkipScanFilter,&lt;init&gt;,4
org.apache.phoenix.parse.PhoenixSQLParser,term,4
org.apache.phoenix.pherf.workload.mt.generators.BaseLoadEventGenerator,&lt;init&gt;,4
org.apache.phoenix.util.CSVCommonsLoader,&lt;init&gt;,4
org.apache.phoenix.util.MetaDataUtil,NOVALUE,4
org.apache.phoenix.cache.ServerCacheClient$ServerCache,&lt;init&gt;,3
org.apache.phoenix.compile.ExplainPlanAttributes,&lt;init&gt;,3
org.apache.phoenix.compile.StatementContext,&lt;init&gt;,3
org.apache.phoenix.compile.UpsertCompiler$ServerUpsertSelectMutationPlan,&lt;init&gt;,3
org.apache.phoenix.coprocessor.CompactionScanner,&lt;init&gt;,3
org.apache.phoenix.coprocessor.CompactionScanner$PartitionedTableRowKeyMatcher,getTTLInfo,3
org.apache.phoenix.coprocessorclient.BaseScannerRegionObserverConstants,NOVALUE,3
org.apache.phoenix.coprocessorclient.InvalidateServerMetadataCacheRequest,&lt;init&gt;,3
org.apache.phoenix.coprocessorclient.MetaDataProtocol$MetaDataMutationResult,&lt;init&gt;,3
org.apache.phoenix.coprocessorclient.TableInfo,&lt;init&gt;,3
org.apache.phoenix.execute.SortMergeJoinPlan,&lt;init&gt;,3
org.apache.phoenix.execute.TupleProjector,&lt;init&gt;,3
org.apache.phoenix.execute.UnionPlan,&lt;init&gt;,3
org.apache.phoenix.expression.function.CeilDateExpression,create,3
org.apache.phoenix.expression.function.CeilDecimalExpression,create,3
org.apache.phoenix.expression.function.FloorDateExpression,create,3
org.apache.phoenix.expression.function.FloorDecimalExpression,create,3
org.apache.phoenix.filter.ColumnProjectionFilter,&lt;init&gt;,3
org.apache.phoenix.filter.EncodedQualifiersColumnProjectionFilter,&lt;init&gt;,3
org.apache.phoenix.iterate.BaseResultIterators,&lt;init&gt;,3
org.apache.phoenix.iterate.SpoolingResultIterator,&lt;init&gt;,3
org.apache.phoenix.iterate.TableSnapshotResultIterator,&lt;init&gt;,3
org.apache.phoenix.jdbc.ParallelPhoenixConnection,&lt;init&gt;,3
org.apache.phoenix.jdbc.ParallelPhoenixNullComparingResultSet,&lt;init&gt;,3
org.apache.phoenix.jdbc.ParallelPhoenixPreparedStatement,&lt;init&gt;,3
org.apache.phoenix.jdbc.ParallelPhoenixResultSet,&lt;init&gt;,3
org.apache.phoenix.jdbc.ParallelPhoenixStatement,&lt;init&gt;,3
org.apache.phoenix.mapreduce.OrphanViewTool$Key,&lt;init&gt;,3
org.apache.phoenix.mapreduce.index.IndexVerificationOutputRepository,&lt;init&gt;,3
org.apache.phoenix.parse.ColumnDef,&lt;init&gt;,3
org.apache.phoenix.parse.PhoenixSQLParser,function_argument,3
org.apache.phoenix.pherf.Pherf,&lt;init&gt;,3
org.apache.phoenix.pherf.schema.SchemaReader,&lt;init&gt;,3
org.apache.phoenix.pherf.schema.SchemaReader,resourceToString,3
org.apache.phoenix.pherf.workload.QueryExecutor,&lt;init&gt;,3
org.apache.phoenix.pherf.workload.QueryVerifier,exportCSV,3
org.apache.phoenix.pherf.workload.mt.operations.BaseOperationSupplier,&lt;init&gt;,3
org.apache.phoenix.pherf.workload.mt.operations.TenantOperationFactory,&lt;init&gt;,3
org.apache.phoenix.schema.ColumnRef,&lt;init&gt;,3
org.apache.phoenix.schema.MetaDataClient,addColumn,3
org.apache.phoenix.schema.stats.DefaultStatisticsCollector,&lt;init&gt;,3
org.apache.phoenix.schema.types.PArrayDataTypeEncoder,&lt;init&gt;,3
org.apache.phoenix.trace.TraceReader,getDynamicCountColumns,3
org.apache.phoenix.util.CursorUtil$CursorWrapper,NOVALUE,3
org.apache.hadoop.hbase.regionserver.DataTableLocalIndexRegionScanner,&lt;init&gt;,2
org.apache.phoenix.cache.TenantCacheImpl$CacheEntry,NOVALUE,2
org.apache.phoenix.cache.aggcache.SpillManager$CacheEntry,getValue,2
org.apache.phoenix.cache.aggcache.SpillManager$CacheEntry,setValue,2
org.apache.phoenix.compile.CreateTableCompiler$ViewWhereExpressionValidatorVisitor,&lt;init&gt;,2
org.apache.phoenix.compile.DeclareCursorCompiler,&lt;init&gt;,2
org.apache.phoenix.compile.PostIndexDDLCompiler,&lt;init&gt;,2
org.apache.phoenix.coprocessor.CompactionScanner$PartitionedTableRowKeyMatcher,getGlobalViews,2
org.apache.phoenix.coprocessor.CompactionScanner$PartitionedTableRowKeyMatcher,getNextTenantViews,2
org.apache.phoenix.coprocessor.GlobalIndexRegionScanner,shouldVerify,2
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,getTableFromCells,2
org.apache.phoenix.coprocessor.PhoenixAccessController,start,2
org.apache.phoenix.coprocessor.PhoenixMasterObserver,getAncestorIdsForMerge,2
org.apache.phoenix.coprocessor.PhoenixMasterObserver,getAncestorIdsForSplit,2
org.apache.phoenix.coprocessor.PhoenixMasterObserver,getStreamName,2
org.apache.phoenix.coprocessor.UncoveredIndexRegionScanner,&lt;init&gt;,2
org.apache.phoenix.coprocessor.UngroupedAggregateRegionScanner,&lt;init&gt;,2
org.apache.phoenix.coprocessorclient.MetaDataEndpointImplConstants,NOVALUE,2
org.apache.phoenix.execute.ClientProcessingPlan,&lt;init&gt;,2
org.apache.phoenix.execute.HashJoinPlan$HashSubPlan,&lt;init&gt;,2
org.apache.phoenix.execute.MutationState$RowMutationState,&lt;init&gt;,2
org.apache.phoenix.execute.PhoenixTxIndexMutationGenerator$TxTableState,&lt;init&gt;,2
org.apache.phoenix.execute.TupleProjectionPlan,&lt;init&gt;,2
org.apache.phoenix.expression.SingleCellColumnExpression,equals,2
org.apache.phoenix.expression.aggregator.Aggregators,&lt;init&gt;,2
org.apache.phoenix.expression.function.ArrayModifierFunction,&lt;init&gt;,2
org.apache.phoenix.expression.function.CeilTimestampExpression,create,2
org.apache.phoenix.expression.function.DistinctCountAggregateFunction,&lt;init&gt;,2
org.apache.phoenix.expression.function.DistinctCountAggregateFunction,NOVALUE,2
org.apache.phoenix.expression.function.MD5Function,&lt;init&gt;,2
org.apache.phoenix.expression.function.UDFExpression,&lt;init&gt;,2
org.apache.phoenix.filter.EmptyColumnOnlyFilter,&lt;init&gt;,2
org.apache.phoenix.filter.UnverifiedRowFilter,&lt;init&gt;,2
org.apache.phoenix.hbase.index.IndexRegionObserver,setSlowThresholds,2
org.apache.phoenix.hbase.index.exception.MultiIndexWriteFailureException,&lt;init&gt;,2
org.apache.phoenix.index.CDCTableInfo$CDCColumnInfo,&lt;init&gt;,2
org.apache.phoenix.index.IndexMaintainer,&lt;init&gt;,2
org.apache.phoenix.iterate.BufferedQueue$BufferedSegmentQueue$SegmentQueueFileIterator,&lt;init&gt;,2
org.apache.phoenix.iterate.ExplainTable,&lt;init&gt;,2
org.apache.phoenix.iterate.ScanningResultIterator,&lt;init&gt;,2
org.apache.phoenix.iterate.ScansWithRegionLocations,&lt;init&gt;,2
org.apache.phoenix.iterate.SizeBoundQueue,&lt;init&gt;,2
org.apache.phoenix.iterate.UnionResultIterators,&lt;init&gt;,2
org.apache.phoenix.jdbc.PhoenixHAAdminTool,readRecordsFromFile,2
org.apache.phoenix.jdbc.PhoenixPreparedStatement,&lt;init&gt;,2
org.apache.phoenix.mapreduce.OrphanViewTool,populateBaseSet,2
org.apache.phoenix.mapreduce.OrphanViewTool,populateOrphanViewSet,2
org.apache.phoenix.mapreduce.OrphanViewTool,processChildParentLinks,2
org.apache.phoenix.mapreduce.OrphanViewTool,processParentChildLinks,2
org.apache.phoenix.mapreduce.OrphanViewTool,processPhysicalLinks,2
org.apache.phoenix.mapreduce.OrphanViewTool,run,2
org.apache.phoenix.mapreduce.PhoenixRecordWriter,&lt;init&gt;,2
org.apache.phoenix.mapreduce.index.IndexScrutinyTableOutput,queryAllLatestMetadata,2
org.apache.phoenix.mapreduce.index.IndexUpgradeTool,prepareToolSetup,2
org.apache.phoenix.mapreduce.index.IndexVerificationResultRepository,&lt;init&gt;,2
org.apache.phoenix.mapreduce.index.automation.PhoenixMRJobSubmitter,&lt;init&gt;,2
org.apache.phoenix.mapreduce.transform.PhoenixTransformWithViewsInputFormat,getSplits,2
org.apache.phoenix.mapreduce.util.PhoenixConfigurationUtil,getSelectColumnsCount,2
org.apache.phoenix.parse.BsonExpressionParser,&lt;init&gt;,2
org.apache.phoenix.parse.ConcreteTableNode,&lt;init&gt;,2
org.apache.phoenix.parse.ParseNodeFactory,function,2
org.apache.phoenix.parse.SQLParser,&lt;init&gt;,2
org.apache.phoenix.parse.UpsertStatement,&lt;init&gt;,2
org.apache.phoenix.pherf.jmx.MonitorManager,&lt;init&gt;,2
org.apache.phoenix.pherf.util.GoogleChartGenerator,read,2
org.apache.phoenix.pherf.workload.WorkloadExecutor,&lt;init&gt;,2
org.apache.phoenix.pherf.workload.WriteWorkload$2,call,2
