class,method,field,count
org.apache.phoenix.jdbc.PhoenixConnection,&lt;init&gt;,NOVALUE,8
org.apache.phoenix.compile.FromCompiler$SingleTableColumnResolver,&lt;init&gt;,NOVALUE,4
org.apache.phoenix.parse.PhoenixSQLParser,term,NOVALUE,4
org.apache.phoenix.schema.MetaDataClient,addColumn,NOVALUE,4
org.apache.phoenix.schema.MetaDataClient,dropColumnMutations,NOVALUE,4
org.apache.phoenix.compile.QueryCompiler,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.expression.function.CeilDateExpression,create,NOVALUE,3
org.apache.phoenix.expression.function.CeilDecimalExpression,create,NOVALUE,3
org.apache.phoenix.expression.function.FloorDateExpression,create,NOVALUE,3
org.apache.phoenix.expression.function.FloorDecimalExpression,create,NOVALUE,3
org.apache.phoenix.filter.SkipScanFilter,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.iterate.OrderedResultIterator,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.iterate.SpoolingResultIterator,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.jdbc.PhoenixEmbeddedDriver$ConnectionInfo,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.mapreduce.OrphanViewTool,run,NOVALUE,3
org.apache.phoenix.mapreduce.OrphanViewTool$Key,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.mapreduce.PhoenixServerBuildIndexInputFormat,getQueryPlan,NOVALUE,3
org.apache.phoenix.parse.ColumnDef,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.parse.PhoenixSQLParser,function_argument,NOVALUE,3
org.apache.phoenix.pherf.schema.SchemaReader,resourceToString,NOVALUE,3
org.apache.phoenix.pherf.workload.QueryVerifier,exportCSV,NOVALUE,3
org.apache.phoenix.pherf.workload.WriteWorkload,&lt;init&gt;,NOVALUE,3
org.apache.phoenix.trace.TraceReader,getDynamicCountColumns,NOVALUE,3
org.apache.phoenix.trace.TraceReader,readAll,NOVALUE,3
org.apache.phoenix.util.MetaDataUtil,deleteFromStatsTable,NOVALUE,3
org.apache.phoenix.cache.aggcache.SpillManager$CacheEntry,getValue,aggs,2
org.apache.phoenix.cache.aggcache.SpillManager$CacheEntry,setValue,aggs,2
org.apache.phoenix.compile.ExpressionCompiler,visitLeave,NOVALUE,2
org.apache.phoenix.compile.OrderPreservingTracker,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,dropColumn,NOVALUE,2
org.apache.phoenix.execute.PhoenixTxIndexMutationGenerator$TxTableState,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.execute.ScanPlan,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.execute.TupleProjector,&lt;init&gt;,expressions,2
org.apache.phoenix.expression.SingleCellColumnExpression,equals,NOVALUE,2
org.apache.phoenix.expression.function.ArrayModifierFunction,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.expression.function.CeilTimestampExpression,create,NOVALUE,2
org.apache.phoenix.expression.function.DistinctCountAggregateFunction,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.expression.function.MD5Function,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.expression.function.UDFExpression,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.hbase.index.IndexRegionObserver,applyPendingDeleteMutations,NOVALUE,2
org.apache.phoenix.iterate.BaseResultIterators,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.iterate.BufferedQueue$BufferedSegmentQueue$SegmentQueueFileIterator,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.iterate.RegionScannerFactory$1,scanTillScanStartRow,NOVALUE,2
org.apache.phoenix.iterate.TableResultIterator,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.jdbc.PhoenixPreparedStatement,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,parseOptions,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,forcefullyDropView,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,populateBaseSet,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,populateOrphanViewSet,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,processChildParentLinks,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,processParentChildLinks,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,processPhysicalLinks,NOVALUE,2
org.apache.phoenix.mapreduce.OrphanViewTool,removeLink,NOVALUE,2
org.apache.phoenix.mapreduce.PhoenixInputFormat,getQueryPlan,NOVALUE,2
org.apache.phoenix.mapreduce.PhoenixRecordWriter,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.mapreduce.index.IndexScrutinyTool,run,NOVALUE,2
org.apache.phoenix.mapreduce.index.IndexTool$JobFactory,getMaxRebuildAsyncDate,NOVALUE,2
org.apache.phoenix.mapreduce.index.IndexUpgradeTool,prepareToolSetup,NOVALUE,2
org.apache.phoenix.mapreduce.index.PhoenixIndexImportDirectReducer,updateCounters,NOVALUE,2
org.apache.phoenix.mapreduce.index.automation.PhoenixMRJobSubmitter,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.mapreduce.index.automation.PhoenixMRJobSubmitter,getCandidateJobs,NOVALUE,2
org.apache.phoenix.mapreduce.util.PhoenixConfigurationUtil,getSelectColumnsCount,NOVALUE,2
org.apache.phoenix.parse.ConcreteTableNode,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.parse.ParseNodeFactory,function,NOVALUE,2
org.apache.phoenix.parse.SQLParser,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.pherf.Pherf,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.pherf.jmx.MonitorManager,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.pherf.schema.SchemaReader,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.pherf.util.GoogleChartGenerator,read,NOVALUE,2
org.apache.phoenix.pherf.workload.WorkloadExecutor,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.pherf.workload.WriteWorkload$2,call,NOVALUE,2
org.apache.phoenix.query.ConnectionQueryServicesImpl,removeNotNullConstraint,NOVALUE,2
org.apache.phoenix.query.ConnectionQueryServicesImpl,setImmutableTableIndexesImmutable,NOVALUE,2
org.apache.phoenix.query.ConnectionQueryServicesImpl,upgradeSystemCatalogIfRequired,NOVALUE,2
org.apache.phoenix.query.ConnectionQueryServicesImpl,upgradeSystemTask,NOVALUE,2
org.apache.phoenix.query.ConnectionlessQueryServicesImpl,getSchema,NOVALUE,2
org.apache.phoenix.query.ConnectionlessQueryServicesImpl,init,NOVALUE,2
org.apache.phoenix.schema.ColumnRef,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.schema.MetaDataClient,createTableInternal,NOVALUE,2
org.apache.phoenix.schema.MetaDataClient,updateCache,NOVALUE,2
org.apache.phoenix.schema.MetaDataClient,updateStatisticsInternal,NOVALUE,2
org.apache.phoenix.schema.MetaDataClient,handleCreateTableMutationCode,NOVALUE,2
org.apache.phoenix.schema.task.Task,queryTaskTable,NOVALUE,2
org.apache.phoenix.schema.types.PDataType,compareTo,NOVALUE,2
org.apache.phoenix.schema.types.PDecimal,isSizeCompatible,NOVALUE,2
org.apache.phoenix.trace.PhoenixMetricsSink,createTable,NOVALUE,2
org.apache.phoenix.trace.PhoenixMetricsSink,putMetrics,NOVALUE,2
org.apache.phoenix.trace.TraceWriter,createTable,NOVALUE,2
org.apache.phoenix.trace.TraceWriter$FlushMetrics,addToBatch,NOVALUE,2
org.apache.phoenix.transaction.OmidTransactionContext,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.transaction.OmidTransactionTable,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.transaction.TephraTransactionContext,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.util.CSVCommonsLoader,&lt;init&gt;,NOVALUE,2
org.apache.phoenix.util.PhoenixRuntime,main,NOVALUE,2
org.apache.phoenix.util.UpgradeUtil,mapTableToNamespace,NOVALUE,2
org.apache.phoenix.util.UpgradeUtil,disableViewIndexes,NOVALUE,2
org.apache.phoenix.util.UpgradeUtil,addViewIndexToParentLinks,NOVALUE,2
org.apache.phoenix.util.UpgradeUtil,upgradeLocalIndexes,NOVALUE,2
org.apache.hadoop.hbase.regionserver.DataTableLocalIndexRegionScanner,&lt;init&gt;,indexMaintainers,1
org.apache.hadoop.hbase.regionserver.DataTableLocalIndexRegionScanner,&lt;init&gt;,localIndexFamily,1
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,getIndexMaintainers,indexMaintainers,1
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,getRegionStartKeyInHFile,regionStartKeyInHFile,1
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,getSplitRow,splitRow,1
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,getSplitkey,splitkey,1
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,getViewConstants,viewConstants,1
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,&lt;init&gt;,indexMaintainers,1
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,&lt;init&gt;,refCount,1
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,&lt;init&gt;,regionStartKeyInHFile,1
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,&lt;init&gt;,viewConstants,1
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReaderGenerator,preStoreFileReaderOpen,NOVALUE,1
org.apache.hadoop.hbase.regionserver.IndexKeyValueSkipListSet,&lt;init&gt;,delegate,1
org.apache.phoenix.cache.ServerCacheClient,addServerCache,NOVALUE,1
org.apache.phoenix.cache.ServerCacheClient,removeServerCache,NOVALUE,1
org.apache.phoenix.cache.ServerCacheClient,getConnection,connection,1
org.apache.phoenix.cache.ServerCacheClient,&lt;init&gt;,connection,1
org.apache.phoenix.cache.ServerCacheClient,NOVALUE,KEY_IN_FIRST_REGION,1
org.apache.phoenix.cache.ServerCacheClient$ServerCache,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.cache.ServerCacheClient$ServerCache,getId,id,1
org.apache.phoenix.cache.ServerCacheClient$ServerCache,&lt;init&gt;,id,1
org.apache.phoenix.cache.ServerCacheClient$ServerCache,&lt;init&gt;,this$0,1
org.apache.phoenix.cache.ServerCacheClient$ServerCache,getCachePtr,NOVALUE,1
org.apache.phoenix.cache.ServerCacheClient$ServerCache,close,NOVALUE,1
org.apache.phoenix.cache.TenantCacheImpl,NOVALUE,EVICTION_MARGIN_BYTES,1
org.apache.phoenix.cache.TenantCacheImpl$CacheEntry,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.cache.TenantCacheImpl$CacheEntry,compareTo,NOVALUE,1
org.apache.phoenix.cache.TenantCacheImpl$CacheEntry,NOVALUE,NOVALUE,1
org.apache.phoenix.cache.TenantCacheImpl$CacheEntry,NOVALUE,cachePtr,1
org.apache.phoenix.cache.TenantCacheImpl$CacheEntry,NOVALUE,size,1
org.apache.phoenix.cache.aggcache.SpillFile,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.cache.aggcache.SpillManager,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.cache.aggcache.SpillManager,getPartition,NOVALUE,1
org.apache.phoenix.cache.aggcache.SpillManager,getAggregators,NOVALUE,1
org.apache.phoenix.cache.aggcache.SpillManager$CacheEntry,&lt;init&gt;,aggs,1
org.apache.phoenix.cache.aggcache.SpillableGroupByCache,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.cache.aggcache.SpillableGroupByCache$2,next,NOVALUE,1
org.apache.phoenix.compile.BaseMutationPlan,getContext,context,1
org.apache.phoenix.compile.BaseMutationPlan,&lt;init&gt;,context,1
org.apache.phoenix.compile.BindManager,getParameterMetaData,bindMetaData,1
org.apache.phoenix.compile.BindManager,&lt;init&gt;,binds,1
org.apache.phoenix.compile.CloseStatementCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.ColumnNameTrackingExpressionCompiler,getDataColumnNames,dataColumnNames,1
org.apache.phoenix.compile.CreateFunctionCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.CreateIndexCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.CreateSchemaCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.CreateSequenceCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.CreateTableCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.CreateTableCompiler$ColumnTrackingExpressionCompiler,&lt;init&gt;,isColumnReferenced,1
org.apache.phoenix.compile.CreateTableCompiler$ViewWhereExpressionVisitor,&lt;init&gt;,columnValues,1
org.apache.phoenix.compile.CreateTableCompiler$ViewWhereExpressionVisitor,defaultReturn,NOVALUE,1
org.apache.phoenix.compile.CreateTableCompiler$ViewWhereExpressionVisitor,visitLeave,NOVALUE,1
org.apache.phoenix.compile.DeclareCursorCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.DeleteCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.DeleteCompiler,deleteRows,NOVALUE,1
org.apache.phoenix.compile.DropSequenceCompiler,&lt;init&gt;,statement,1
org.apache.phoenix.compile.ExpressionCompiler$3,create,NOVALUE,1
org.apache.phoenix.compile.ExpressionCompiler$5,create,NOVALUE,1
org.apache.phoenix.compile.ExpressionCompiler$ExpressionDeterminism,NOVALUE,NOVALUE,1
org.apache.phoenix.compile.ExpressionCompiler$PDatumImpl,NOVALUE,NOVALUE,1
org.apache.phoenix.compile.FromCompiler$BaseColumnResolver,createTableRef,NOVALUE,1
org.apache.phoenix.compile.FromCompiler$ColumnResolverWithUDF,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.compile.FromCompiler$MultiTableColumnResolver,resolveColumnFamily,NOVALUE,1
org.apache.phoenix.compile.FromCompiler$MultiTableColumnResolver,resolveColumn,NOVALUE,1
org.apache.phoenix.compile.FromCompiler$SchemaResolver,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.compile.GroupByCompiler$GroupBy,getKeyExpressions,keyExpressions,1
org.apache.phoenix.compile.GroupByCompiler$GroupBy,getOrderPreservingTrackInfos,orderPreservingTrackInfos,1
org.apache.phoenix.compile.GroupByCompiler$GroupBy$GroupByBuilder,setExpressions,expressions,1
org.apache.phoenix.compile.GroupByCompiler$GroupBy$GroupByBuilder,setKeyExpressions,keyExpressions,1
org.apache.phoenix.compile.GroupByCompiler$GroupBy$GroupByBuilder,setOrderPreservingTrackInfos,orderPreservingTrackInfos,1
org.apache.phoenix.compile.IndexStatementRewriter,&lt;init&gt;,multiTableRewriteMap,1
org.apache.phoenix.compile.JoinCompiler,isWildCardSelectForTable,NOVALUE,1
org.apache.phoenix.compile.JoinCompiler$JoinSpec,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.compile.JoinCompiler$JoinSpec,getDependentTableRefs,dependentTableRefs,1
org.apache.phoenix.compile.JoinCompiler$JoinSpec,getOnConditions,onConditions,1
org.apache.phoenix.compile.JoinCompiler$JoinSpec,getRhsJoinTable,rhsJoinTable,1
org.apache.phoenix.compile.JoinCompiler$JoinSpec,getCommonType,NOVALUE,1
org.apache.phoenix.compile.JoinCompiler$JoinTable,getAllTableRefs,allTableRefs,1
org.apache.phoenix.compile.JoinCompiler$JoinTable,getAllTables,allTables,1
org.apache.phoenix.compile.JoinCompiler$JoinTable,getJoinSpecs,joinSpecs,1
org.apache.phoenix.compile.JoinCompiler$JoinTable,getLeftTable,leftTable,1
