class,method_name,field_name,count
org.apache.catalina.tribes.io.XByteBuffer,append,bufSize,6
org.apache.tomcat.util.net.jsse.PEMFile,&lt;init&gt;,NOVALUE,5
jakarta.servlet.AsyncEvent,&lt;init&gt;,context,4
jakarta.servlet.ServletSecurityElement,&lt;init&gt;,NOVALUE,4
org.apache.el.parser.ELParser,ReInit,NOVALUE,4
org.apache.tomcat.util.json.JSONParser,ReInit,NOVALUE,4
org.apache.tomcat.util.threads.ThreadPoolExecutor,&lt;init&gt;,NOVALUE,4
jakarta.servlet.jsp.tagext.TagInfo,&lt;init&gt;,attributeInfo,3
jakarta.servlet.jsp.tagext.TagInfo,&lt;init&gt;,tagExtraInfo,3
org.apache.catalina.connector.OutputBuffer,write,charsWritten,3
org.apache.catalina.servlets.WebdavServlet,doLock,NOVALUE,3
org.apache.catalina.startup.HostConfig,deployDescriptor,NOVALUE,3
org.apache.catalina.startup.WebappServiceLoader,load,NOVALUE,3
org.apache.catalina.util.ServerInfo,main,NOVALUE,3
org.apache.coyote.http2.HpackDecoder,emitHeader,headerCount,3
org.apache.jasper.JspCompilationContext,&lt;init&gt;,NOVALUE,3
org.apache.tomcat.dbcp.pool2.impl.GenericKeyedObjectPool,&lt;init&gt;,NOVALUE,3
org.apache.tomcat.dbcp.pool2.impl.GenericObjectPool,&lt;init&gt;,NOVALUE,3
jakarta.security.auth.message.callback.CallerPrincipalCallback,&lt;init&gt;,subject,2
jakarta.servlet.AsyncEvent,&lt;init&gt;,request,2
jakarta.servlet.AsyncEvent,&lt;init&gt;,response,2
jakarta.servlet.AsyncEvent,&lt;init&gt;,throwable,2
jakarta.servlet.HttpMethodConstraintElement,&lt;init&gt;,NOVALUE,2
jakarta.servlet.jsp.tagext.TagInfo,&lt;init&gt;,tagVariableInfo,2
jakarta.websocket.DecodeException,&lt;init&gt;,bb,2
org.apache.catalina.ha.backend.TcpSender,send,NOVALUE,2
org.apache.catalina.mapper.Mapper$MappedHost,&lt;init&gt;,realHost,2
org.apache.catalina.mapper.MappingData,NOVALUE,contextSlashCount,2
org.apache.catalina.realm.RealmBase,main,NOVALUE,2
org.apache.catalina.servlets.DefaultServlet,serveResource,NOVALUE,2
org.apache.catalina.servlets.WebdavServlet,NOVALUE,store,2
org.apache.catalina.ssi.ResponseIncludeWrapper,getOutputStream,servletOutputStream,2
org.apache.catalina.startup.HostConfig,deployDirectory,NOVALUE,2
org.apache.catalina.storeconfig.StoreFileMover,&lt;init&gt;,NOVALUE,2
org.apache.catalina.tribes.group.ChannelCoordinator,&lt;init&gt;,NOVALUE,2
org.apache.catalina.tribes.membership.MemberImpl,&lt;init&gt;,NOVALUE,2
org.apache.catalina.tribes.util.UUIDGenerator,&lt;clinit&gt;,NOVALUE,2
org.apache.catalina.util.CharsetMapper,&lt;init&gt;,NOVALUE,2
org.apache.catalina.util.LifecycleMBeanBase,preRegister,oname,2
org.apache.catalina.util.SessionIdGeneratorBase,createSecureRandom,NOVALUE,2
org.apache.catalina.valves.AbstractAccessLogValve$PortElement,&lt;init&gt;,this$0,2
org.apache.catalina.valves.AbstractAccessLogValve$RemoteAddrElement,&lt;init&gt;,this$0,2
org.apache.catalina.valves.rewrite.RandomizedTextRewriteMap,&lt;init&gt;,NOVALUE,2
org.apache.coyote.http11.filters.ChunkedInputFilter,parseChunkBody,remaining,2
org.apache.coyote.http11.filters.ChunkedInputFilter,parseChunkHeader,chunkSizeDigitsRead,2
org.apache.coyote.http11.filters.ChunkedInputFilter,skipChunkHeader,chunkSizeDigitsRead,2
org.apache.coyote.http2.HpackDecoder,addEntryToHeaderTable,filledTableSlots,2
org.apache.coyote.http2.HpackDecoder,addEntryToHeaderTable,firstSlotPosition,2
