class,method_name,count
org.apache.jasper.JspC,setArgs,14
org.apache.catalina.connector.Request,recycle,11
org.apache.coyote.Request,recycle,11
jakarta.servlet.AsyncEvent,&lt;init&gt;,10
org.apache.tomcat.util.buf.StringCache,NOVALUE,10
org.apache.tomcat.websocket.WsSession,&lt;init&gt;,10
jakarta.servlet.jsp.tagext.TagInfo,&lt;init&gt;,8
org.apache.catalina.mapper.MappingData,NOVALUE,8
org.apache.coyote.http11.Http11InputBuffer,recycle,8
org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator,NOVALUE,6
org.apache.catalina.tribes.io.XByteBuffer,append,6
org.apache.coyote.http11.Http11InputBuffer,nextRequest,6
org.apache.jasper.runtime.JspContextWrapper,&lt;init&gt;,6
org.apache.tomcat.websocket.WsFrameBase,processInitialHeader,6
org.apache.catalina.core.AprLifecycleListener,NOVALUE,5
org.apache.catalina.core.StandardWrapper,NOVALUE,5
org.apache.catalina.session.StandardSession,NOVALUE,5
org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator$CoordinationMessage,&lt;init&gt;,5
org.apache.catalina.tribes.group.interceptors.ThroughputInterceptor,sendMessage,5
org.apache.catalina.tribes.tipis.AbstractReplicatedMap$MapMessage,&lt;init&gt;,5
org.apache.coyote.http11.Constants,NOVALUE,5
org.apache.coyote.http2.HpackDecoder,addEntryToHeaderTable,5
org.apache.coyote.http2.HpackDecoder,handleMaxMemorySizeChange,5
org.apache.el.parser.ELParserTokenManager,NOVALUE,5
org.apache.tomcat.util.json.JSONParserTokenManager,NOVALUE,5
org.apache.tomcat.util.net.jsse.PEMFile,&lt;init&gt;,5
org.apache.tomcat.util.threads.ThreadPoolExecutor,&lt;init&gt;,5
jakarta.servlet.ServletSecurityElement,&lt;init&gt;,4
org.apache.catalina.connector.OutputBuffer,recycle,4
org.apache.catalina.core.StandardContext,resetContext,4
org.apache.catalina.tribes.membership.McastServiceImpl,&lt;init&gt;,4
org.apache.catalina.tribes.membership.StaticMembershipProvider,init,4
org.apache.catalina.tribes.transport.Constants,NOVALUE,4
org.apache.coyote.Response,recycle,4
org.apache.coyote.http2.HpackDecoder,emitHeader,4
org.apache.el.parser.ELParser,ReInit,4
org.apache.jasper.compiler.Generator$GenerateVisitor,visit,4
org.apache.tomcat.dbcp.dbcp2.PoolableConnection,&lt;init&gt;,4
org.apache.tomcat.jni.Library,NOVALUE,4
org.apache.tomcat.util.buf.StringCache,toString,4
org.apache.tomcat.util.buf.StringCache,reset,4
org.apache.tomcat.util.http.fileupload.MultipartStream,NOVALUE,4
org.apache.tomcat.util.json.JSONParser,ReInit,4
org.apache.tomcat.util.json.JSONParser,NOVALUE,4
org.apache.tomcat.websocket.DigestAuthenticator,getAuthorization,4
org.apache.tomcat.websocket.pojo.PojoMessageHandlerBase,&lt;init&gt;,4
org.apache.tomcat.websocket.server.WsHttpUpgradeHandler,preInit,4
org.apache.catalina.connector.InputBuffer,NOVALUE,3
org.apache.catalina.connector.OutputBuffer,reset,3
org.apache.catalina.connector.OutputBuffer,write,3
org.apache.catalina.connector.Request,recycleSessionInfo,3
org.apache.catalina.core.AsyncContextImpl,setStarted,3
org.apache.catalina.core.StandardEngine$AccessLogListener,&lt;init&gt;,3
org.apache.catalina.filters.ExpiresFilter$XPrintWriter,&lt;init&gt;,3
org.apache.catalina.filters.ExpiresFilter$XServletOutputStream,&lt;init&gt;,3
org.apache.catalina.ha.deploy.FileMessageFactory,cleanup,3
org.apache.catalina.realm.JAASMemoryLoginModule,initialize,3
org.apache.catalina.servlets.WebdavServlet,doLock,3
org.apache.catalina.startup.ContextConfig,processServletContainerInitializers,3
org.apache.catalina.startup.HostConfig,deployDescriptor,3
org.apache.catalina.startup.WebappServiceLoader,load,3
org.apache.catalina.tribes.transport.AbstractSender,setDestination,3
org.apache.catalina.util.ServerInfo,main,3
org.apache.coyote.http11.Http11InputBuffer,parseRequestLine,3
org.apache.coyote.http11.filters.ChunkedInputFilter,parseChunkHeader,3
org.apache.coyote.http11.filters.ChunkedInputFilter,skipChunkHeader,3
org.apache.coyote.http11.upgrade.UpgradeServletInputStream,&lt;init&gt;,3
org.apache.coyote.http11.upgrade.UpgradeServletOutputStream,&lt;init&gt;,3
org.apache.el.MethodExpressionImpl,&lt;init&gt;,3
org.apache.el.parser.ELParser,NOVALUE,3
org.apache.el.parser.ELParserTokenManager,ReInit,3
org.apache.jasper.JspCompilationContext,&lt;init&gt;,3
org.apache.jasper.compiler.Node$CustomTag,setScriptingVars,3
org.apache.tomcat.dbcp.pool2.impl.GenericKeyedObjectPool,&lt;init&gt;,3
org.apache.tomcat.dbcp.pool2.impl.GenericObjectPool,&lt;init&gt;,3
org.apache.tomcat.util.json.JSONParserTokenManager,ReInit,3
org.apache.tomcat.util.net.openssl.OpenSSLContext,&lt;init&gt;,3
org.apache.tomcat.websocket.AsyncChannelWrapperSecure,&lt;init&gt;,3
org.apache.tomcat.websocket.WsFrameClient,&lt;init&gt;,3
org.apache.tomcat.websocket.server.WsFrameServer,&lt;init&gt;,3
org.apache.tomcat.websocket.server.WsRemoteEndpointImplServer,&lt;init&gt;,3
jakarta.el.LambdaExpression,&lt;init&gt;,2
jakarta.el.MethodReference,&lt;init&gt;,2
jakarta.security.auth.message.MessagePolicy,&lt;init&gt;,2
jakarta.security.auth.message.MessagePolicy$TargetPolicy,&lt;init&gt;,2
jakarta.security.auth.message.callback.CallerPrincipalCallback,&lt;init&gt;,2
jakarta.security.auth.message.callback.GroupPrincipalCallback,&lt;init&gt;,2
jakarta.security.auth.message.callback.PasswordValidationCallback,&lt;init&gt;,2
jakarta.servlet.HttpMethodConstraintElement,&lt;init&gt;,2
jakarta.servlet.ServletRequestWrapper,&lt;init&gt;,2
jakarta.servlet.ServletResponseWrapper,&lt;init&gt;,2
jakarta.servlet.jsp.tagext.TagAdapter,&lt;init&gt;,2
jakarta.websocket.DecodeException,&lt;init&gt;,2
jakarta.websocket.SendResult,&lt;init&gt;,2
org.apache.catalina.authenticator.BasicAuthenticator$BasicCredentials,&lt;init&gt;,2
org.apache.catalina.authenticator.DigestAuthenticator$DigestInfo,validate,2
org.apache.catalina.connector.Request,clearCookies,2
org.apache.catalina.connector.Request,getInputStream,2
org.apache.catalina.connector.Request,getReader,2
org.apache.catalina.connector.Request,recycleCookieInfo,2
org.apache.catalina.connector.Request,&lt;init&gt;,2
org.apache.catalina.core.ApplicationContext,getEffectiveSessionTrackingModes,2
org.apache.catalina.core.ApplicationFilterRegistration,&lt;init&gt;,2
org.apache.catalina.core.ApplicationServletRegistration,&lt;init&gt;,2
org.apache.catalina.core.DefaultInstanceManager,&lt;init&gt;,2
org.apache.catalina.core.StandardContext,startInternal,2
org.apache.catalina.core.StandardPipeline,getFirst,2
org.apache.catalina.core.StandardWrapper,getServletMethods,2
org.apache.catalina.filters.RemoteIpFilter,NOVALUE,2
org.apache.catalina.ha.backend.TcpSender,send,2
org.apache.catalina.ha.deploy.FarmWarDeployer,start,2
org.apache.catalina.ha.deploy.FarmWarDeployer,stop,2
org.apache.catalina.ha.tcp.SendMessageData,&lt;init&gt;,2
org.apache.catalina.mapper.Mapper$MappedHost,&lt;init&gt;,2
org.apache.catalina.realm.GenericPrincipal,&lt;init&gt;,2
org.apache.catalina.realm.RealmBase,main,2
org.apache.catalina.servlets.DefaultServlet,serveResource,2
org.apache.catalina.servlets.WebdavServlet,NOVALUE,2
org.apache.catalina.session.StandardSessionAccessor,&lt;init&gt;,2
org.apache.catalina.ssi.ExpressionParseTree,&lt;init&gt;,2
org.apache.catalina.ssi.ResponseIncludeWrapper,getOutputStream,2
org.apache.catalina.ssi.SSIServletExternalResolver,&lt;init&gt;,2
org.apache.catalina.startup.HostConfig,deployDirectory,2
org.apache.catalina.storeconfig.ConnectorStoreAppender,NOVALUE,2
org.apache.catalina.storeconfig.StoreFileMover,&lt;init&gt;,2
org.apache.catalina.tribes.ChannelException$FaultyMember,&lt;init&gt;,2
org.apache.catalina.tribes.group.ChannelCoordinator,&lt;init&gt;,2
org.apache.catalina.tribes.group.ChannelCoordinator,getClusterSender,2
org.apache.catalina.tribes.group.ChannelCoordinator,NOVALUE,2
org.apache.catalina.tribes.group.GroupChannel$InterceptorIterator,&lt;init&gt;,2
org.apache.catalina.tribes.group.RpcChannel,&lt;init&gt;,2
org.apache.catalina.tribes.group.RpcMessage,&lt;init&gt;,2
org.apache.catalina.tribes.group.interceptors.StaticMembershipInterceptor,NOVALUE,2
org.apache.catalina.tribes.group.interceptors.ThroughputInterceptor,messageReceived,2
org.apache.catalina.tribes.io.ChannelData,&lt;init&gt;,2
org.apache.catalina.tribes.membership.MemberImpl,&lt;init&gt;,2
org.apache.catalina.tribes.membership.MemberImpl,getCommand,2
org.apache.catalina.tribes.membership.MemberImpl,getDomain,2
org.apache.catalina.tribes.membership.MemberImpl,getHost,2
org.apache.catalina.tribes.membership.MemberImpl,getPayload,2
org.apache.catalina.tribes.membership.MemberImpl,getUniqueId,2
org.apache.catalina.tribes.membership.MemberImpl,NOVALUE,2
org.apache.catalina.tribes.membership.StaticMembershipProvider$MemberMessage,&lt;init&gt;,2
org.apache.catalina.tribes.tipis.AbstractReplicatedMap,init,2
org.apache.catalina.tribes.tipis.AbstractReplicatedMap$MapMessage,NOVALUE,2
org.apache.catalina.tribes.transport.nio.NioSender,reset,2
org.apache.catalina.tribes.transport.nio.NioSender,setMessage,2
org.apache.catalina.tribes.util.UUIDGenerator,&lt;clinit&gt;,2
org.apache.catalina.util.CharsetMapper,&lt;init&gt;,2
org.apache.catalina.util.LifecycleMBeanBase,preRegister,2
org.apache.catalina.util.RateLimiterBase,setFilterConfig,2
org.apache.catalina.util.SessionIdGeneratorBase,createSecureRandom,2
org.apache.catalina.valves.AbstractAccessLogValve$PortElement,&lt;init&gt;,2
org.apache.catalina.valves.AbstractAccessLogValve$RemoteAddrElement,&lt;init&gt;,2
org.apache.catalina.valves.rewrite.RandomizedTextRewriteMap,&lt;init&gt;,2
org.apache.catalina.valves.rewrite.RewriteCond,NOVALUE,2
org.apache.catalina.webresources.AbstractArchiveResource$JarInputStreamWrapper,&lt;init&gt;,2
org.apache.catalina.webresources.CachedResource,&lt;init&gt;,2
org.apache.coyote.AbstractProtocol,preRegister,2
