class,count
org.apache.catalina.core.StandardContext,91
org.apache.coyote.Request,49
org.apache.catalina.ha.session.DeltaManager,48
org.apache.el.parser.ELParser,48
org.apache.jasper.JspC,47
org.apache.catalina.connector.Request,42
org.apache.tomcat.util.descriptor.web.WebXml,32
org.apache.catalina.tribes.transport.ReceiverBase,31
org.apache.catalina.tribes.transport.AbstractSender,29
org.apache.tomcat.util.buf.StringCache,26
org.apache.tomcat.util.net.SSLHostConfig,24
org.apache.coyote.http11.Http11InputBuffer,23
org.apache.tomcat.util.net.AbstractEndpoint,21
org.apache.catalina.tribes.membership.MemberImpl,20
org.apache.jasper.compiler.Parser,20
org.apache.catalina.core.StandardWrapper,18
org.apache.tomcat.dbcp.dbcp2.PoolableConnectionFactory,18
org.apache.catalina.realm.JNDIRealm,17
org.apache.coyote.http2.HpackDecoder,17
org.apache.jasper.compiler.Node$CustomTag,17
org.apache.tomcat.websocket.WsSession,17
org.apache.catalina.session.ManagerBase,16
org.apache.tomcat.dbcp.dbcp2.datasources.InstanceKeyDataSource,16
org.apache.catalina.connector.OutputBuffer,15
org.apache.catalina.ha.tcp.SimpleTcpCluster,15
jakarta.servlet.AsyncEvent,14
org.apache.catalina.tribes.tipis.AbstractReplicatedMap$MapMessage,14
org.apache.catalina.tribes.io.XByteBuffer,13
org.apache.coyote.Response,13
org.apache.coyote.http11.filters.ChunkedInputFilter,13
org.apache.el.parser.ELParserTokenManager,13
org.apache.jasper.JspCompilationContext,13
org.apache.tomcat.util.digester.Digester,13
org.apache.tomcat.util.json.JSONParserTokenManager,13
jakarta.servlet.jsp.tagext.TagInfo,12
org.apache.catalina.core.StandardServer,12
org.apache.catalina.session.StandardSession,12
org.apache.catalina.startup.ContextConfig,12
org.apache.catalina.tribes.tipis.AbstractReplicatedMap,12
org.apache.coyote.http11.AbstractHttp11Protocol,12
org.apache.catalina.core.ContainerBase,11
org.apache.catalina.core.StandardHost,11
org.apache.catalina.loader.WebappClassLoaderBase,11
org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator$CoordinationMessage,11
org.apache.catalina.tribes.group.interceptors.ThroughputInterceptor,11
org.apache.tomcat.websocket.WsFrameBase,11
org.apache.catalina.tribes.io.ChannelData,10
org.apache.catalina.tribes.transport.nio.NioSender,10
org.apache.coyote.http11.Http11Processor,10
org.apache.tomcat.dbcp.dbcp2.BasicDataSource,10
org.apache.tomcat.util.json.JSONParser,10
org.apache.catalina.authenticator.AuthenticatorBase,9
org.apache.catalina.connector.Response,9
org.apache.catalina.core.AsyncContextImpl,9
org.apache.catalina.tribes.group.GroupChannel,9
org.apache.catalina.tribes.membership.McastServiceImpl,9
org.apache.jasper.runtime.JspContextWrapper,9
org.apache.jasper.servlet.JspServletWrapper,9
org.apache.tomcat.dbcp.dbcp2.cpdsadapter.DriverAdapterCPDS,9
org.apache.tomcat.util.net.SecureNio2Channel,9
org.apache.catalina.core.AprLifecycleListener,8
org.apache.catalina.tribes.membership.StaticMembershipProvider,8
org.apache.jasper.runtime.PageContextImpl,8
org.apache.tomcat.websocket.server.WsHttpUpgradeHandler,8
org.apache.catalina.core.StandardPipeline,7
org.apache.catalina.ha.authenticator.ClusterSingleSignOn,7
org.apache.catalina.ha.deploy.FarmWarDeployer,7
org.apache.catalina.mapper.MappingData,7
org.apache.catalina.session.PersistentManagerBase,7
org.apache.catalina.startup.HostConfig,7
org.apache.catalina.tribes.group.ChannelCoordinator,7
org.apache.catalina.tribes.group.RpcChannel,7
org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator,7
org.apache.catalina.tribes.membership.McastService,7
org.apache.coyote.AbstractProtocol,7
org.apache.jasper.compiler.Generator$GenerateVisitor,7
org.apache.tomcat.util.buf.MessageBytes,7
org.apache.tomcat.util.http.fileupload.MultipartStream,7
org.apache.tomcat.util.threads.ThreadPoolExecutor,7
org.apache.catalina.connector.InputBuffer,6
org.apache.catalina.core.ApplicationContext,6
org.apache.catalina.core.StandardService,6
org.apache.catalina.filters.CorsFilter,6
org.apache.catalina.ha.deploy.FileMessageFactory,6
org.apache.catalina.storeconfig.StoreDescription,6
org.apache.catalina.tribes.group.ChannelInterceptorBase,6
org.apache.catalina.tribes.group.interceptors.MessageDispatchInterceptor,6
org.apache.catalina.tribes.group.interceptors.TcpFailureDetector,6
org.apache.catalina.tribes.membership.StaticMembershipProvider$MemberMessage,6
org.apache.catalina.tribes.membership.cloud.CloudMembershipService,6
org.apache.catalina.users.DataSourceUserDatabase,6
org.apache.catalina.valves.AccessLogValve,6
org.apache.coyote.http11.upgrade.UpgradeInfo,6
org.apache.el.lang.EvaluationContext,6
org.apache.tomcat.dbcp.dbcp2.DelegatingStatement,6
org.apache.tomcat.dbcp.dbcp2.managed.BasicManagedDataSource,6
org.apache.tomcat.util.descriptor.tld.TaglibXml,6
