type,count
EI_EXPOSE_REP2,590
EI_EXPOSE_REP,581
AT_STALE_THREAD_WRITE_OF_PRIMITIVE,558
CT_CONSTRUCTOR_THROW,185
AT_NONATOMIC_64BIT_PRIMITIVE,84
AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,55
NM_METHOD_NAMING_CONVENTION,54
DM_DEFAULT_ENCODING,48
MS_PKGPROTECT,45
DLS_DEAD_LOCAL_STORE,24
IS2_INCONSISTENT_SYNC,23
UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,23
NP_LOAD_OF_KNOWN_NULL_VALUE,19
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,19
SF_SWITCH_NO_DEFAULT,17
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,12
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,11
VO_VOLATILE_INCREMENT,11
MS_EXPOSE_REP,9
DCN_NULLPOINTER_EXCEPTION,9
MS_MUTABLE_COLLECTION_PKGPROTECT,9
UG_SYNC_SET_UNSYNC_GET,9
SS_SHOULD_BE_STATIC,8
DMI_RANDOM_USED_ONLY_ONCE,8
SE_TRANSIENT_FIELD_NOT_RESTORED,8
MS_CANNOT_BE_FINAL,8
VSC_VULNERABLE_SECURITY_CHECK_METHODS,7
DMI_COLLECTION_OF_URLS,7
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,6
MS_MUTABLE_ARRAY,6
SF_SWITCH_FALLTHROUGH,6
NP_BOOLEAN_RETURN_NULL,5
DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,4
URF_UNREAD_FIELD,4
WMI_WRONG_MAP_ITERATOR,4
EI_EXPOSE_STATIC_REP2,3
NP_NULL_PARAM_DEREF,3
REC_CATCH_EXCEPTION,3
SWL_SLEEP_WITH_LOCK_HELD,3
ES_COMPARING_PARAMETER_STRING_WITH_EQ,3
ES_COMPARING_STRINGS_WITH_EQ,3
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,3
NN_NAKED_NOTIFY,3
AT_OPERATION_SEQUENCE_ON_CONCURRENT_ABSTRACTION,3
JLM_JSR166_UTILCONCURRENT_MONITORENTER,3
MS_OOI_PKGPROTECT,3
UC_USELESS_VOID_METHOD,3
MC_OVERRIDABLE_METHOD_CALL_IN_READ_OBJECT,3
NP_TOSTRING_COULD_RETURN_NULL,3
DM_STRING_CTOR,2
MS_FINAL_PKGPROTECT,2
HRS_REQUEST_PARAMETER_TO_HTTP_HEADER,2
PERM_SUPER_NOT_CALLED_IN_GETPERMISSIONS,2
OS_OPEN_STREAM,2
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,2
DM_EXIT,2
OBL_UNSATISFIED_OBLIGATION,2
NP_NULL_ON_SOME_PATH_EXCEPTION,2
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2
DE_MIGHT_IGNORE,2
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2
MS_SHOULD_BE_FINAL,2
HSM_HIDING_METHOD,2
SE_BAD_FIELD,2
NP_NULL_ON_SOME_PATH,2
HE_EQUALS_NO_HASHCODE,2
SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,2
DMI_BLOCKING_METHODS_ON_URL,2
EQ_UNUSUAL,1
CN_IDIOM,1
NM_SAME_SIMPLE_NAME_AS_INTERFACE,1
SR_NOT_CHECKED,1
DM_GC,1
MSF_MUTABLE_SERVLET_FIELD,1
SSD_DO_NOT_USE_INSTANCE_LOCK_ON_SHARED_STATIC_DATA,1
NS_DANGEROUS_NON_SHORT_CIRCUIT,1
ML_SYNC_ON_FIELD_TO_GUARD_CHANGING_THAT_FIELD,1
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,1
IM_BAD_CHECK_FOR_ODD,1
WA_NOT_IN_LOOP,1
RV_NEGATING_RESULT_OF_COMPARETO,1
BC_VACUOUS_INSTANCEOF,1
NP_NULL_ON_SOME_PATH_MIGHT_BE_INFEASIBLE,1
OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,1
EQ_DOESNT_OVERRIDE_EQUALS,1
NM_CLASS_NAMING_CONVENTION,1
NP_NONNULL_RETURN_VIOLATION,1
EQ_COMPARETO_USE_OBJECT_EQUALS,1
IC_SUPERCLASS_USES_SUBCLASS_DURING_INITIALIZATION,1
MF_CLASS_MASKS_FIELD,1
