Project,Precision,Precision (dummy),Recall,Recall (dummy),F1,F1 (dummy),AUC,AUC (dummy)
ant,0.9272727272727272,0.0484304932735426,0.9444444444444444,1.0,0.9357798165137615,0.09238665526090675,0.9981149858623939,0.5
cassandra,0.9442815249266863,0.1368704344482891,0.9044943820224719,1.0,0.9239598278335724,0.2407845789651674,0.9957446009859614,0.5
commons,0.49382716049382713,0.05343511450381679,0.9523809523809523,1.0,0.6504065040650406,0.10144927536231885,0.986015104966718,0.5
derby,0.9153846153846154,0.04826485839648983,0.9834710743801653,1.0,0.9482071713147411,0.09208523592085237,0.9976100254237875,0.5
jmeter,0.9448275862068966,0.2365415986949429,0.9448275862068966,1.0,0.9448275862068966,0.38258575197889183,0.9870173887415267,0.5
lucene-solr,0.8577441077441077,0.34102189781021897,0.872431506849315,1.0,0.8650254668930389,0.5086000435445243,0.9718425476902908,0.5
maven,0.717948717948718,0.034229828850855744,1.0,1.0,0.835820895522388,0.06619385342789598,0.9987341772151899,0.5
phoenix,0.83,0.14357471745500208,0.967930029154519,1.0,0.8936742934051145,0.2510980966325036,0.9923679568182531,0.5
tomcat,0.8913649025069638,0.22623178348369188,0.9815950920245399,1.0,0.9343065693430658,0.36898698358800225,0.996954524195989,0.5
Average,0.835850149164949,0.14095563632409444,0.9501750074959227,1.0,0.8813342367886243,0.23379671940900704,0.991600145766679,0.5
