Project,Precision,Precision (dummy),Recall,Recall (dummy),F1,F1 (dummy),AUC,AUC (dummy)
ant,0.06045751633986928,0.0484304932735426,0.6851851851851852,1.0,0.11111111111111112,0.09238665526090675,0.6655321674171816,0.5
cassandra,0.314878892733564,0.1368704344482891,0.7668539325842697,1.0,0.44644317252657395,0.2407845789651674,0.859093553714872,0.5
commons,0.08888888888888889,0.05343511450381679,0.6666666666666666,1.0,0.1568627450980392,0.10144927536231885,0.6454173067076293,0.5
derby,0.2544987146529563,0.04826485839648983,0.8181818181818182,1.0,0.38823529411764707,0.09208523592085237,0.9316242128670689,0.5
jmeter,0.4635416666666667,0.2365415986949429,0.6137931034482759,1.0,0.5281899109792286,0.38258575197889183,0.7551318891836133,0.5
lucene-solr,0.5602503912363067,0.34102189781021897,0.613013698630137,1.0,0.5854456255110384,0.5086000435445243,0.7398279743082404,0.5
maven,0.14666666666666667,0.034229828850855744,0.7857142857142857,1.0,0.24719101123595508,0.06619385342789598,0.8963381555153708,0.5
phoenix,0.29579067121729236,0.14357471745500208,0.7580174927113703,1.0,0.425531914893617,0.2510980966325036,0.7776440697770519,0.5
tomcat,0.3995943204868154,0.22623178348369188,0.6042944785276073,1.0,0.4810744810744811,0.36898698358800225,0.7293783873008886,0.5
Average,0.2871741920987807,0.14095563632409444,0.7013022957388463,1.0,0.3744539185052991,0.23379671940900704,0.7777764129768796,0.5
