Project,Precision,Recall,F1
ant,0.8928571428571429,0.46296296296296297,0.6097560975609756
cassandra,0.7596153846153846,0.4438202247191011,0.5602836879432623
commons,1.0,0.11904761904761904,0.21276595744680848
derby,0.9506172839506173,0.6363636363636364,0.7623762376237624
jmeter,0.9900990099009901,0.6896551724137931,0.8130081300813008
lucene-solr,0.932620320855615,0.7465753424657534,0.8292914883499761
maven,0.8636363636363636,0.6785714285714286,0.76
phoenix,0.9417040358744395,0.6122448979591837,0.7420494699646643
tomcat,0.9584905660377359,0.7791411042944786,0.8595600676818951
Average,0.9210711230809208,0.5742647098664397,0.6832323485169606
